開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-01-01,3,1,2025-01-01,1,0.4385188763909211,0,1,False
2025-01-01,3,3,2025-01-01,1,0.34179567172564984,0,1,False
2025-01-01,3,4,2025-01-01,1,0.5369041060710698,1,1,True
2025-01-01,3,5,2025-01-01,1,0.5239959915044732,1,1,True
2025-01-01,3,6,2025-01-01,1,0.6761734047187675,1,1,True
2025-01-01,3,7,2025-01-01,4,0.17913880884895378,0,0,True
2025-01-01,3,8,2025-01-01,1,0.5675480369907487,1,1,True
2025-01-01,3,9,2025-01-01,2,0.4491042713364722,0,0,True
2025-01-01,3,10,2025-01-01,1,0.6586637343096079,1,1,True
2025-01-01,3,12,2025-01-01,2,0.7399841496049228,1,0,False
2025-01-02,4,1,2025-01-02,1,0.36502207533749764,0,1,False
2025-01-02,4,2,2025-01-02,2,0.532751443506175,1,0,False
2025-01-02,4,3,2025-01-02,1,0.7106518427156207,1,1,True
2025-01-02,4,5,2025-01-02,1,0.6566594954963484,1,1,True
2025-01-02,4,6,2025-01-02,1,0.6851232758988022,1,1,True
2025-01-02,4,7,2025-01-02,2,0.5824964769724098,1,0,False
2025-01-02,4,9,2025-01-02,1,0.7897444113948427,1,1,True
2025-01-02,4,10,2025-01-02,1,0.6033140650528226,1,1,True
2025-01-02,4,11,2025-01-02,1,0.7758650928887643,1,1,True
2025-01-02,4,12,2025-01-02,1,0.5733788908860377,1,1,True
2025-01-03,5,1,2025-01-03,5,0.23481729601656928,0,0,True
2025-01-03,5,2,2025-01-03,2,0.04767463869978066,0,0,True
2025-01-03,5,3,2025-01-03,6,0.504956427066333,1,0,False
2025-01-03,5,5,2025-01-03,1,0.5280154185684545,1,1,True
2025-01-03,5,6,2025-01-03,1,0.5962905648992414,1,1,True
2025-01-03,5,7,2025-01-03,1,0.7863728834634861,1,1,True
2025-01-03,5,8,2025-01-03,2,0.5873750656559484,1,0,False
2025-01-03,5,10,2025-01-03,1,0.8771936466002757,1,1,True
2025-01-03,5,11,2025-01-03,1,0.5366870134779688,1,1,True
2025-01-03,5,12,2025-01-03,1,0.6887856753104485,1,1,True
2025-01-06,1,1,2025-01-06,1,0.2586285544861326,0,1,False
2025-01-06,1,2,2025-01-06,2,0.6514702496233327,1,0,False
2025-01-06,1,3,2025-01-06,5,0.10265452778287058,0,0,True
2025-01-06,1,5,2025-01-06,2,0.535879163729555,1,0,False
2025-01-06,1,6,2025-01-06,1,0.7843433090502939,1,1,True
2025-01-06,1,7,2025-01-06,5,0.355244107967488,0,0,True
2025-01-06,1,8,2025-01-06,1,0.7064732961202209,1,1,True
2025-01-06,1,9,2025-01-06,2,0.4655323121063654,0,0,True
2025-01-06,1,10,2025-01-06,2,0.39315935370958727,0,0,True
2025-01-06,1,11,2025-01-06,1,0.8737974755779677,1,1,True
2025-01-06,1,12,2025-01-06,1,0.890471904958459,1,1,True
2025-01-08,2,1,2025-01-08,1,0.49762603417900086,0,1,False
2025-01-08,2,2,2025-01-08,4,0.26895401344525555,0,0,True
2025-01-08,2,3,2025-01-08,3,0.19644987896576527,0,0,True
2025-01-08,2,4,2025-01-08,6,0.06879820205483814,0,0,True
2025-01-08,2,5,2025-01-08,1,0.2893925738485611,0,1,False
2025-01-08,2,7,2025-01-08,1,0.7322560149778454,1,1,True
2025-01-08,2,8,2025-01-08,1,0.4600351817416924,0,1,False
2025-01-08,2,9,2025-01-08,1,0.6038504286535423,1,1,True
2025-01-08,2,10,2025-01-08,1,0.5592577828227778,1,1,True
2025-01-08,2,11,2025-01-08,1,0.3937649832505252,0,1,False
2025-01-08,2,12,2025-01-08,2,0.8445584149052866,1,0,False
2025-01-10,3,1,2025-01-10,4,0.08124583693557633,0,0,True
2025-01-10,3,3,2025-01-10,3,0.4760066993592923,0,0,True
2025-01-10,3,6,2025-01-10,4,0.4071417731318077,0,0,True
2025-01-10,3,7,2025-01-10,3,0.18516375227792087,0,0,True
2025-01-10,3,10,2025-01-10,2,0.2849100322705805,0,0,True
2025-01-10,3,11,2025-01-10,1,0.6799818852478172,1,1,True
2025-01-11,4,1,2025-01-11,6,0.14592542346658274,0,0,True
2025-01-11,4,2,2025-01-11,6,0.3594803922910396,0,0,True
2025-01-11,4,3,2025-01-11,6,0.5170492327809912,1,0,False
