開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2025-01-01,1,1-2-4,1-2-4,0.22681182877373923,True,1-2-4(0.2268) / 1-2-6(0.1454) / 1-4-2(0.1262) / 1-2-3(0.0999) / 1-2-5(0.0756) / 1-6-2(0.0747) / 1-3-2(0.0493) / 1-5-2(0.0365) / 1-4-6(0.0277) / 1-6-4(0.0256)
2025-01-01,3,1-2-3,1-5-4,0.23818574164339384,False,1-5-4(0.2382) / 1-4-5(0.2031) / 1-5-2(0.1255) / 1-2-5(0.0872) / 1-4-2(0.0818) / 1-2-4(0.0667) / 1-5-3(0.0500) / 1-4-3(0.0326) / 1-3-5(0.0309) / 1-3-4(0.0236)
2025-01-01,4,1-5-6,1-5-3,0.1944341381472254,False,1-5-3(0.1944) / 1-3-5(0.1865) / 1-5-2(0.0832) / 1-5-6(0.0744) / 1-3-2(0.0739) / 1-3-6(0.0661) / 1-2-5(0.0618) / 1-2-3(0.0572) / 1-6-5(0.0543) / 1-6-3(0.0503)
2025-01-01,5,1-4-3,1-5-3,0.1537792572828817,False,1-5-3(0.1538) / 1-3-5(0.1431) / 1-5-4(0.0944) / 1-5-6(0.0844) / 1-4-5(0.0757) / 1-3-4(0.0753) / 1-3-6(0.0674) / 1-6-5(0.0661) / 1-4-3(0.0649) / 1-6-3(0.0567)
2025-01-01,6,1-4-6,1-4-3,0.3591328655212929,False,1-4-3(0.3591) / 1-4-6(0.2523) / 1-3-4(0.1300) / 1-6-4(0.0865) / 1-4-2(0.0779) / 1-2-4(0.0246) / 1-3-6(0.0207) / 1-6-3(0.0196) / 1-3-2(0.0064) / 1-4-5(0.0057)
2025-01-01,8,1-5-3,1-5-3,0.07688094423418834,True,1-5-3(0.0769) / 1-3-5(0.0758) / 1-5-2(0.0679) / 1-2-5(0.0647) / 1-3-2(0.0641) / 1-2-3(0.0619) / 1-5-6(0.0592) / 1-3-6(0.0558) / 1-6-5(0.0545) / 1-6-3(0.0521)
2025-01-01,10,1-2-3,1-2-3,0.39591581374380724,True,1-2-3(0.3959) / 1-3-2(0.1841) / 1-2-5(0.1178) / 1-2-6(0.0874) / 1-5-2(0.0456) / 1-2-4(0.0379) / 1-6-2(0.0332) / 1-3-5(0.0192) / 1-5-3(0.0159) / 1-3-6(0.0142)
2025-01-02,1,1-2-3,1-5-3,0.270543782434281,False,1-5-3(0.2705) / 1-5-2(0.1855) / 1-3-5(0.1601) / 1-2-5(0.1005) / 1-5-4(0.0728) / 1-3-2(0.0461) / 1-2-3(0.0421) / 1-4-5(0.0354) / 1-3-4(0.0181) / 1-4-3(0.0149)
2025-01-02,3,1-2-5,1-3-4,0.184509569369687,False,1-3-4(0.1845) / 1-4-3(0.1478) / 1-3-5(0.1262) / 1-5-3(0.0908) / 1-4-5(0.0652) / 1-5-4(0.0585) / 1-3-2(0.0501) / 1-3-6(0.0499) / 1-2-3(0.0318) / 1-6-3(0.0317)
2025-01-02,5,1-4-2,1-4-5,0.31194947785471633,False,1-4-5(0.3119) / 1-5-4(0.2344) / 1-4-3(0.0898) / 1-4-6(0.0637) / 1-3-4(0.0504) / 1-5-3(0.0444) / 1-6-4(0.0347) / 1-3-5(0.0331) / 1-5-6(0.0315) / 1-4-2(0.0259)
2025-01-02,6,1-3-4,1-4-3,0.485841538302023,False,1-4-3(0.4858) / 1-3-4(0.3425) / 1-4-5(0.0372) / 1-4-2(0.0221) / 1-3-5(0.0177) / 1-4-6(0.0168) / 1-5-4(0.0168) / 1-5-3(0.0113) / 1-3-2(0.0105) / 1-2-4(0.0099)
2025-01-02,9,1-3-4,1-3-5,0.2311048905230021,False,1-3-5(0.2311) / 1-3-6(0.2208) / 1-5-3(0.1126) / 1-6-3(0.1067) / 1-3-2(0.0883) / 1-3-4(0.0505) / 1-2-3(0.0385) / 1-5-6(0.0292) / 1-6-5(0.0289) / 1-4-3(0.0214)
