開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2025-01-01,1,1-2-4,1-2-4,0.37931697353848487,True,1-2-4(0.3793) / 1-4-2(0.2880) / 1-2-5(0.0625) / 1-2-6(0.0585) / 1-4-5(0.0332) / 1-5-2(0.0323) / 1-4-6(0.0311) / 1-6-2(0.0301) / 1-5-4(0.0226) / 1-6-4(0.0211)
2025-01-01,3,1-2-3,1-5-2,0.1961028313439485,False,1-5-2(0.1961) / 1-2-5(0.1752) / 1-5-4(0.1345) / 1-4-5(0.1052) / 1-2-4(0.0973) / 1-4-2(0.0851) / 1-5-3(0.0536) / 1-2-3(0.0387) / 1-3-5(0.0360) / 1-3-2(0.0291)
2025-01-01,4,1-5-6,1-3-5,0.21464308875049565,False,1-3-5(0.2146) / 1-3-2(0.1964) / 1-3-6(0.1075) / 1-5-3(0.1069) / 1-2-3(0.0963) / 1-3-4(0.0611) / 1-6-3(0.0490) / 1-4-3(0.0269) / 1-5-2(0.0263) / 1-2-5(0.0259)
2025-01-01,5,1-4-3,1-3-6,0.150130876866279,False,1-3-6(0.1501) / 1-6-3(0.1446) / 1-3-5(0.0834) / 1-6-5(0.0740) / 1-3-4(0.0705) / 1-5-3(0.0672) / 1-6-4(0.0626) / 1-5-6(0.0620) / 1-4-3(0.0551) / 1-4-6(0.0508)
2025-01-01,6,1-4-6,1-4-3,0.37711079235377537,False,1-4-3(0.3771) / 1-4-6(0.2573) / 1-3-4(0.1399) / 1-6-4(0.0897) / 1-4-2(0.0488) / 1-3-6(0.0232) / 1-6-3(0.0218) / 1-2-4(0.0154) / 1-4-5(0.0082) / 1-3-2(0.0044)
2025-01-01,8,1-5-3,1-3-6,0.19505413343836678,False,1-3-6(0.1951) / 1-6-3(0.1432) / 1-3-2(0.1144) / 1-3-4(0.0762) / 1-2-3(0.0741) / 1-3-5(0.0591) / 1-4-3(0.0468) / 1-6-2(0.0460) / 1-2-6(0.0406) / 1-5-3(0.0354)
2025-01-01,10,1-2-3,1-2-3,0.3198743488614071,True,1-2-3(0.3199) / 1-2-5(0.1890) / 1-3-2(0.1294) / 1-2-6(0.1191) / 1-5-2(0.0708) / 1-6-2(0.0429) / 1-2-4(0.0337) / 1-3-5(0.0189) / 1-5-3(0.0175) / 1-3-6(0.0119)
2025-01-02,1,1-2-3,1-5-3,0.11740735920941982,False,1-5-3(0.1174) / 1-5-4(0.1155) / 1-3-5(0.1036) / 1-4-5(0.1014) / 1-5-2(0.0859) / 1-3-4(0.0741) / 1-4-3(0.0738) / 1-2-5(0.0699) / 1-3-2(0.0552) / 1-4-2(0.0540)
2025-01-02,3,1-2-5,1-5-3,0.2871720285982504,False,1-5-3(0.2872) / 1-5-4(0.2388) / 1-3-5(0.1298) / 1-4-5(0.1043) / 1-5-2(0.0824) / 1-2-5(0.0325) / 1-3-4(0.0297) / 1-4-3(0.0286) / 1-5-6(0.0172) / 1-3-2(0.0102)
2025-01-02,5,1-4-2,1-4-5,0.29146475458200977,False,1-4-5(0.2915) / 1-5-4(0.2201) / 1-4-6(0.1343) / 1-6-4(0.0814) / 1-5-6(0.0660) / 1-6-5(0.0530) / 1-4-3(0.0367) / 1-3-4(0.0198) / 1-4-2(0.0192) / 1-5-3(0.0180)
