開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2014-01-01,2,1-4-5,1-4-3,0.14287104292759684,False,1-4-3(0.1429) / 1-4-5(0.1386) / 1-3-4(0.1134) / 1-5-4(0.1091) / 1-4-2(0.0923) / 1-2-4(0.0664) / 1-3-5(0.0646) / 1-5-3(0.0640) / 1-3-2(0.0430) / 1-5-2(0.0414)
2014-01-01,3,1-2-3,1-2-3,0.325008617177187,True,1-2-3(0.3250) / 1-3-2(0.2256) / 1-2-5(0.0854) / 1-2-6(0.0695) / 1-5-2(0.0448) / 1-2-4(0.0369) / 1-6-2(0.0359) / 1-3-5(0.0349) / 1-3-6(0.0283) / 1-5-3(0.0264)
2014-01-01,5,1-3-4,1-3-2,0.38216052111386073,False,1-3-2(0.3822) / 1-3-4(0.1616) / 1-2-3(0.1437) / 1-3-5(0.1140) / 1-4-3(0.0542) / 1-5-3(0.0374) / 1-3-6(0.0311) / 1-2-4(0.0152) / 1-4-2(0.0136) / 1-2-5(0.0107)
2014-01-01,6,1-4-5,1-5-4,0.1656604511710017,False,1-5-4(0.1657) / 1-5-2(0.1428) / 1-5-3(0.1253) / 1-4-5(0.1127) / 1-2-5(0.0939) / 1-3-5(0.0804) / 1-4-2(0.0424) / 1-2-4(0.0410) / 1-4-3(0.0372) / 1-3-4(0.0351)
2014-01-01,10,1-2-4,1-2-5,0.3724258532616705,False,1-2-5(0.3724) / 1-5-2(0.1693) / 1-2-4(0.1523) / 1-2-6(0.0750) / 1-4-2(0.0599) / 1-2-3(0.0407) / 1-6-2(0.0282) / 1-5-4(0.0226) / 1-4-5(0.0195) / 1-3-2(0.0150)
2014-01-02,2,1-3-5,1-6-3,0.169457492096556,False,1-6-3(0.1695) / 1-3-6(0.1682) / 1-6-5(0.0900) / 1-3-5(0.0880) / 1-5-6(0.0724) / 1-5-3(0.0713) / 1-6-4(0.0418) / 1-3-4(0.0408) / 1-6-2(0.0364) / 1-3-2(0.0356)
2014-01-02,3,1-4-2,1-6-4,0.25893299564597244,False,1-6-4(0.2589) / 1-4-6(0.1685) / 1-6-2(0.1111) / 1-6-5(0.0843) / 1-2-6(0.0608) / 1-6-3(0.0565) / 1-5-6(0.0448) / 1-4-2(0.0351) / 1-2-4(0.0295) / 1-3-6(0.0292)
2014-01-02,8,1-4-2,1-4-5,0.3252617111736962,False,1-4-5(0.3253) / 1-4-2(0.1845) / 1-4-6(0.1496) / 1-4-3(0.0940) / 1-5-4(0.0898) / 1-2-4(0.0484) / 1-6-4(0.0388) / 1-3-4(0.0239) / 1-5-2(0.0072) / 1-2-5(0.0068)
2014-01-02,10,1-5-3,1-3-2,0.148798459357894,False,1-3-2(0.1488) / 1-3-4(0.1461) / 1-2-3(0.1247) / 1-4-3(0.1217) / 1-2-4(0.0825) / 1-4-2(0.0820) / 1-3-5(0.0455) / 1-3-6(0.0319) / 1-5-3(0.0309) / 1-2-5(0.0257)
2014-01-02,11,1-2-3,1-2-3,0.34237140529412957,True,1-2-3(0.3424) / 1-3-2(0.2021) / 1-2-4(0.1144) / 1-2-5(0.0593) / 1-4-2(0.0546) / 1-2-6(0.0490) / 1-3-4(0.0315) / 1-5-2(0.0270) / 1-4-3(0.0254) / 1-6-2(0.0222)
2014-01-02,12,1-2-4,1-3-2,0.233454902715903,False,1-3-2(0.2335) / 1-2-3(0.2250) / 1-3-5(0.0690) / 1-2-5(0.0625) / 1-3-4(0.0548) / 1-2-4(0.0496) / 1-5-3(0.0472) / 1-5-2(0.0444) / 1-4-3(0.0366) / 1-4-2(0.0344)
2014-01-03,1,1-5-2,1-5-2,0.2122352387377921,True,1-5-2(0.2122) / 1-2-5(0.1967) / 1-5-4(0.0778) / 1-2-4(0.0630) / 1-5-3(0.0613) / 1-4-5(0.0545) / 1-2-3(0.0496) / 1-4-2(0.0477) / 1-3-5(0.0417) / 1-3-2(0.0364)
2014-01-03,2,1-3-4,1-5-4,0.1825023001681552,False,1-5-4(0.1825) / 1-4-5(0.1227) / 1-5-6(0.1151) / 1-5-2(0.1035) / 1-6-5(0.0706) / 1-5-3(0.0663) / 1-2-5(0.0625) / 1-3-5(0.0382) / 1-4-6(0.0344) / 1-6-4(0.0314)
2014-01-03,7,1-6-2,1-6-2,0.4076880212747511,True,1-6-2(0.4077) / 1-2-6(0.2212) / 1-6-5(0.0654) / 1-6-3(0.0651) / 1-6-4(0.0649) / 1-5-6(0.0271) / 1-3-6(0.0270) / 1-4-6(0.0269) / 1-2-5(0.0158) / 1-2-3(0.0157)
2014-01-03,10,1-5-2,1-5-2,0.21818935381356133,True,1-5-2(0.2182) / 1-5-4(0.1804) / 1-5-3(0.1495) / 1-2-5(0.0901) / 1-5-6(0.0900) / 1-4-5(0.0727) / 1-3-5(0.0591) / 1-6-5(0.0343) / 1-2-4(0.0144) / 1-4-2(0.0141)
2014-01-03,11,1-2-4,1-4-2,0.20038351212898867,False,1-4-2(0.2004) / 1-2-4(0.1611) / 1-4-3(0.0945) / 1-4-5(0.0873) / 1-3-4(0.0632) / 1-5-4(0.0576) / 1-2-3(0.0503) / 1-2-5(0.0465) / 1-3-2(0.0418) / 1-5-2(0.0382)
2014-01-04,1,1-3-5,1-2-3,0.2775384096189259,False,1-2-3(0.2775) / 1-3-2(0.1921) / 1-2-4(0.1238) / 1-2-5(0.0923) / 1-4-2(0.0707) / 1-5-2(0.0508) / 1-3-4(0.0476) / 1-4-3(0.0392) / 1-3-5(0.0354) / 1-5-3(0.0282)
2014-01-04,5,1-4-3,1-3-6,0.23306870261937268,False,1-3-6(0.2331) / 1-6-3(0.1672) / 1-3-4(0.1084) / 1-3-2(0.0870) / 1-4-3(0.0654) / 1-2-3(0.0510) / 1-6-4(0.0433) / 1-3-5(0.0421) / 1-4-6(0.0364) / 1-6-2(0.0348)
2014-01-04,7,1-3-4,1-6-3,0.09304640328254533,False,1-6-3(0.0930) / 1-3-6(0.0909) / 1-6-4(0.0787) / 1-4-6(0.0731) / 1-3-4(0.0719) / 1-4-3(0.0684) / 1-6-2(0.0607) / 1-3-2(0.0555) / 1-2-6(0.0531) / 1-2-3(0.0497)
2014-01-04,10,1-2-5,1-2-3,0.15540716914074532,False,1-2-3(0.1554) / 1-2-5(0.1462) / 1-2-6(0.1304) / 1-3-2(0.0931) / 1-5-2(0.0866) / 1-6-2(0.0758) / 1-2-4(0.0638) / 1-4-2(0.0344) / 1-3-5(0.0279) / 1-5-3(0.0276)
2014-01-04,12,1-2-4,1-2-4,0.43854303323602983,True,1-2-4(0.4385) / 1-4-2(0.2313) / 1-2-3(0.0650) / 1-2-6(0.0608) / 1-2-5(0.0522) / 1-3-2(0.0260) / 1-6-2(0.0242) / 1-5-2(0.0207) / 1-4-3(0.0152) / 1-4-6(0.0142)
2014-01-05,1,1-3-5,1-5-3,0.24048786993108753,False,1-5-3(0.2405) / 1-3-5(0.1677) / 1-5-6(0.1271) / 1-6-5(0.0761) / 1-5-4(0.0727) / 1-3-6(0.0474) / 1-5-2(0.0422) / 1-4-5(0.0408) / 1-6-3(0.0407) / 1-3-4(0.0271)
2014-01-05,2,1-4-6,1-6-2,0.1242260163829881,False,1-6-2(0.1242) / 1-2-6(0.1187) / 1-6-4(0.0879) / 1-4-6(0.0755) / 1-2-4(0.0753) / 1-4-2(0.0677) / 1-6-3(0.0513) / 1-6-5(0.0460) / 1-2-3(0.0439) / 1-3-6(0.0400)
2014-01-05,3,1-6-4,1-3-4,0.18540185131304582,False,1-3-4(0.1854) / 1-4-3(0.1371) / 1-3-2(0.1360) / 1-2-3(0.0928) / 1-3-6(0.0861) / 1-4-2(0.0550) / 1-6-3(0.0545) / 1-2-4(0.0507) / 1-4-6(0.0348) / 1-6-4(0.0298)
2014-01-05,5,1-4-2,1-4-2,0.48561107151857724,True,1-4-2(0.4856) / 1-2-4(0.1999) / 1-4-3(0.1067) / 1-4-5(0.0485) / 1-4-6(0.0408) / 1-3-4(0.0358) / 1-5-4(0.0158) / 1-2-3(0.0146) / 1-6-4(0.0132) / 1-3-2(0.0119)
2014-01-05,7,1-5-4,1-4-3,0.19011675432902855,False,1-4-3(0.1901) / 1-4-5(0.1725) / 1-3-4(0.1215) / 1-5-4(0.1078) / 1-4-6(0.0698) / 1-4-2(0.0558) / 1-3-5(0.0450) / 1-5-3(0.0440) / 1-6-4(0.0385) / 1-2-4(0.0303)
2014-01-05,9,1-5-2,1-5-4,0.10040955030830442,False,1-5-4(0.1004) / 1-4-5(0.0931) / 1-5-6(0.0731) / 1-5-2(0.0707) / 1-6-5(0.0624) / 1-2-5(0.0600) / 1-4-6(0.0551) / 1-4-2(0.0534) / 1-5-3(0.0508) / 1-6-4(0.0508)
