開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2014-01-01,2,1-4-5,1-4-5,0.3568961511490173,True,1-4-5(0.3569) / 1-5-4(0.1651) / 1-4-2(0.1337) / 1-4-3(0.0903) / 1-2-4(0.0532) / 1-4-6(0.0521) / 1-3-4(0.0350) / 1-5-2(0.0202) / 1-6-4(0.0197) / 1-2-5(0.0174)
2014-01-01,3,1-2-3,1-2-3,0.5893362422859822,True,1-2-3(0.5893) / 1-3-2(0.2088) / 1-2-5(0.0920) / 1-2-6(0.0278) / 1-5-2(0.0262) / 1-2-4(0.0158) / 1-3-5(0.0100) / 1-5-3(0.0081) / 1-6-2(0.0077) / 1-4-2(0.0044)
2014-01-01,5,1-3-4,1-3-4,0.38544167356508985,True,1-3-4(0.3854) / 1-3-2(0.2234) / 1-3-5(0.1260) / 1-4-3(0.1062) / 1-2-3(0.0581) / 1-5-3(0.0317) / 1-3-6(0.0236) / 1-4-2(0.0100) / 1-2-4(0.0094) / 1-6-3(0.0057)
2014-01-01,6,1-4-5,1-4-5,0.40834508962932076,True,1-4-5(0.4083) / 1-5-4(0.2379) / 1-4-2(0.1259) / 1-2-4(0.0573) / 1-4-3(0.0422) / 1-5-2(0.0362) / 1-2-5(0.0282) / 1-3-4(0.0180) / 1-5-3(0.0121) / 1-4-6(0.0092)
2014-01-01,10,1-2-4,1-2-4,0.3516221028241919,True,1-2-4(0.3516) / 1-2-6(0.1378) / 1-4-2(0.1220) / 1-2-5(0.1212) / 1-2-3(0.0937) / 1-6-2(0.0432) / 1-5-2(0.0378) / 1-3-2(0.0289) / 1-4-6(0.0100) / 1-6-4(0.0091)
2014-01-02,2,1-3-5,1-3-5,0.4827955247147398,True,1-3-5(0.4828) / 1-5-3(0.1346) / 1-3-4(0.1332) / 1-3-6(0.0841) / 1-3-2(0.0629) / 1-4-3(0.0329) / 1-6-3(0.0205) / 1-2-3(0.0152) / 1-5-4(0.0073) / 1-4-5(0.0065)
2014-01-02,3,1-4-2,1-4-2,0.31670783450471934,True,1-4-2(0.3167) / 1-4-3(0.1844) / 1-2-4(0.1257) / 1-4-5(0.0828) / 1-4-6(0.0822) / 1-3-4(0.0678) / 1-5-4(0.0289) / 1-6-4(0.0286) / 1-2-3(0.0174) / 1-3-2(0.0162)
2014-01-02,8,1-4-2,1-4-2,0.48916786852958394,True,1-4-2(0.4892) / 1-4-5(0.2128) / 1-2-4(0.1410) / 1-5-4(0.0555) / 1-4-3(0.0500) / 1-2-5(0.0127) / 1-3-4(0.0124) / 1-5-2(0.0115) / 1-4-6(0.0050) / 1-2-3(0.0030)
2014-01-02,10,1-5-3,1-5-3,0.321574079068809,True,1-5-3(0.3216) / 1-5-4(0.1704) / 1-5-2(0.1299) / 1-3-5(0.1270) / 1-4-5(0.0618) / 1-5-6(0.0463) / 1-2-5(0.0461) / 1-3-4(0.0161) / 1-6-5(0.0157) / 1-4-3(0.0148)
2014-01-02,11,1-2-3,1-2-3,0.42839330966722333,True,1-2-3(0.4284) / 1-3-2(0.1881) / 1-2-6(0.1001) / 1-2-4(0.0792) / 1-2-5(0.0507) / 1-6-2(0.0361) / 1-4-2(0.0282) / 1-5-2(0.0178) / 1-3-6(0.0148) / 1-6-3(0.0122)
