特徴量,重要度
展示差,0.34169312922504713
1コース1着回数,0.25856187628089317
勝率,0.1659129821411966
風向,0.087452319685962
展示,0.07253589910665226
展示順位,0.07234355475053748
複勝率,0.0721649432367086
1コース複勝率,0.06604001889247538
直近10年勝率,0.06115960411293488
1着率,0.058951628068074
直近5年勝率,0.05789416922722179
直近10年2連帯率,0.05203565267528402
2コース複勝率,0.05125695857124092
6コース平均スタート順位,0.04972728394800952
直近5年2連帯率,0.049578004019358184
直近10年3連帯率,0.04843858301165735
体重,0.04804041172829579
直近5年3連帯率,0.04552281057729775
身長,0.04544294828446408
3着率,0.045424638213965376
風速,0.04515876181013418
3コース複勝率,0.042305102062407667
4コース複勝率,0.040554256773599785
5コース複勝率,0.03956049404705763
6コース進入回数,0.03919223850251598
3コース平均スタートタイミング,0.03861816769291703
6コース複勝率,0.03586243226648225
2着率,0.03573804543963103
2コース1着回数,0.035209515173744384
級,0.03355653602422055
2コース進入回数,0.03246063679648225
1コース平均スタート順位,0.03180411666866221
5コース進入回数,0.03170207168763363
1コース2着回数,0.03147210857165912
1コース進入回数,0.03124805670209435
3コース平均スタート順位,0.031198824380986312
4コース平均スタート順位,0.03095693888760027
6コース3着回数,0.030321675589479534
6コース6着回数,0.030108744569169215
2コース平均スタート順位,0.029484050002235453
出走回数,0.029347008273116863
5コース平均スタート順位,0.028577646126715383
5コース6着回数,0.028264948777693304
6コース平均スタートタイミング,0.027872183536052843
4コース3着回数,0.026940055395501712
5コース5着回数,0.026906532637633585
3コース4着回数,0.0266397218802367
2着回数,0.026074015197708734
4コース平均スタートタイミング,0.025715444839561737
3コース1着回数,0.025542376078405253
4コース進入回数,0.02530673665807633
天気,0.025306259521237124
4コース5着回数,0.02515997638176103
4コース1着回数,0.02482628776632058
6コース5着回数,0.024631489221054986
4コース2着回数,0.024456954396000184
6コース4着回数,0.024038047137640288
2コース2着回数,0.024013325798326206
3コース進入回数,0.02384204748332804
5コース2着回数,0.02365971746020748
3コース6着回数,0.023450513615400414
4コース6着回数,0.023120381416980258
2コース4着回数,0.022978573908740956
1着回数,0.022974752502867322
3コース3着回数,0.022689917312121832
4コース4着回数,0.022540955877411527
3コース2着回数,0.022536160758080355
2コース5着回数,0.022185520406410475
5コース4着回数,0.022068997921969292
3コース5着回数,0.02205443078940006
5コース3着回数,0.02193975420635275
2コース平均スタートタイミング,0.021937399079498255
2コース3着回数,0.02149776705306453
5コース平均スタートタイミング,0.021307685630194296
1コース4着回数,0.02081211965291782
6コース2着回数,0.020395055673642335
1コース平均スタートタイミング,0.01984489197337788
平均スタートタイミング,0.018578287399275716
2コース6着回数,0.018495236879885114
1コース5着回数,0.018380615055336027
1コース6着回数,0.017508417923038463
1コース3着回数,0.01688181734695224
5コース1着回数,0.01643712512120367
波高,0.01453713014919887
優出回数,0.014366813379114881
6コース1着回数,0.009126488212205252
優勝回数,0.008403070783693463
