開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2025-01-01,1,1-2-4,1-4-2,0.07436945599338342,False,1-4-2(0.0744) / 1-2-4(0.0651) / 1-4-5(0.0471) / 1-4-6(0.0434) / 1-5-4(0.0368) / 4-1-2(0.0361) / 1-4-3(0.0340) / 1-6-4(0.0334) / 2-1-4(0.0302) / 1-2-5(0.0298)
2025-01-01,3,1-2-3,5-4-1,0.10499344463744861,False,5-4-1(0.1050) / 4-5-1(0.1026) / 5-4-2(0.0822) / 4-5-2(0.0803) / 5-1-4(0.0583) / 4-1-5(0.0553) / 5-2-4(0.0431) / 1-5-4(0.0425) / 1-4-5(0.0413) / 4-2-5(0.0409)
2025-01-01,4,1-5-6,5-3-2,0.07640868231088013,False,5-3-2(0.0764) / 5-2-3(0.0721) / 3-5-2(0.0533) / 2-5-3(0.0489) / 5-3-1(0.0455) / 5-2-1(0.0382) / 5-1-3(0.0361) / 5-1-2(0.0322) / 3-5-1(0.0317) / 3-2-5(0.0308)
2025-01-01,5,1-4-3,5-6-1,0.03156778760812483,False,5-6-1(0.0316) / 5-1-6(0.0297) / 5-6-3(0.0288) / 5-3-6(0.0264) / 6-5-1(0.0253) / 5-6-4(0.0241) / 6-5-3(0.0230) / 1-5-6(0.0230) / 5-1-3(0.0227) / 5-3-1(0.0221)
2025-01-01,6,1-4-6,4-3-6,0.11082982628472678,False,4-3-6(0.1108) / 4-3-1(0.0914) / 3-4-6(0.0765) / 4-3-2(0.0738) / 3-4-1(0.0631) / 4-6-3(0.0597) / 3-4-2(0.0510) / 4-1-3(0.0475) / 4-2-3(0.0371) / 6-4-3(0.0327)
2025-01-01,7,2-5-3,1-5-2,0.05938233561821148,False,1-5-2(0.0594) / 5-1-2(0.0554) / 1-2-5(0.0496) / 1-5-6(0.0425) / 5-2-1(0.0421) / 2-1-5(0.0417) / 5-1-6(0.0396) / 2-5-1(0.0379) / 1-6-5(0.0319) / 5-6-1(0.0274)
2025-01-01,8,1-5-3,1-2-6,0.041695532688951556,False,1-2-6(0.0417) / 1-6-2(0.0412) / 2-1-6(0.0362) / 6-1-2(0.0356) / 2-6-1(0.0294) / 6-2-1(0.0292) / 1-2-3(0.0212) / 1-6-3(0.0204) / 1-2-5(0.0191) / 1-6-5(0.0184)
2025-01-01,9,2-1-4,2-3-5,0.058191574507699316,False,2-3-5(0.0582) / 3-2-5(0.0495) / 2-3-1(0.0492) / 3-2-1(0.0419) / 2-5-3(0.0404) / 2-3-4(0.0336) / 2-1-3(0.0330) / 3-2-4(0.0286) / 5-2-3(0.0284) / 3-5-2(0.0283)
2025-01-01,10,1-2-3,2-1-3,0.27504416972241424,False,2-1-3(0.2750) / 1-2-3(0.1212) / 2-3-1(0.1164) / 2-1-5(0.0802) / 2-1-6(0.0639) / 3-2-1(0.0427) / 1-2-5(0.0354) / 2-5-1(0.0286) / 1-2-6(0.0282) / 2-6-1(0.0225)
2025-01-01,12,2-1-3,5-2-6,0.05483863382903079,False,5-2-6(0.0548) / 5-2-1(0.0547) / 5-6-2(0.0451) / 5-1-2(0.0450) / 2-5-6(0.0413) / 2-5-1(0.0413) / 6-5-2(0.0309) / 1-5-2(0.0308) / 5-6-1(0.0284) / 5-1-6(0.0283)
2025-01-02,1,1-2-3,1-5-3,0.10017722743179851,False,1-5-3(0.1002) / 5-1-3(0.0816) / 1-5-4(0.0721) / 1-3-5(0.0650) / 5-1-4(0.0587) / 3-1-5(0.0434) / 1-4-5(0.0431) / 5-3-1(0.0408) / 1-5-2(0.0373) / 3-5-1(0.0335)
2025-01-02,2,2-1-6,5-2-4,0.06831822049323617,False,5-2-4(0.0683) / 2-5-4(0.0654) / 5-4-2(0.0528) / 2-4-5(0.0476) / 5-2-3(0.0439) / 4-5-2(0.0436) / 2-5-3(0.0420) / 4-2-5(0.0411) / 5-3-2(0.0300) / 2-3-5(0.0272)
2025-01-02,3,1-2-5,5-4-3,0.133349236646369,False,5-4-3(0.1333) / 5-3-4(0.1246) / 4-5-3(0.0722) / 3-5-4(0.0659) / 5-4-2(0.0513) / 5-3-2(0.0429) / 5-4-1(0.0361) / 5-2-4(0.0357) / 5-2-3(0.0319) / 5-3-1(0.0302)
2025-01-02,5,1-4-2,5-4-1,0.08971326192118573,False,5-4-1(0.0897) / 5-1-4(0.0651) / 5-4-6(0.0608) / 4-5-1(0.0588) / 5-4-3(0.0516) / 5-6-4(0.0403) / 4-5-6(0.0399) / 1-5-4(0.0375) / 4-5-3(0.0338) / 5-3-4(0.0332)
2025-01-02,6,1-3-4,1-3-4,0.21199348713452243,True,1-3-4(0.2120) / 1-4-3(0.1511) / 3-1-4(0.1106) / 4-1-3(0.0716) / 1-3-6(0.0616) / 3-4-1(0.0333) / 1-6-3(0.0326) / 3-1-6(0.0322) / 4-3-1(0.0303) / 1-3-2(0.0294)
