開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2014-01-01,4,5-3-6,3-5-4,0.125664323425457,False,3-5-4(0.1257) / 3-5-6(0.1012) / 3-4-5(0.0900) / 3-6-5(0.0680) / 5-3-4(0.0659) / 5-3-6(0.0530) / 4-3-5(0.0425) / 3-4-6(0.0393) / 3-6-4(0.0369) / 6-3-5(0.0314)
2014-01-01,7,3-1-6,2-6-3,0.16056445438269365,False,2-6-3(0.1606) / 2-3-6(0.1420) / 6-2-3(0.1279) / 3-2-6(0.1073) / 6-3-2(0.0789) / 3-6-2(0.0748) / 2-6-1(0.0299) / 6-2-1(0.0238) / 2-3-1(0.0227) / 3-2-1(0.0172)
2014-01-01,8,2-1-5,2-4-1,0.18643573835089114,False,2-4-1(0.1864) / 2-1-4(0.1074) / 4-2-1(0.1010) / 2-4-6(0.0593) / 2-4-3(0.0530) / 1-2-4(0.0496) / 4-2-6(0.0322) / 2-4-5(0.0319) / 4-2-3(0.0287) / 2-6-4(0.0280)
2014-01-01,9,3-1-2,3-2-1,0.126069002295935,False,3-2-1(0.1261) / 2-3-1(0.1052) / 3-1-2(0.0948) / 1-3-2(0.0694) / 2-1-3(0.0612) / 1-2-3(0.0537) / 3-2-5(0.0353) / 3-2-6(0.0337) / 2-3-5(0.0295) / 2-3-6(0.0281)
2014-01-01,11,2-1-6,2-1-5,0.061688272399774736,False,2-1-5(0.0617) / 2-5-1(0.0581) / 1-2-5(0.0567) / 5-2-1(0.0515) / 2-1-3(0.0475) / 1-5-2(0.0471) / 5-1-2(0.0455) / 1-2-3(0.0436) / 2-3-1(0.0401) / 2-5-3(0.0400)
2014-01-01,12,4-2-3,4-1-2,0.11167303131376446,False,4-1-2(0.1117) / 1-4-2(0.0924) / 4-2-1(0.0763) / 2-4-1(0.0529) / 1-2-4(0.0491) / 4-1-5(0.0490) / 2-1-4(0.0412) / 1-4-5(0.0406) / 4-1-3(0.0356) / 1-4-3(0.0294)
2014-01-02,4,4-3-5,3-2-4,0.08989024226290789,False,3-2-4(0.0899) / 3-4-2(0.0765) / 3-2-5(0.0674) / 3-5-2(0.0530) / 3-2-1(0.0476) / 3-4-5(0.0393) / 3-5-4(0.0363) / 3-1-2(0.0351) / 2-3-4(0.0348) / 3-2-6(0.0310)
2014-01-02,5,3-1-4,1-2-4,0.10928969189148804,False,1-2-4(0.1093) / 1-2-3(0.0903) / 2-1-4(0.0812) / 2-1-3(0.0671) / 1-4-2(0.0650) / 1-3-2(0.0513) / 4-1-2(0.0390) / 2-4-1(0.0336) / 3-1-2(0.0302) / 1-2-5(0.0296)
2014-01-02,6,4-5-1,4-1-3,0.12605405399969358,False,4-1-3(0.1261) / 4-3-1(0.1191) / 4-1-5(0.1128) / 4-5-1(0.1016) / 4-3-5(0.0950) / 4-5-3(0.0906) / 1-4-3(0.0362) / 3-4-1(0.0338) / 1-4-5(0.0324) / 5-4-1(0.0286)
2014-01-02,7,4-2-3,4-2-3,0.2376877111435654,True,4-2-3(0.2377) / 2-4-3(0.1251) / 4-2-5(0.0877) / 4-3-2(0.0865) / 4-2-1(0.0809) / 2-4-5(0.0461) / 2-4-1(0.0426) / 3-4-2(0.0356) / 4-5-2(0.0283) / 4-1-2(0.0260)
2014-01-02,9,5-4-6,4-3-2,0.0976234065901606,False,4-3-2(0.0976) / 4-2-3(0.0806) / 4-3-5(0.0606) / 3-4-2(0.0566) / 4-5-3(0.0438) / 2-4-3(0.0435) / 4-3-1(0.0387) / 3-4-5(0.0352) / 4-2-5(0.0342) / 4-5-2(0.0299)
2014-01-03,5,2-1-4,4-2-3,0.16869330314428455,False,4-2-3(0.1687) / 4-3-2(0.1506) / 4-2-1(0.0769) / 2-4-3(0.0600) / 4-3-1(0.0570) / 4-1-2(0.0534) / 3-4-2(0.0522) / 4-1-3(0.0443) / 4-2-5(0.0340) / 2-4-1(0.0273)
2014-01-03,6,2-5-1,1-6-5,0.03692267516537467,False,1-6-5(0.0369) / 1-5-6(0.0364) / 6-1-5(0.0362) / 5-1-6(0.0355) / 6-5-1(0.0348) / 5-6-1(0.0345) / 1-6-2(0.0254) / 6-1-2(0.0249) / 1-5-2(0.0243) / 5-1-2(0.0237)
2014-01-03,8,4-5-6,2-5-1,0.07646711250624798,False,2-5-1(0.0765) / 2-1-5(0.0701) / 5-2-1(0.0450) / 1-2-5(0.0399) / 2-5-6(0.0364) / 2-5-4(0.0352) / 2-5-3(0.0277) / 2-1-6(0.0276) / 2-6-5(0.0276) / 2-1-4(0.0267)
2014-01-03,9,2-1-3,2-1-6,0.0979097948115908,False,2-1-6(0.0979) / 2-1-3(0.0777) / 1-2-6(0.0645) / 2-1-4(0.0611) / 2-1-5(0.0568) / 1-2-3(0.0511) / 2-6-1(0.0499) / 1-2-4(0.0402) / 2-3-1(0.0382) / 1-2-5(0.0374)
2014-01-03,12,5-2-1,1-2-3,0.09196833723281139,False,1-2-3(0.0920) / 1-2-5(0.0885) / 1-2-4(0.0668) / 1-3-2(0.0649) / 1-5-2(0.0619) / 1-2-6(0.0503) / 1-4-2(0.0445) / 1-6-2(0.0323) / 2-1-3(0.0308) / 2-1-5(0.0296)
2014-01-04,2,4-1-3,1-3-2,0.11244005805633815,False,1-3-2(0.1124) / 3-1-2(0.1091) / 1-2-3(0.0619) / 3-2-1(0.0578) / 2-1-3(0.0449) / 2-3-1(0.0432) / 1-3-6(0.0360) / 3-1-6(0.0349) / 1-3-5(0.0339) / 1-3-4(0.0330)
2014-01-04,3,6-2-3,5-6-2,0.2245244769876466,False,5-6-2(0.2245) / 5-6-1(0.1072) / 6-5-2(0.0957) / 5-2-6(0.0877) / 5-6-4(0.0674) / 5-6-3(0.0510) / 6-5-1(0.0457) / 5-1-6(0.0380) / 2-5-6(0.0307) / 6-5-4(0.0287)
2014-01-04,4,5-2-3,3-6-1,0.06106553561454469,False,3-6-1(0.0611) / 3-1-6(0.0530) / 3-6-5(0.0424) / 3-6-4(0.0371) / 3-6-2(0.0361) / 6-3-1(0.0339) / 3-5-6(0.0337) / 3-4-6(0.0288) / 3-2-6(0.0279) / 1-3-6(0.0278)
2014-01-04,6,2-6-1,6-2-5,0.09254083360661028,False,6-2-5(0.0925) / 6-5-2(0.0798) / 2-6-5(0.0758) / 5-6-2(0.0608) / 2-5-6(0.0493) / 5-2-6(0.0458) / 6-2-4(0.0299) / 6-2-3(0.0280) / 2-6-4(0.0245) / 2-6-3(0.0230)
2014-01-04,8,4-1-2,1-4-2,0.20695253300629685,False,1-4-2(0.2070) / 4-1-2(0.1664) / 1-2-4(0.1168) / 2-1-4(0.0753) / 4-2-1(0.0697) / 2-4-1(0.0559) / 1-4-6(0.0480) / 4-1-6(0.0386) / 1-6-4(0.0204) / 1-4-3(0.0200)
2014-01-04,9,4-1-2,4-1-2,0.12640815859776575,True,4-1-2(0.1264) / 4-2-1(0.1220) / 1-4-2(0.0863) / 2-4-1(0.0821) / 1-2-4(0.0473) / 2-1-4(0.0466) / 4-1-6(0.0326) / 4-2-6(0.0298) / 1-4-6(0.0223) / 4-6-1(0.0214)
2014-01-04,11,4-5-2,1-5-4,0.070161871294513,False,1-5-4(0.0702) / 1-5-3(0.0595) / 5-1-4(0.0541) / 1-4-5(0.0491) / 5-1-3(0.0459) / 1-3-5(0.0400) / 1-5-6(0.0346) / 4-1-5(0.0319) / 5-4-1(0.0275) / 5-1-6(0.0266)
2014-01-05,6,3-1-5,5-1-3,0.24142703267530635,False,5-1-3(0.2414) / 1-5-3(0.1916) / 5-3-1(0.0830) / 5-1-4(0.0568) / 1-3-5(0.0499) / 3-5-1(0.0463) / 1-5-4(0.0451) / 5-1-6(0.0394) / 3-1-5(0.0351) / 1-5-6(0.0313)
2014-01-05,11,2-3-4,2-3-5,0.07300682235612672,False,2-3-5(0.0730) / 3-2-5(0.0723) / 2-5-3(0.0707) / 3-5-2(0.0690) / 5-2-3(0.0687) / 5-3-2(0.0677) / 2-3-1(0.0168) / 3-2-1(0.0166) / 2-5-1(0.0155) / 5-2-1(0.0150)
2014-01-08,2,4-2-1,4-6-2,0.20635331198664966,False,4-6-2(0.2064) / 4-2-6(0.1523) / 4-6-1(0.1206) / 4-1-6(0.0760) / 4-2-1(0.0545) / 6-4-2(0.0524) / 4-1-2(0.0465) / 2-4-6(0.0369) / 6-4-1(0.0306) / 4-6-3(0.0225)
2014-01-08,3,2-1-5,3-4-2,0.07976979154365767,False,3-4-2(0.0798) / 3-4-5(0.0739) / 4-3-2(0.0738) / 4-3-5(0.0684) / 3-2-4(0.0451) / 3-5-4(0.0412) / 4-2-3(0.0380) / 4-5-3(0.0347) / 2-3-4(0.0314) / 3-4-1(0.0291)
2014-01-08,4,4-3-2,4-3-1,0.2708123020898686,False,4-3-1(0.2708) / 4-1-3(0.2536) / 3-4-1(0.0651) / 1-4-3(0.0604) / 4-3-5(0.0513) / 4-1-5(0.0441) / 4-5-3(0.0304) / 4-5-1(0.0279) / 4-3-2(0.0244) / 4-1-2(0.0210)
2014-01-08,5,4-1-2,4-1-2,0.1930094062627688,True,4-1-2(0.1930) / 4-2-1(0.1645) / 4-1-6(0.0881) / 1-4-2(0.0806) / 2-4-1(0.0661) / 4-2-6(0.0594) / 4-6-1(0.0576) / 4-6-2(0.0456) / 1-4-6(0.0368) / 2-4-6(0.0239)
2014-01-08,6,4-6-5,4-2-3,0.11976548119798539,False,4-2-3(0.1198) / 2-4-3(0.0991) / 4-2-5(0.0777) / 4-3-2(0.0759) / 2-4-5(0.0642) / 3-4-2(0.0512) / 2-3-4(0.0490) / 4-5-2(0.0440) / 3-2-4(0.0400) / 2-5-4(0.0291)
2014-01-08,7,2-3-5,6-2-1,0.1125559548083994,False,6-2-1(0.1126) / 6-2-5(0.0763) / 2-6-1(0.0723) / 6-1-2(0.0706) / 6-2-3(0.0683) / 2-6-5(0.0490) / 6-5-2(0.0440) / 2-6-3(0.0439) / 6-3-2(0.0387) / 1-6-2(0.0381)
2014-01-08,9,2-1-3,6-3-2,0.05913352716146802,False,6-3-2(0.0591) / 3-6-2(0.0572) / 6-2-3(0.0525) / 3-2-6(0.0484) / 2-6-3(0.0473) / 2-3-6(0.0451) / 6-3-4(0.0409) / 3-6-4(0.0395) / 6-4-3(0.0318) / 3-4-6(0.0295)
2014-01-08,10,4-3-6,3-6-1,0.10334972961415757,False,3-6-1(0.1033) / 6-3-1(0.0795) / 3-1-6(0.0764) / 1-3-6(0.0513) / 3-6-4(0.0472) / 3-6-2(0.0438) / 6-1-3(0.0415) / 6-3-4(0.0363) / 1-6-3(0.0363) / 6-3-2(0.0337)
2014-01-08,11,3-5-4,3-1-5,0.060080817137599385,False,3-1-5(0.0601) / 3-5-1(0.0595) / 3-1-2(0.0378) / 3-5-2(0.0365) / 1-3-5(0.0363) / 5-3-1(0.0358) / 3-2-1(0.0325) / 3-2-5(0.0317) / 3-1-6(0.0295) / 3-5-6(0.0285)
2014-01-08,12,4-1-2,1-5-3,0.10728903784821753,False,1-5-3(0.1073) / 1-5-6(0.0996) / 5-1-3(0.0735) / 5-1-6(0.0682) / 1-5-4(0.0556) / 1-3-5(0.0516) / 1-6-5(0.0473) / 1-5-2(0.0393) / 5-1-4(0.0381) / 3-1-5(0.0271)
2014-01-09,2,2-5-6,2-6-1,0.16126082353288218,False,2-6-1(0.1613) / 2-6-4(0.1479) / 6-2-1(0.1118) / 6-2-4(0.1026) / 2-6-5(0.0606) / 2-1-6(0.0527) / 2-4-6(0.0477) / 6-2-5(0.0421) / 1-2-6(0.0259) / 6-1-2(0.0243)
2014-01-09,3,5-6-1,5-6-1,0.26846418398689786,True,5-6-1(0.2685) / 6-5-1(0.2563) / 5-6-2(0.0764) / 6-5-2(0.0729) / 5-6-3(0.0475) / 6-5-3(0.0453) / 5-1-6(0.0415) / 6-1-5(0.0376) / 1-5-6(0.0229) / 1-6-5(0.0217)
2014-01-09,4,3-4-6,3-5-6,0.11734987349197963,False,3-5-6(0.1173) / 3-5-1(0.1125) / 3-6-5(0.0875) / 3-1-5(0.0827) / 5-3-6(0.0683) / 5-3-1(0.0655) / 3-6-1(0.0492) / 3-1-6(0.0485) / 6-3-5(0.0460) / 1-3-5(0.0432)
2014-01-09,5,4-1-3,4-5-3,0.08740381333210306,False,4-5-3(0.0874) / 5-4-3(0.0746) / 4-3-5(0.0694) / 4-5-1(0.0689) / 5-4-1(0.0588) / 3-4-5(0.0527) / 4-1-5(0.0502) / 5-3-4(0.0477) / 3-5-4(0.0424) / 4-3-1(0.0366)
2014-01-09,6,5-2-6,2-5-6,0.09272135196469401,False,2-5-6(0.0927) / 2-6-5(0.0774) / 2-5-3(0.0589) / 5-2-6(0.0576) / 2-5-1(0.0480) / 6-2-5(0.0448) / 2-3-5(0.0431) / 5-2-3(0.0366) / 2-6-3(0.0345) / 2-1-5(0.0338)
2014-01-09,7,3-4-5,5-3-4,0.2124561213613232,False,5-3-4(0.2125) / 3-5-4(0.1514) / 5-3-2(0.1429) / 5-3-1(0.1175) / 3-5-2(0.1018) / 3-5-1(0.0837) / 5-4-3(0.0299) / 5-2-3(0.0197) / 5-1-3(0.0161) / 3-4-5(0.0149)
