開催日,レース,実際3連単,予測3連単,予測確率,的中,TOP10
2014-01-01,4,5-3-6,5-3-6,0.16616410389702663,True,5-3-6(0.1662) / 3-5-6(0.1241) / 5-6-3(0.0850) / 5-3-4(0.0583) / 6-5-3(0.0495) / 3-6-5(0.0442) / 3-5-4(0.0436) / 5-3-1(0.0429) / 6-3-5(0.0344) / 3-5-1(0.0321)
2014-01-01,7,3-1-6,3-1-6,0.12419693448917837,True,3-1-6(0.1242) / 3-1-2(0.1123) / 3-6-1(0.0893) / 3-2-1(0.0781) / 1-3-6(0.0685) / 1-3-2(0.0619) / 3-6-2(0.0443) / 6-3-1(0.0441) / 3-2-6(0.0429) / 2-3-1(0.0382)
2014-01-01,8,2-1-5,2-4-1,0.30496434657380395,False,2-4-1(0.3050) / 2-4-5(0.1475) / 4-2-1(0.0921) / 2-1-4(0.0811) / 2-4-6(0.0688) / 2-4-3(0.0573) / 4-2-5(0.0446) / 2-5-4(0.0366) / 4-2-6(0.0208) / 1-2-4(0.0205)
2014-01-01,9,3-1-2,3-1-2,0.1618800863060857,True,3-1-2(0.1619) / 3-2-1(0.1172) / 3-1-5(0.1050) / 3-5-1(0.0685) / 3-1-6(0.0654) / 3-1-4(0.0457) / 3-2-5(0.0402) / 3-6-1(0.0399) / 3-5-2(0.0362) / 3-4-1(0.0271)
2014-01-01,11,2-1-6,2-1-6,0.10750245519141216,True,2-1-6(0.1075) / 2-6-1(0.0823) / 1-2-6(0.0701) / 2-1-3(0.0616) / 6-2-1(0.0483) / 2-1-5(0.0468) / 2-3-1(0.0406) / 1-2-3(0.0401) / 1-6-2(0.0309) / 1-2-5(0.0305)
2014-01-01,12,4-2-3,4-2-3,0.17943754118493355,True,4-2-3(0.1794) / 4-2-1(0.1637) / 4-3-2(0.1039) / 4-1-2(0.0926) / 2-4-3(0.0663) / 2-4-1(0.0605) / 4-3-1(0.0375) / 4-1-3(0.0366) / 3-4-2(0.0342) / 1-4-2(0.0303)
2014-01-02,4,4-3-5,4-3-5,0.22040421671549956,True,4-3-5(0.2204) / 4-3-2(0.1355) / 3-4-5(0.0978) / 4-5-3(0.0837) / 3-4-2(0.0601) / 4-2-3(0.0480) / 4-3-1(0.0475) / 4-3-6(0.0446) / 5-4-3(0.0302) / 3-4-1(0.0211)
2014-01-02,5,3-1-4,3-1-2,0.15771620075189907,False,3-1-2(0.1577) / 3-2-1(0.1029) / 1-3-2(0.0898) / 3-1-4(0.0806) / 2-3-1(0.0511) / 1-3-4(0.0459) / 3-4-1(0.0448) / 3-1-6(0.0357) / 1-2-3(0.0290) / 3-2-4(0.0266)
2014-01-02,6,4-5-1,4-5-1,0.2114848547933385,True,4-5-1(0.2115) / 4-1-5(0.1626) / 5-4-1(0.1101) / 1-4-5(0.0786) / 4-5-3(0.0673) / 4-3-5(0.0376) / 4-1-3(0.0364) / 5-4-3(0.0350) / 5-1-4(0.0349) / 1-5-4(0.0324)
2014-01-02,7,4-2-3,4-2-3,0.17636555099665974,True,4-2-3(0.1764) / 4-2-5(0.1027) / 4-3-2(0.1027) / 2-4-3(0.0723) / 4-2-1(0.0670) / 4-5-2(0.0535) / 2-4-5(0.0421) / 3-4-2(0.0371) / 4-1-2(0.0332) / 2-4-1(0.0275)
2014-01-02,9,5-4-6,5-4-2,0.12629170095434797,False,5-4-2(0.1263) / 5-2-4(0.0833) / 5-4-3(0.0803) / 4-5-2(0.0672) / 5-4-1(0.0560) / 5-3-4(0.0478) / 4-5-3(0.0427) / 2-5-4(0.0389) / 5-1-4(0.0317) / 4-5-1(0.0298)
2014-01-03,5,2-1-4,2-4-1,0.13933480167451937,False,2-4-1(0.1393) / 2-4-3(0.0889) / 4-2-1(0.0827) / 2-1-4(0.0779) / 2-4-5(0.0693) / 4-2-3(0.0527) / 2-3-4(0.0455) / 4-2-5(0.0411) / 1-2-4(0.0383) / 2-5-4(0.0344)
2014-01-03,6,2-5-1,2-1-5,0.0980248044035442,False,2-1-5(0.0980) / 2-5-1(0.0874) / 1-2-5(0.0601) / 5-2-1(0.0512) / 2-1-4(0.0380) / 2-1-6(0.0370) / 1-5-2(0.0280) / 2-5-4(0.0273) / 5-1-2(0.0267) / 2-5-6(0.0266)
2014-01-03,8,4-5-6,4-2-1,0.15233665491323722,False,4-2-1(0.1523) / 4-1-2(0.1396) / 4-2-5(0.0585) / 4-2-6(0.0513) / 2-4-1(0.0478) / 4-1-5(0.0459) / 1-4-2(0.0431) / 4-5-2(0.0410) / 4-1-6(0.0403) / 4-6-2(0.0353)
2014-01-03,9,2-1-3,2-1-6,0.2642578312193133,False,2-1-6(0.2643) / 2-6-1(0.1440) / 1-2-6(0.1132) / 2-1-3(0.0808) / 6-2-1(0.0539) / 2-3-1(0.0351) / 1-2-3(0.0346) / 2-1-4(0.0260) / 2-1-5(0.0249) / 1-6-2(0.0219)
2014-01-03,12,5-2-1,5-2-1,0.08661408794482359,True,5-2-1(0.0866) / 5-1-2(0.0737) / 2-5-1(0.0575) / 1-5-2(0.0457) / 5-2-3(0.0353) / 5-2-4(0.0337) / 5-2-6(0.0295) / 2-1-5(0.0286) / 1-2-5(0.0268) / 5-3-2(0.0243)
2014-01-04,2,4-1-3,4-1-2,0.1854089791765669,False,4-1-2(0.1854) / 4-1-3(0.1052) / 1-4-2(0.0919) / 4-2-1(0.0857) / 4-1-6(0.0696) / 1-4-3(0.0521) / 4-3-1(0.0443) / 2-4-1(0.0349) / 1-4-6(0.0345) / 4-6-1(0.0283)
2014-01-04,3,6-2-3,6-2-5,0.1412196344809062,False,6-2-5(0.1412) / 6-5-2(0.1111) / 6-2-1(0.0675) / 2-6-5(0.0618) / 6-2-3(0.0491) / 5-6-2(0.0456) / 6-1-2(0.0439) / 6-5-1(0.0347) / 6-3-2(0.0307) / 2-6-1(0.0295)
2014-01-04,4,5-2-3,5-2-3,0.10727480932778567,True,5-2-3(0.1073) / 5-3-2(0.1005) / 2-5-3(0.0635) / 3-5-2(0.0580) / 5-2-1(0.0527) / 5-3-1(0.0439) / 5-1-2(0.0392) / 5-1-3(0.0349) / 2-5-1(0.0312) / 2-3-5(0.0291)
2014-01-04,6,2-6-1,2-6-5,0.14175215122432316,False,2-6-5(0.1418) / 6-2-5(0.1025) / 2-6-4(0.0803) / 2-5-6(0.0745) / 6-2-4(0.0580) / 5-2-6(0.0424) / 2-6-3(0.0387) / 2-4-6(0.0379) / 6-5-2(0.0363) / 5-6-2(0.0286)
2014-01-04,8,4-1-2,4-1-2,0.27242011237575564,True,4-1-2(0.2724) / 4-2-1(0.2235) / 1-4-2(0.1367) / 2-4-1(0.1065) / 1-2-4(0.0415) / 2-1-4(0.0395) / 4-1-6(0.0201) / 4-1-3(0.0155) / 4-2-6(0.0132) / 4-2-3(0.0102)
2014-01-04,9,4-1-2,4-1-6,0.1541307592981129,False,4-1-6(0.1541) / 4-6-1(0.1041) / 4-1-2(0.0874) / 4-1-3(0.0785) / 1-4-6(0.0610) / 4-2-1(0.0518) / 4-3-1(0.0458) / 6-4-1(0.0375) / 1-4-2(0.0346) / 1-4-3(0.0311)
