特徴量,重要度
1着率,0.2631026744307048
展示差,0.22201557435104163
勝率,0.20256349357642553
複勝率,0.17825836106412435
展示,0.11979879694952927
風向,0.11499788513441635
体重,0.0716045805852777
展示順位,0.06956822127057764
直近10年勝率,0.06905493190544044
風速,0.06859457014276502
5コース複勝率,0.06269528306886676
1コース1着回数,0.061693396908074336
3着率,0.06168115173944395
4コース複勝率,0.06133350935171104
直近5年勝率,0.06088966602294905
4コース1着回数,0.060867163165891504
2着率,0.060599161280950505
2コース複勝率,0.0589531380824508
1コース複勝率,0.05832776045276798
3コース複勝率,0.05705176975295426
1コース2着回数,0.05467691921216531
直近10年2連帯率,0.05453565101387389
3コース1着回数,0.05383158168208967
6コース6着回数,0.05311208543799721
6コース複勝率,0.050763952231725785
2コース平均スタート順位,0.05056865554328664
1コース進入回数,0.04927974078805513
身長,0.04926742948665158
5コース1着回数,0.04867591259051544
6コース平均スタート順位,0.04814445693994575
天気,0.04788535539343813
6コース進入回数,0.04764433443566128
出走回数,0.045544304074019146
1着回数,0.04518201330977493
5コース平均スタート順位,0.04472631935987221
4コース平均スタート順位,0.04423233922026999
1コース平均スタートタイミング,0.042862465904918365
5コース進入回数,0.04191316036024997
1コース平均スタート順位,0.04148415426242726
5コース3着回数,0.04128904607321456
3コース平均スタート順位,0.04089447913472395
2コース進入回数,0.04076903438916734
6コース平均スタートタイミング,0.0405002552944108
直近5年3連帯率,0.040466333220894976
5コース平均スタートタイミング,0.040308768113058
4コース進入回数,0.04029448768229685
直近5年2連帯率,0.03972860076634347
直近10年3連帯率,0.03965618747777539
2コース1着回数,0.03910233794134259
3コース進入回数,0.03891354322934943
6コース4着回数,0.0385339847308132
5コース5着回数,0.037940681508486555
3コース平均スタートタイミング,0.03661616499391097
3コース5着回数,0.03578639212091404
3コース4着回数,0.03519794921434526
6コース5着回数,0.0351735934181201
6コース3着回数,0.03457513764801136
2コース3着回数,0.034442769355446254
5コース6着回数,0.03438105071349306
2コース4着回数,0.034349729843347054
4コース3着回数,0.03433634407993225
4コース2着回数,0.03404134277385493
4コース5着回数,0.03312015056607988
2コース2着回数,0.03271815092176829
2着回数,0.03252343356889567
2コース平均スタートタイミング,0.03239146696399725
2コース5着回数,0.03129075991271437
4コース4着回数,0.030994021258233313
3コース6着回数,0.030942587250127843
4コース平均スタートタイミング,0.03070897699982428
5コース4着回数,0.03038179234615864
4コース6着回数,0.030301650983012535
2コース6着回数,0.029965757805152402
1コース6着回数,0.02989586092181199
1コース3着回数,0.02970194181325468
1コース4着回数,0.028759052835184897
1コース5着回数,0.02834291821969921
3コース3着回数,0.027761045581286444
3コース2着回数,0.02766203793840061
5コース2着回数,0.026413575888344264
6コース1着回数,0.02627857431385623
平均スタートタイミング,0.023972707256278772
6コース2着回数,0.021818808676566864
級,0.021129908492657976
優出回数,0.020965430277808696
波高,0.01904989519193154
優勝回数,0.01884297025609551
