開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差,モデル
2025-01-01,3,1,1-2-4,4.7,7.336880486965635,2.6368804869656346,1着1号艇
2025-01-01,3,3,1-2-3,13.7,24.632936949629375,10.932936949629376,1着1号艇
2025-01-01,3,4,1-5-6,102.3,43.60355879323178,-58.69644120676822,1着1号艇
2025-01-01,3,5,1-4-3,16.0,18.595305911491632,2.595305911491632,1着1号艇
2025-01-01,3,6,1-4-6,18.2,26.488134486893323,8.288134486893323,1着1号艇
2025-01-01,3,8,1-5-3,33.7,27.109000958087513,-6.5909990419124895,1着1号艇
2025-01-01,3,10,1-2-3,3.1,7.638202750998438,4.538202750998439,1着1号艇
2025-01-02,4,1,1-2-3,6.4,18.47053920257364,12.07053920257364,1着1号艇
2025-01-02,4,3,1-2-5,24.8,42.08748192568247,17.287481925682467,1着1号艇
2025-01-02,4,5,1-4-2,21.9,18.39550671745249,-3.5044932825475072,1着1号艇
2025-01-02,4,6,1-3-4,6.0,6.686320458809695,0.6863204588096954,1着1号艇
2025-01-02,4,9,1-3-4,6.7,10.702649413545798,4.0026494135457975,1着1号艇
2025-01-02,4,10,1-2-3,4.9,7.148619010638302,2.2486190106383015,1着1号艇
2025-01-02,4,11,1-4-3,12.2,8.91953278021987,-3.28046721978013,1着1号艇
2025-01-02,4,12,1-5-3,63.7,33.892285270751245,-29.807714729248758,1着1号艇
2025-01-03,5,5,1-3-6,27.1,30.777234739053753,3.677234739053752,1着1号艇
2025-01-03,5,6,1-5-4,62.0,58.93242052149345,-3.067579478506552,1着1号艇
2025-01-03,5,7,1-3-2,5.5,13.147186824701288,7.647186824701288,1着1号艇
2025-01-03,5,10,1-4-2,23.9,28.525190728068857,4.6251907280688584,1着1号艇
2025-01-03,5,11,1-4-2,9.5,12.645407894510955,3.1454078945109547,1着1号艇
2025-01-03,5,12,1-4-2,16.5,15.598952004209467,-0.9010479957905329,1着1号艇
2025-01-06,1,1,1-6-3,41.3,49.92316170806956,8.62316170806956,1着1号艇
2025-01-06,1,6,1-2-4,11.5,11.189496411648278,-0.31050358835172176,1着1号艇
2025-01-06,1,8,1-3-4,13.4,21.699439662186023,8.299439662186023,1着1号艇
2025-01-06,1,11,1-2-5,12.7,13.443021245545602,0.7430212455456022,1着1号艇
2025-01-06,1,12,1-4-6,27.5,19.55446191982754,-7.9455380801724615,1着1号艇
2025-01-08,2,1,1-3-4,51.5,32.26980352245632,-19.23019647754368,1着1号艇
2025-01-08,2,5,1-6-2,75.2,62.68643210887827,-12.513567891121731,1着1号艇
2025-01-08,2,7,1-6-2,95.8,94.52562091546002,-1.274379084539973,1着1号艇
2025-01-08,2,8,1-2-4,3.4,5.504281074068957,2.104281074068957,1着1号艇
2025-01-08,2,9,1-3-4,10.6,19.421496967764572,8.821496967764572,1着1号艇
2025-01-08,2,10,1-2-3,9.5,9.74471079879497,0.24471079879496926,1着1号艇
2025-01-08,2,11,1-3-2,20.5,12.99537625115987,-7.50462374884013,1着1号艇
2025-01-10,3,11,1-4-2,10.5,14.288504270393737,3.7885042703937373,1着1号艇
2025-01-11,4,7,1-2-3,10.0,12.22521787210374,2.2252178721037392,1着1号艇
2025-01-11,4,8,1-4-3,9.1,9.501891701551044,0.4018917015510439,1着1号艇
2025-01-11,4,10,1-3-6,55.9,26.36091766075148,-29.53908233924852,1着1号艇
2025-01-12,5,1,1-2-3,8.5,18.893578542085518,10.393578542085518,1着1号艇
2025-01-12,5,2,1-4-5,113.9,37.993983810822826,-75.90601618917718,1着1号艇
2025-01-12,5,5,1-5-4,51.7,27.873560257041955,-23.826439742958048,1着1号艇
