開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差
2023-04-16,3,1,1-2-6,46.2,35.30951741658541,-10.890482583414595
2023-04-16,3,4,1-3-4,8.3,12.955233485317228,4.655233485317227
2023-04-16,3,5,1-3-6,16.5,27.73092406284091,11.23092406284091
2023-04-16,3,6,1-4-3,12.0,11.032701506745923,-0.9672984932540771
2023-04-16,3,7,1-2-6,13.2,20.9302225611932,7.730222561193202
2023-04-16,3,10,1-2-5,6.3,9.69386142202495,3.3938614220249503
2023-04-16,3,11,1-2-5,14.0,15.197670708019718,1.197670708019718
2023-04-17,4,1,1-4-3,26.2,15.151015543177762,-11.048984456822238
2023-04-17,4,2,1-3-2,25.7,29.74079878503341,4.0407987850334095
2023-04-17,4,7,1-2-5,9.6,14.212855938638834,4.612855938638834
2023-04-17,4,8,1-4-2,6.6,5.517371643181264,-1.082628356818736
2023-04-17,4,9,1-4-3,60.2,67.42915148101571,7.229151481015705
2023-04-17,4,12,1-4-5,15.4,25.748486333135904,10.348486333135904
2023-04-20,1,4,1-2-6,36.4,22.005329613787243,-14.394670386212756
2023-04-20,1,10,1-5-2,34.8,25.250095599933342,-9.549904400066655
2023-04-20,1,11,1-2-4,8.8,15.193813616782888,6.393813616782888
2023-04-20,1,12,1-3-2,7.4,13.11109297175636,5.71109297175636
2023-04-21,2,1,1-2-5,24.4,17.283325292929252,-7.116674707070747
2023-04-21,2,3,1-2-3,12.3,19.89161227087323,7.591612270873231
2023-04-21,2,6,1-4-3,11.6,13.629808075410606,2.0298080754106067
2023-04-21,2,7,1-5-3,9.9,16.14114483392211,6.2411448339221085
2023-04-21,2,8,1-2-4,5.1,5.144802776640694,0.04480277664069465
2023-04-21,2,9,1-2-5,6.9,9.117171068862449,2.2171710688624486
2023-04-21,2,10,1-6-4,47.2,29.07129847211633,-18.128701527883674
2023-04-21,2,12,1-2-3,16.9,8.642166667457117,-8.257833332542882
2023-04-22,3,1,1-6-3,33.9,45.11280416044587,11.21280416044587
2023-04-22,3,4,1-6-2,163.4,58.67411347894647,-104.72588652105354
2023-04-22,3,8,1-2-4,8.4,12.333842213240818,3.9338422132408173
2023-04-22,3,9,1-6-4,56.0,28.49001384133242,-27.50998615866758
2023-04-22,3,10,1-5-2,10.3,15.402433209917621,5.102433209917621
2023-04-22,3,12,1-4-5,25.1,18.511543127362703,-6.588456872637298
2023-04-23,4,1,1-5-2,54.2,35.71114705227133,-18.488852947728674
2023-04-23,4,4,1-3-5,32.9,37.567183866051245,4.667183866051246
2023-04-23,4,5,1-3-6,11.0,23.428808079089627,12.428808079089627
2023-04-23,4,6,1-3-2,19.2,12.032264344149658,-7.167735655850342
2023-04-23,4,8,1-2-4,4.1,5.606879771770664,1.5068797717706648
2023-04-23,4,9,1-4-5,30.8,42.5773573878861,11.777357387886102
2023-04-23,4,12,1-4-3,11.2,10.973300320861648,-0.22669967913835087
2023-04-24,5,1,1-6-4,43.0,38.255254866741616,-4.744745133258384
2023-04-24,5,6,1-4-3,4.9,8.076221092013153,3.1762210920131526
2023-04-24,5,8,1-3-4,9.3,7.0552293966749895,-2.244770603325011
2023-04-24,5,9,1-2-3,4.7,6.183835775322112,1.4838357753221114
2023-04-24,5,10,1-3-2,6.5,10.977643935862414,4.477643935862414
2023-04-24,5,11,1-4-2,16.8,25.985812626627514,9.185812626627513
2023-04-24,5,12,1-4-2,15.2,26.882160817754247,11.682160817754248
2023-04-25,6,4,1-2-3,9.8,11.02302458343914,1.2230245834391393
2023-04-25,6,5,1-3-2,11.1,12.65456911919492,1.5545691191949196
2023-04-25,6,6,1-3-4,6.5,13.569977811806114,7.069977811806114
2023-04-25,6,7,1-2-6,9.6,16.929919578010796,7.329919578010797
2023-04-25,6,8,1-4-5,8.1,17.542013004407423,9.442013004407423
2023-04-25,6,9,1-4-2,12.9,14.137320529957405,1.2373205299574046
2023-04-25,6,10,1-2-3,6.6,6.1760705738997705,-0.4239294261002291
2023-04-25,6,11,1-2-3,5.5,7.503551420723625,2.0035514207236247
2023-04-26,7,1,1-3-2,13.2,22.78854502054914,9.588545020549141
2023-04-26,7,2,1-3-2,16.9,21.395025348974254,4.495025348974256
2023-04-26,7,3,1-6-5,234.8,97.43666187935892,-137.3633381206411
2023-04-26,7,4,1-3-5,19.5,17.933657094198903,-1.566342905801097
2023-04-26,7,5,1-2-3,3.5,7.63936267527747,4.13936267527747
2023-04-26,7,6,1-2-3,18.9,12.788987657822016,-6.1110123421779825
2023-04-26,7,7,1-6-2,6.3,24.84320256245402,18.54320256245402
2023-04-26,7,8,1-2-3,4.2,6.097786045254786,1.8977860452547857
2023-04-26,7,11,1-4-5,28.4,18.447329926182842,-9.952670073817156
2023-04-26,7,12,1-3-4,12.5,9.37756080393108,-3.1224391960689193
2023-04-28,1,7,1-3-2,10.8,10.265845264533965,-0.5341547354660356
2023-04-28,1,8,1-2-4,4.6,5.885001175784187,1.2850011757841875
2023-04-28,1,10,1-4-6,86.9,46.48851462999395,-40.411485370006055
