開催日,日目,レース,3連単,3連単オッズ,予測オッズ
2024-01-01,3,1,3-1-4,26.2,22.541510591328212
2024-01-01,3,2,5-2-6,34.1,180.8765597660362
2024-01-01,3,3,3-4-2,145.8,167.7686630959364
2024-01-01,3,4,2-5-1,65.4,64.47426795834372
2024-01-01,3,5,2-5-1,43.0,89.69348316139987
2024-01-01,3,6,2-3-1,141.9,118.42177718228523
2024-01-01,3,7,1-3-4,16.7,14.850341604014421
2024-01-01,3,8,1-2-4,8.4,3.9816535953065895
2024-01-01,3,9,2-4-5,71.6,199.11340992210788
2024-01-01,3,10,1-2-3,17.5,21.898119116569674
2024-01-01,3,11,2-1-4,46.8,24.36101420802456
2024-01-01,3,12,1-2-5,20.6,22.10038051571531
2024-01-02,4,1,1-4-6,20.7,53.42108879148159
2024-01-02,4,2,1-5-2,37.5,26.93309227432406
2024-01-02,4,5,2-4-6,265.7,87.18457924873842
2024-01-02,4,6,1-5-4,147.8,59.96771745424249
2024-01-02,4,7,1-3-6,4.7,22.622797630260337
2024-01-02,4,8,1-2-3,5.9,7.8112957988356575
2024-01-02,4,9,1-3-5,7.8,16.609793240034
2024-01-02,4,11,2-5-1,120.6,130.62926723435933
2024-01-02,4,12,1-6-2,28.3,53.06612922999127
2024-01-03,5,1,2-5-1,108.6,177.94357221298733
2024-01-03,5,2,3-6-1,16.1,3.2752763064788075
2024-01-03,5,3,2-3-1,30.7,34.73160637779304
2024-01-03,5,4,3-1-5,36.1,34.95927826088405
2024-01-03,5,5,1-2-3,5.0,7.277741235849317
2024-01-03,5,6,3-1-4,7.6,14.928336137290776
2024-01-03,5,8,2-1-4,19.0,26.426298140725024
2024-01-03,5,9,3-4-2,212.9,102.73408816960256
2024-01-03,5,10,1-3-2,9.8,10.16154159798542
2024-01-03,5,11,1-2-3,3.8,6.5633572444985955
2024-01-03,5,12,1-4-3,13.3,32.41082975562904
2024-01-05,1,1,1-2-3,6.2,11.653030364126266
2024-01-05,1,2,1-5-2,17.0,33.91321525427335
2024-01-05,1,3,5-2-6,124.2,145.71885519054618
2024-01-05,1,4,2-3-6,43.5,153.88741258002133
2024-01-05,1,5,4-3-2,157.4,141.12463152615035
2024-01-05,1,6,3-4-5,35.6,48.91423770508167
2024-01-05,1,7,2-1-3,19.3,21.01185069194796
2024-01-05,1,8,1-4-5,20.2,15.042808809078048
2024-01-05,1,9,2-1-5,42.2,47.24704407442091
2024-01-05,1,10,1-2-4,5.4,6.659209017870262
2024-01-05,1,11,2-1-3,19.6,26.776475339997607
2024-01-05,1,12,5-4-3,532.9,378.0013241153713
2024-01-06,2,1,1-2-5,9.4,15.657460370179846
2024-01-06,2,2,2-6-1,48.4,138.87860892061414
2024-01-06,2,4,6-4-5,76.9,183.70909170670942
2024-01-06,2,5,1-3-5,30.3,49.411411868222956
2024-01-06,2,6,4-3-2,57.6,63.01943748132777
2024-01-06,2,7,1-4-5,265.2,79.07968843017179
2024-01-06,2,8,1-4-6,22.7,44.71080057223752
2024-01-06,2,9,3-1-2,28.2,18.132599262376022
