開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2023-04-16,3,1,1-2-6,46.2,22.662562258609167,-23.537437741390836
2023-04-16,3,2,5-1-2,43.2,83.55211624097844,40.35211624097843
2023-04-16,3,3,3-2-1,42.9,49.17005441527257,6.270054415272568
2023-04-16,3,4,1-3-4,8.3,19.4823040544442,11.182304054444199
2023-04-16,3,5,1-3-6,16.5,25.36799660641339,8.867996606413389
2023-04-16,3,6,1-4-3,12.0,14.862232387370877,2.8622323873708773
2023-04-16,3,7,1-2-6,13.2,21.149421149678826,7.949421149678827
2023-04-16,3,8,2-4-1,26.7,39.757826687721824,13.057826687721825
2023-04-16,3,9,6-1-5,231.7,118.09298912034008,-113.60701087965991
2023-04-16,3,10,1-2-5,6.3,11.626766815016198,5.326766815016199
2023-04-16,3,11,1-2-5,14.0,11.827615676892966,-2.1723843231070337
2023-04-16,3,12,2-3-6,105.9,136.05222922760535,30.152229227605346
2023-04-17,4,1,1-4-3,26.2,14.622898114940757,-11.577101885059243
2023-04-17,4,2,1-3-2,25.7,20.990239339252977,-4.709760660747023
2023-04-17,4,3,4-3-5,71.3,46.06164655693048,-25.23835344306952
2023-04-17,4,4,3-1-6,19.6,44.7924216627215,25.1924216627215
2023-04-17,4,5,4-1-6,10.0,45.62142752499083,35.62142752499083
2023-04-17,4,6,3-4-1,13.3,32.158758145775906,18.858758145775905
2023-04-17,4,7,1-2-5,9.6,14.540632321802349,4.940632321802349
2023-04-17,4,8,1-4-2,6.6,11.533060933985603,4.933060933985603
2023-04-17,4,9,1-4-3,60.2,17.457572373249167,-42.74242762675084
2023-04-17,4,10,2-1-4,28.8,25.967031110245923,-2.8329688897540777
2023-04-17,4,11,4-3-2,163.6,137.94544332415637,-25.654556675843622
2023-04-17,4,12,1-4-5,15.4,24.86151459586775,9.46151459586775
2023-04-20,1,1,2-1-3,27.6,42.174236989071666,14.574236989071665
2023-04-20,1,2,2-3-1,184.7,50.03177081108688,-134.6682291889131
2023-04-20,1,3,3-5-1,16.1,46.615597680080825,30.515597680080823
2023-04-20,1,4,1-2-6,36.4,20.64977586017227,-15.75022413982773
2023-04-20,1,5,6-2-5,87.3,216.32087808822604,129.02087808822603
2023-04-20,1,6,2-1-4,63.0,22.52348175536465,-40.47651824463535
2023-04-20,1,7,2-1-6,6.1,25.780148275394072,19.680148275394075
2023-04-20,1,8,2-1-4,27.9,29.357416007168535,1.4574160071685363
2023-04-20,1,9,3-4-5,39.6,87.6040749294949,48.0040749294949
2023-04-20,1,10,1-5-2,34.8,22.072466096774594,-12.727533903225403
2023-04-20,1,11,1-2-4,8.8,10.818746026389697,2.018746026389696
2023-04-20,1,12,1-3-2,7.4,12.86157180507983,5.46157180507983
2023-04-21,2,1,1-2-5,24.4,16.739873354303697,-7.660126645696302
2023-04-21,2,2,2-1-6,40.1,36.68343385302754,-3.416566146972464
2023-04-21,2,3,1-2-3,12.3,17.311848305681103,5.011848305681102
2023-04-21,2,4,4-1-2,64.4,39.23269560178323,-25.16730439821678
2023-04-21,2,5,6-1-3,32.8,60.06307002392749,27.26307002392749
2023-04-21,2,6,1-4-3,11.6,15.890119967835098,4.290119967835098
2023-04-21,2,7,1-5-3,9.9,29.42116007783843,19.52116007783843
2023-04-21,2,8,1-2-4,5.1,6.769480622763221,1.6694806227632215
2023-04-21,2,9,1-2-5,6.9,16.947979652678768,10.047979652678768
2023-04-21,2,10,1-6-4,47.2,69.04662234473916,21.84662234473916
2023-04-21,2,11,6-2-1,712.7,275.13491224260997,-437.5650877573901
2023-04-21,2,12,1-2-3,16.9,8.898372481722316,-8.001627518277683
2023-04-22,3,1,1-6-3,33.9,38.81206146039215,4.912061460392152
2023-04-22,3,2,4-2-1,82.2,72.30832928332194,-9.891670716678064
2023-04-22,3,3,2-6-3,614.8,100.56297964375916,-514.2370203562408
2023-04-22,3,4,1-6-2,163.4,47.400760395273224,-115.99923960472678
2023-04-22,3,5,3-4-5,247.5,62.7577380056552,-184.7422619943448
2023-04-22,3,6,3-4-1,33.8,44.7627562055336,10.962756205533601
2023-04-22,3,7,5-6-1,240.1,69.1116082116647,-170.9883917883353
2023-04-22,3,8,1-2-4,8.4,6.266238788461039,-2.1337612115389613
2023-04-22,3,9,1-6-4,56.0,51.561191410011105,-4.438808589988895
2023-04-22,3,10,1-5-2,10.3,28.49766880165368,18.19766880165368
2023-04-22,3,11,2-1-5,56.0,41.386998708667065,-14.613001291332935
2023-04-22,3,12,1-4-5,25.1,25.539170808831596,0.43917080883159443
2023-04-23,4,1,1-5-2,54.2,32.91655589793183,-21.283444102068174
2023-04-23,4,2,3-1-4,32.7,36.76266363771219,4.062663637712184
2023-04-23,4,3,3-1-2,21.0,55.08165183960027,34.08165183960027
2023-04-23,4,4,1-3-5,32.9,22.55379869192159,-10.34620130807841
2023-04-23,4,5,1-3-6,11.0,22.237845247063166,11.237845247063166
2023-04-23,4,6,1-3-2,19.2,13.956189435613584,-5.243810564386415
2023-04-23,4,8,1-2-4,4.1,5.08938609964738,0.9893860996473807
2023-04-23,4,9,1-4-5,30.8,23.257009883919366,-7.5429901160806345
2023-04-23,4,10,2-1-3,13.3,33.29792908189177,19.997929081891773
2023-04-23,4,11,3-2-4,381.8,131.136712943701,-250.663287056299
2023-04-23,4,12,1-4-3,11.2,15.554575488239545,4.354575488239545
2023-04-24,5,1,1-6-4,43.0,55.216708234189255,12.216708234189255
2023-04-24,5,2,3-4-1,77.6,35.87023668946793,-41.729763310532064
2023-04-24,5,3,3-2-4,342.1,46.2779715262485,-295.8220284737515
2023-04-24,5,4,2-1-6,57.9,36.119329507321304,-21.780670492678695
2023-04-24,5,5,5-3-6,80.4,106.12381759456416,25.723817594564153
2023-04-24,5,6,1-4-3,4.9,15.451171795235778,10.551171795235778
2023-04-24,5,7,6-3-1,87.4,104.96964073131969,17.56964073131968
2023-04-24,5,8,1-3-4,9.3,13.502657785995199,4.202657785995198
2023-04-24,5,9,1-2-3,4.7,8.157744991420227,3.4577449914202267
2023-04-24,5,10,1-3-2,6.5,16.078048447985147,9.578048447985147
2023-04-24,5,11,1-4-2,16.8,12.6412918694905,-4.158708130509501
2023-04-24,5,12,1-4-2,15.2,11.532372485321764,-3.6676275146782356
2023-04-25,6,2,3-5-1,20.1,75.48747602824878,55.38747602824878
2023-04-25,6,3,5-1-3,15.7,83.44794535733105,67.74794535733105
2023-04-25,6,4,1-2-3,9.8,16.993144565890884,7.193144565890883
2023-04-25,6,5,1-3-2,11.1,15.807064449650428,4.707064449650428
2023-04-25,6,6,1-3-4,6.5,10.158725963306491,3.658725963306491
2023-04-25,6,7,1-2-6,9.6,21.482386781958024,11.882386781958024
2023-04-25,6,8,1-4-5,8.1,16.682190357762735,8.582190357762736
2023-04-25,6,9,1-4-2,12.9,13.757369282539411,0.8573692825394108
2023-04-25,6,10,1-2-3,6.6,8.062991706910434,1.4629917069104348
2023-04-25,6,11,1-2-3,5.5,8.148864420344744,2.6488644203447436
2023-04-25,6,12,5-1-4,87.7,141.22421575027252,53.52421575027252
2023-04-26,7,1,1-3-2,13.2,17.230313079506395,4.030313079506396
2023-04-26,7,2,1-3-2,16.9,18.20942202112423,1.309422021124231
2023-04-26,7,3,1-6-5,234.8,56.68860621943062,-178.1113937805694
2023-04-26,7,4,1-3-5,19.5,24.252564067991706,4.752564067991706
2023-04-26,7,5,1-2-3,3.5,10.229608250496675,6.729608250496675
2023-04-26,7,6,1-2-3,18.9,10.692904634865618,-8.20709536513438
2023-04-26,7,7,1-6-2,6.3,25.027910446664244,18.727910446664243
2023-04-26,7,8,1-2-3,4.2,5.568016574435463,1.3680165744354627
2023-04-26,7,9,3-4-6,227.3,82.93355570379865,-144.36644429620137
2023-04-26,7,10,2-4-6,408.2,99.50319866147672,-308.6968013385233
2023-04-26,7,11,1-4-5,28.4,22.476303966783874,-5.923696033216125
2023-04-26,7,12,1-3-4,12.5,11.95120216730391,-0.5487978326960903
2023-04-28,1,1,2-1-5,20.1,33.048141390676136,12.948141390676135
2023-04-28,1,2,2-1-3,28.0,31.789619429791085,3.7896194297910846
2023-04-28,1,4,3-5-6,15.8,43.85247646592525,28.05247646592525
2023-04-28,1,5,4-2-3,37.1,106.41675206628713,69.31675206628714
2023-04-28,1,6,3-4-1,23.9,68.57948942233044,44.67948942233044
2023-04-28,1,7,1-3-2,10.8,12.95892466532711,2.1589246653271097
2023-04-28,1,8,1-2-4,4.6,6.1719008052259685,1.5719008052259689
2023-04-28,1,9,5-1-4,440.5,107.30953983403509,-333.1904601659649
2023-04-28,1,10,1-4-6,86.9,32.580627977618896,-54.31937202238111
2023-04-28,1,11,1-6-2,45.1,41.47947220143278,-3.620527798567224
2023-04-28,1,12,1-2-3,9.2,7.519054088956856,-1.6809459110431435
2023-04-29,2,1,4-3-2,223.5,121.77381386767502,-101.72618613232498
2023-04-29,2,2,1-2-3,23.4,14.825606912028011,-8.574393087971988
2023-04-29,2,3,1-4-6,19.6,28.2715004468129,8.6715004468129
2023-04-29,2,4,1-2-6,16.3,23.31608986915763,7.0160898691576286
2023-04-29,2,5,1-3-2,6.0,13.218017516410713,7.218017516410713
2023-04-29,2,6,1-2-3,5.9,10.8298043630532,4.929804363053199
2023-04-29,2,7,1-4-5,12.5,20.505655932614214,8.005655932614214
2023-04-29,2,9,1-2-3,11.4,8.930847830422142,-2.4691521695778587
2023-04-29,2,10,4-1-5,170.3,67.3903978943119,-102.90960210568811
2023-04-29,2,11,5-1-6,147.3,142.5944321676303,-4.705567832369724
2023-04-29,2,12,1-3-2,5.0,10.317160319503886,5.317160319503886
2023-04-30,3,1,1-4-3,14.2,14.127079587871165,-0.07292041212883404
2023-04-30,3,2,1-3-4,17.4,16.298085087780684,-1.1019149122193141
2023-04-30,3,3,1-2-3,20.4,16.665579307180455,-3.734420692819544
2023-04-30,3,4,1-2-3,8.9,17.62675864019057,8.72675864019057
2023-04-30,3,5,2-1-6,45.0,33.83702639965975,-11.162973600340251
2023-04-30,3,6,1-4-3,4.2,12.968844446640619,8.768844446640617
2023-04-30,3,7,2-1-3,23.4,24.787934612253963,1.3879346122539644
2023-04-30,3,8,1-2-4,3.1,6.111129646192028,3.011129646192028
2023-04-30,3,9,1-3-2,6.3,11.83926632003544,5.53926632003544
2023-04-30,3,10,1-3-2,5.8,10.59431112178247,4.79431112178247
2023-04-30,3,11,1-3-2,7.8,14.211205246813996,6.411205246813997
2023-04-30,3,12,1-3-4,14.0,13.205372486757533,-0.7946275132424674
2023-05-01,4,1,1-2-3,7.0,13.148054372776652,6.148054372776652
2023-05-01,4,2,4-6-5,54.9,66.94377333189169,12.043773331891693
2023-05-01,4,3,1-4-6,35.0,32.64896739388138,-2.351032606118622
2023-05-01,4,4,4-1-6,19.3,77.02611532215178,57.726115322151784
2023-05-01,4,5,1-2-4,3.7,10.662604727780426,6.962604727780426
2023-05-01,4,6,1-4-3,7.6,13.194946372808088,5.594946372808089
2023-05-01,4,7,2-1-5,25.5,23.69179594107464,-1.8082040589253587
