開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,1,1-4-2,0.03715348615583086,1
2025-01-01,3,1,1-2-4,0.03309598445979583,2
2025-01-01,3,1,4-1-2,0.032896110186411025,3
2025-01-01,3,1,2-1-4,0.027308033806922965,4
2025-01-01,3,1,1-4-6,0.025230122227954562,5
2025-01-01,3,1,4-2-1,0.025018995644856455,6
2025-01-01,3,1,2-4-1,0.02331524707510836,7
2025-01-01,3,1,4-1-6,0.022339031049369115,8
2025-01-01,3,1,1-6-4,0.020362465458328313,9
2025-01-01,3,1,1-4-5,0.020292226356363397,10
2025-01-01,3,1,1-4-3,0.019712421800679943,11
2025-01-01,3,1,4-1-5,0.017966963082460603,12
2025-01-01,3,1,4-1-3,0.017453597675232118,13
2025-01-01,3,1,1-2-6,0.016799065541471377,14
2025-01-01,3,1,6-1-4,0.015780636540198824,15
2025-01-01,3,1,1-5-4,0.015763675102882995,16
2025-01-01,3,1,4-6-1,0.015607535269363398,17
2025-01-01,3,1,1-3-4,0.015246194847284516,18
2025-01-01,3,1,1-6-2,0.015220201323025203,19
2025-01-01,3,1,2-1-6,0.013861181566860241,20
2025-01-01,3,1,6-4-1,0.013661031866201536,21
2025-01-01,3,1,1-2-5,0.013511248081280422,22
2025-01-01,3,1,1-2-3,0.013125194670830507,23
2025-01-01,3,1,4-5-1,0.012143737567247332,24
2025-01-01,3,1,5-1-4,0.011916800675009265,25
2025-01-01,3,1,6-1-2,0.011795451078301416,26
2025-01-01,3,1,1-5-2,0.011782773021648449,27
2025-01-01,3,1,4-3-1,0.011751778374777784,28
2025-01-01,3,1,3-1-4,0.011492483684637792,29
2025-01-01,3,1,1-3-2,0.011395975377374091,30
2025-01-01,3,1,2-1-5,0.011148350030969435,31
2025-01-01,3,1,2-1-3,0.010829811097744748,32
2025-01-01,3,1,5-4-1,0.010368348732899985,33
2025-01-01,3,1,2-6-1,0.010013885504850262,34
2025-01-01,3,1,3-4-1,0.010004860680090787,35
2025-01-01,3,1,6-2-1,0.009405494857848074,36
2025-01-01,3,1,4-2-6,0.009096883489923909,37
2025-01-01,3,1,5-1-2,0.00890737449112874,38
2025-01-01,3,1,3-1-2,0.008590212994577616,39
2025-01-01,3,1,2-4-6,0.00847740209845929,40
2025-01-01,3,1,4-6-2,0.008356747917894309,41
2025-01-01,3,1,1-6-5,0.008312861117281127,42
2025-01-01,3,1,1-6-3,0.00807533987826479,43
2025-01-01,3,1,1-5-6,0.008001424207504163,44
2025-01-01,3,1,2-5-1,0.007811582271172466,45
2025-01-01,3,1,1-3-6,0.0077387583623235645,46
2025-01-01,3,1,2-3-1,0.00756165679747103,47
2025-01-01,3,1,4-2-5,0.0073164932475226615,48
2025-01-01,3,1,6-4-2,0.007314530938671647,49
2025-01-01,3,1,2-6-4,0.00717324330911997,50
2025-01-01,3,1,5-2-1,0.007156918689759127,51
2025-01-01,3,1,4-2-3,0.007107440970949245,52
2025-01-01,3,1,3-2-1,0.006908030784921154,53
2025-01-01,3,1,2-4-5,0.006818253226900529,54
2025-01-01,3,1,6-2-4,0.0067374350371134815,55
2025-01-01,3,1,2-4-3,0.006623437034072055,56
2025-01-01,3,1,4-5-2,0.006502125536102557,57
2025-01-01,3,1,6-1-5,0.006442355429377078,58
2025-01-01,3,1,4-3-2,0.006292258692360801,59
2025-01-01,3,1,6-1-3,0.0062582796674726425,60
2025-01-01,3,1,1-5-3,0.006251553106220544,61
2025-01-01,3,1,1-3-5,0.00622417263724057,62
2025-01-01,3,1,5-1-6,0.006048803770358246,63
2025-01-01,3,1,3-1-6,0.005833426314514039,64
2025-01-01,3,1,2-5-4,0.005595668158297557,65
2025-01-01,3,1,5-4-2,0.005551528488661757,66
2025-01-01,3,1,2-3-4,0.005416639125946515,67
2025-01-01,3,1,3-4-2,0.005356905956912282,68
2025-01-01,3,1,5-2-4,0.00512671321040813,69
2025-01-01,3,1,3-2-4,0.004948427419419692,70
2025-01-01,3,1,5-1-3,0.00472596090631431,71
2025-01-01,3,1,3-1-5,0.004691741329581432,72
2025-01-01,3,1,6-5-1,0.004644779202074826,73
2025-01-01,3,1,4-6-5,0.004564229037397247,74
2025-01-01,3,1,5-6-1,0.00453078148553899,75
2025-01-01,3,1,6-3-1,0.004497246441196513,76
2025-01-01,3,1,4-6-3,0.004433816497018909,77
2025-01-01,3,1,4-5-6,0.0044154516571960015,78
2025-01-01,3,1,3-6-1,0.004374263695338505,79
2025-01-01,3,1,4-3-6,0.004272935660258564,80
2025-01-01,3,1,6-4-5,0.003994998393302966,81
2025-01-01,3,1,6-4-3,0.003880850333464339,82
2025-01-01,3,1,5-4-6,0.003769921932317139,83
2025-01-01,3,1,3-4-6,0.003637758015215041,84
