特徴量,平均絶対SHAP
展示_レース内差,0.19967747925721305
1コース複勝率_レース内差,0.13480419367952293
級,0.12286059325323236
勝率_レース内差,0.07695473120735874
3コース複勝率_レース内差,0.06132435938684264
2コース複勝率_レース内差,0.04399845063415834
展示_レース内順位,0.04186389489965237
4コース複勝率_レース内差,0.037750247642106785
2連率_レース内差,0.03630036989351509
1コース進入回数,0.027197220815279123
2コース複勝率,0.026249564454895097
5コース複勝率_レース内差,0.0247895849378353
開催経過日,0.02370677763852015
登番,0.019549279950132156
2コース進入回数,0.01871504262544645
6コース複勝率_レース内差,0.01822902424888819
平均スタートタイミング_レース内差,0.017759251247469146
当地勝率_レース内順位,0.016411412059795624
3連率_レース内差,0.015420443121954642
6コース進入回数,0.015364404337399057
当地勝率_レース内差,0.014799546503509026
2コース複勝率_レース内順位,0.014353950653180975
4コース複勝率,0.013222179235578278
1コース複勝率,0.01308730523971065
当地2連率_レース内差,0.0122995154789735
3コース複勝率,0.012083401222048552
体重,0.011814669116790544
モーター2連率,0.011295198938794904
6コース複勝率,0.010792238065999667
展示,0.010407700298753977
5コース複勝率,0.01039152528944892
勝率_レース内順位,0.010139838810864232
5コース複勝率_レース内順位,0.00875901630609396
3コース複勝率_レース内順位,0.008062159223621098
2コース平均スタート順位,0.008030574861471674
当地2連率_レース内順位,0.007914661789213077
当地勝率,0.007463037436221636
平均スタートタイミング_レース内順位,0.007237389365314163
勝率,0.006382330781584708
当地3連率,0.006134517036870598
モーター勝率,0.005668765353315574
6コース平均スタート順位,0.005548434674490856
1コース複勝率_レース内順位,0.005267174789422487
モーター勝率_レース内順位,0.005003986046057669
2連率_レース内順位,0.004914469483367336
風速,0.004902999896583401
モーター3連率_レース内差,0.0047649199327676394
ボート2連率_レース内差,0.004474316955787414
3コース平均スタート順位,0.00409191893276737
当地3連率_レース内差,0.003983050708695412
モーター2連率_レース内差,0.003888760227449755
4コース複勝率_レース内順位,0.0038500313104616675
3連率,0.0037430290841006623
モーター,0.00345052711839649
5コース進入回数,0.0033724013973474767
ボート3連率_レース内差,0.0033580903389583082
当地2連率,0.0031215628733594837
4コース平均スタートタイミング,0.003061818621129673
モーター勝率_レース内差,0.0029928999160828383
ボート勝率,0.0026791219121836372
4コース進入回数,0.002515746962924636
2連率,0.0024068663852787895
平均スタートタイミング,0.002345974882654794
5コース平均スタートタイミング,0.0020560152818660422
ボート,0.0017358195601372152
1コース平均スタート順位,0.001485983742362491
3コース平均スタートタイミング,0.0013239315706158117
2コース平均スタートタイミング,0.0011563635916384677
4コース平均スタート順位,0.0011437179929046934
ボート2連率_レース内順位,0.0011422927174025933
1コース平均スタートタイミング,0.0010770951594680134
5コース平均スタート順位,0.0010003641941908044
ボート勝率_レース内差,0.0009725843124406565
3コース進入回数,0.0009653483985897313
6コース平均スタートタイミング,0.0008102130348136841
ボート3連率,0.0007688044852229211
当地3連率_レース内順位,0.0007368532320731454
ボート2連率,0.00034231688822798883
風向,0.0003271113185100404
ボート3連率_レース内順位,0.00020676944273382864
モーター3連率,9.827777135950342e-05
モーター2連率_レース内順位,0.0
波高,0.0
ボート勝率_レース内順位,0.0
モーター3連率_レース内順位,0.0
6コース複勝率_レース内順位,0.0
天気,0.0
3連率_レース内順位,0.0
