開催日,日目,レース,実際3連単,予測3連単,予測確率,的中組み合わせ予測確率,的中組み合わせ予測順位,確率合計,NDCG@1,NDCG@3
2024-01-01,3,1,3-1-4,3-1-5,0.07319345649698947,0.03431249037229306,7,0.9999999999999997,1.0,0.9555845846620258
2024-01-01,3,2,5-2-6,2-5-1,0.0546160382845785,0.03276559294043419,8,1.0,0.49206349206349204,0.8022376107209411
2024-01-01,3,3,3-4-2,4-2-5,0.06165115470925474,0.006701807059978567,32,0.9999999999999999,0.49206349206349204,0.4881692337423846
2024-01-01,3,4,2-5-1,2-3-6,0.04360650979360536,0.0044454592218631786,49,0.9999999999999996,1.0,0.7652388346692668
2024-01-01,3,5,2-5-1,6-5-3,0.03601683159880855,0.002410454356008233,93,0.9999999999999996,0.1111111111111111,0.3004572084269069
2024-01-01,3,6,2-3-1,4-3-1,0.06633912951103926,0.009865161536559818,33,0.9999999999999999,0.047619047619047616,0.3337687699303875
2024-01-01,3,7,1-3-4,1-3-5,0.12220080350197646,0.017326473666659008,10,0.9999999999999993,1.0,0.9333768769930387
2024-01-01,3,8,1-2-4,4-2-3,0.04336429476176586,0.030121233982605914,16,1.0,0.23809523809523808,0.42259960060633583
2024-01-01,3,9,2-4-5,5-2-6,0.037935758015740464,0.023302241192929455,12,1.0,0.23809523809523808,0.6467836570380316
2024-01-01,3,10,1-2-3,1-6-5,0.0551122525286918,0.007031718374564628,42,1.0000000000000002,1.0,0.7261119737808113
2024-01-01,3,11,2-1-4,2-1-3,0.03147855309278507,0.02242098448569686,7,1.0000000000000002,1.0,0.9222730231585452
2024-01-01,3,12,1-2-5,2-4-1,0.020240310593583284,0.010780179333204824,31,1.0000000000000002,0.49206349206349204,0.7009966164193369
2024-01-02,4,1,1-4-6,1-5-4,0.03786170946067726,0.016559659082923894,19,1.0,1.0,0.9206927883521764
2024-01-02,4,2,1-5-2,4-5-1,0.04473765539590041,0.005187995781377712,59,0.9999999999999997,0.047619047619047616,0.6002612619582325
2024-01-02,4,5,2-4-6,4-1-6,0.0814417138056728,0.006903743328860838,44,0.9999999999999996,0.49206349206349204,0.4765386349724348
2024-01-02,4,6,1-5-4,4-3-1,0.10381813883553202,0.008576846482557262,28,1.0000000000000002,0.23809523809523808,0.5653694656483832
2024-01-02,4,7,1-3-6,1-3-6,0.0900100648757573,0.0900100648757573,1,1.0000000000000002,1.0,1.0
2024-01-02,4,8,1-2-3,1-2-4,0.11820077042427383,0.07051876742439692,3,0.9999999999999999,1.0,0.9333768769930387
2024-01-02,4,9,1-3-5,3-1-2,0.050429594346974284,0.03836293821035919,5,1.0000000000000004,0.49206349206349204,0.8022376107209411
2024-01-02,4,11,2-5-1,5-2-1,0.016037275572361155,0.01573124447929772,3,1.0000000000000004,0.49206349206349204,0.8688607337279024
2024-01-02,4,12,1-6-2,5-1-6,0.03862064998758227,0.009241812330046255,36,1.0000000000000002,0.047619047619047616,0.6467836570380316
2024-01-03,5,1,2-5-1,2-1-5,0.029304019313653732,0.02850022730834643,2,0.9999999999999999,1.0,0.9767388024601004
2024-01-03,5,2,3-6-1,3-6-2,0.07793003489215615,0.06380079720167134,2,0.9999999999999993,1.0,0.9555845846620258
2024-01-03,5,3,2-3-1,2-3-5,0.05147399697277261,0.03364004488434229,7,0.9999999999999999,1.0,0.9555845846620258
2024-01-03,5,4,3-1-5,6-5-3,0.02490244141711257,0.008035968976604677,49,0.9999999999999998,0.1111111111111111,0.5325846490803587
2024-01-03,5,5,1-2-3,1-2-3,0.09099662755986673,0.09099662755986673,1,1.0000000000000007,1.0,1.0
2024-01-03,5,6,3-1-4,1-3-4,0.10598372077379861,0.07548941156549024,3,1.0000000000000007,0.49206349206349204,0.8688607337279024
2024-01-03,5,8,2-1-4,4-1-2,0.06402420296013976,0.032843770006676466,8,0.9999999999999997,0.23809523809523808,0.733507507972155
2024-01-03,5,9,3-4-2,6-1-3,0.06165300143926195,0.0026027361448602653,67,1.0000000000000002,0.047619047619047616,0.43212321963446065
2024-01-03,5,10,1-3-2,1-2-5,0.02539556870377064,0.020552222184832263,10,1.0000000000000007,1.0,0.8101809949426972
2024-01-03,5,11,1-2-3,1-2-3,0.04691874138604233,0.04691874138604233,1,0.9999999999999997,1.0,1.0
2024-01-03,5,12,1-4-3,5-6-4,0.021378840262721795,0.00510549581566828,83,0.9999999999999997,0.1111111111111111,0.2568424630395952
2024-01-05,1,1,1-2-3,2-3-1,0.0668521517970562,0.033070916932502574,8,0.9999999999999998,0.49206349206349204,0.7990771411082037
2024-01-05,1,2,1-5-2,5-1-3,0.02918458385882574,0.015618842736755819,18,1.0000000000000002,0.49206349206349204,0.8244453183899282
2024-01-05,1,3,5-2-6,5-6-1,0.03460534794915067,0.016229335426220154,18,1.0,1.0,0.8101809949426972
2024-01-05,1,4,2-3-6,6-2-4,0.09598771491549368,0.016494013996543763,15,0.9999999999999999,0.23809523809523808,0.6245759493690446
2024-01-05,1,5,4-3-2,4-5-3,0.02088296261131062,0.007576036951839354,54,1.0,1.0,0.8926697812982144
2024-01-05,1,6,3-4-5,3-1-4,0.06231829927775624,0.029376788215196847,9,1.0,1.0,0.9206927883521764
2024-01-05,1,7,2-1-3,2-3-5,0.03789920582983542,0.029220563699117574,9,1.0,1.0,0.8434925564461779
2024-01-05,1,8,1-4-5,1-4-2,0.07699474679671384,0.0631501432588949,3,0.9999999999999997,1.0,0.9555845846620258
2024-01-05,1,9,2-1-5,4-6-5,0.033856157711751156,0.00409787160170192,78,1.0000000000000004,0.1111111111111111,0.18202313589062785
2024-01-05,1,10,1-2-4,1-2-5,0.09504268101851701,0.05360362608494843,4,0.9999999999999996,1.0,0.9555845846620258
2024-01-05,1,11,2-1-3,1-3-2,0.08842270382754908,0.036527472707810045,7,0.9999999999999993,0.49206349206349204,0.7990771411082037
2024-01-05,1,12,5-4-3,2-5-1,0.03930896750668573,0.005405101281032902,53,1.0,0.1111111111111111,0.5357451186930963
2024-01-06,2,1,1-2-5,2-5-3,0.053233722173493224,0.014687889029698536,24,1.0000000000000004,0.49206349206349204,0.4881692337423846
2024-01-06,2,2,2-6-1,2-5-3,0.046447519301208676,0.008695864430914116,37,1.0000000000000002,1.0,0.745412031757311
2024-01-06,2,4,6-4-5,6-4-1,0.037427889527973233,0.004855492081396305,61,1.0,1.0,0.9222730231585452
2024-01-06,2,5,1-3-5,6-5-2,0.028189166210267635,0.002612460679195533,95,0.9999999999999999,0.047619047619047616,0.17726132637656544
2024-01-06,2,6,4-3-2,3-4-1,0.06230462625399405,0.012217608318378927,26,0.9999999999999994,0.49206349206349204,0.8244453183899282
2024-01-06,2,7,1-4-5,6-2-5,0.0498178316485122,0.0006397934374003892,113,1.0,0.047619047619047616,0.16563072760661565
2024-01-06,2,8,1-4-6,1-4-2,0.10074345255619113,0.014845556790963022,16,0.9999999999999996,1.0,0.9555845846620258
2024-01-06,2,9,3-1-2,3-5-1,0.06265431821470588,0.016775032254473736,13,0.9999999999999999,1.0,0.9206927883521764
2024-01-06,2,10,2-1-4,2-3-1,0.028612682553559178,0.008072951546073244,44,0.9999999999999999,1.0,0.8786582777712334
2024-01-06,2,11,1-3-2,1-5-3,0.03584434489987183,0.025695580548263788,9,1.0000000000000002,1.0,0.8926697812982144
2024-01-06,2,12,2-5-4,2-3-6,0.03964156440830283,0.012646853018421625,27,0.9999999999999999,1.0,0.7261119737808113
2024-01-07,3,1,1-4-3,1-4-3,0.05869945471464032,0.05869945471464032,1,0.9999999999999999,1.0,1.0
2024-01-07,3,2,5-2-1,5-4-3,0.03747471252681213,0.012867911830057314,28,1.0,1.0,0.745412031757311
2024-01-07,3,3,5-4-6,4-3-1,0.031530233173226764,0.01527252324333646,27,1.0000000000000004,0.49206349206349204,0.4099155119654736
2024-01-07,3,4,4-5-6,4-6-1,0.1053791728529939,0.028550903476414573,8,1.0000000000000004,1.0,0.8434925564461779
2024-01-07,3,5,1-2-3,1-3-2,0.05589086797693145,0.05583143052354832,2,0.9999999999999994,1.0,0.9767388024601004
2024-01-07,3,6,2-5-3,3-4-2,0.05086132578206163,0.001842334713592472,86,0.9999999999999996,0.23809523809523808,0.5373464585944212
2024-01-08,4,2,1-2-4,4-2-3,0.0358786441166241,0.011244030187645337,27,0.9999999999999998,0.23809523809523808,0.42259960060633583
2024-01-08,4,3,1-2-6,4-1-6,0.09457503253805766,0.004870517716970507,41,1.0000000000000002,0.1111111111111111,0.6023682417000574
2024-01-08,4,4,3-2-1,2-3-1,0.027046851454250606,0.02488719780291658,3,1.0,0.49206349206349204,0.8688607337279024
2024-01-08,4,5,6-1-4,4-2-6,0.06946399378297924,0.010061758770908065,29,1.0000000000000002,0.23809523809523808,0.5373464585944212
2024-01-08,4,6,1-4-5,3-4-5,0.04040756777123778,0.02269629534867681,20,0.9999999999999993,0.047619047619047616,0.3337687699303875
2024-01-08,4,7,5-2-4,6-2-1,0.03519817522635404,0.0013390135532422172,109,0.9999999999999997,0.1111111111111111,0.3004572084269069
2024-01-08,4,8,2-1-3,2-1-4,0.09296966905952557,0.07048225896116722,3,0.9999999999999996,1.0,0.9333768769930387
2024-01-08,4,9,1-2-4,1-4-3,0.040638077702756396,0.02431047145464602,8,0.9999999999999999,1.0,0.8434925564461779
2024-01-08,4,11,6-1-3,1-6-2,0.04288555362778232,0.009614868648901409,37,0.9999999999999999,0.49206349206349204,0.8022376107209411
