開催日,日目,レース,3連単,予測確率,予測順位
2024-01-01,3,1,3-1-5,0.07319345649698947,1
2024-01-01,3,1,1-3-5,0.07117366603114703,2
2024-01-01,3,1,3-5-1,0.06135447231381671,3
2024-01-01,3,1,1-5-3,0.057286661034126725,4
2024-01-01,3,1,5-3-1,0.0538617819203868,5
2024-01-01,3,1,5-1-3,0.05171790482595408,6
2024-01-01,3,1,3-1-4,0.03431249037229306,7
2024-01-01,3,1,1-3-4,0.033365629215160536,8
2024-01-01,3,1,3-4-1,0.023107079162820763,9
2024-01-01,3,1,1-4-3,0.021745260773964922,10
2024-01-01,3,1,3-5-4,0.021288718455646286,11
2024-01-01,3,1,3-1-2,0.0212014161650547,12
2024-01-01,3,1,1-3-2,0.020616358151920745,13
2024-01-01,3,1,5-3-4,0.01868891162420306,14
2024-01-01,3,1,1-5-4,0.01863622849784125,15
2024-01-01,3,1,4-3-1,0.017684078087918494,16
2024-01-01,3,1,4-1-3,0.017114133389748893,17
2024-01-01,3,1,3-4-5,0.017102845096791646,18
2024-01-01,3,1,5-1-4,0.016824626786887044,19
2024-01-01,3,1,1-4-5,0.015089997009448216,20
2024-01-01,3,1,3-2-1,0.01338988247541603,21
2024-01-01,3,1,3-5-2,0.01315413060088749,22
2024-01-01,3,1,4-3-5,0.01308897788794854,23
2024-01-01,3,1,5-4-3,0.012907155318988913,24
2024-01-01,3,1,1-2-3,0.012626051357340698,25
2024-01-01,3,1,5-4-1,0.012101292535155095,26
2024-01-01,3,1,4-1-5,0.011876253145688086,27
2024-01-01,3,1,5-3-2,0.011547730541197027,28
2024-01-01,3,1,1-5-2,0.011515178054485806,29
2024-01-01,3,1,4-5-3,0.011252095669613325,30
2024-01-01,3,1,4-5-1,0.010549567117335132,31
2024-01-01,3,1,5-1-2,0.010395803698893136,32
2024-01-01,3,1,3-2-5,0.009910602903449353,33
2024-01-01,3,1,2-3-1,0.00982267923477871,34
2024-01-01,3,1,2-1-3,0.009525190478127311,35
2024-01-01,3,1,1-2-5,0.008761774770322561,36
2024-01-01,3,1,5-2-3,0.007545164030317578,37
2024-01-01,3,1,2-3-5,0.007270315741947904,38
2024-01-01,3,1,5-2-1,0.007074079059254348,39
2024-01-01,3,1,2-1-5,0.006609950431197233,40
2024-01-01,3,1,2-5-3,0.006305033388708979,41
2024-01-01,3,1,2-5-1,0.00591137641060513,42
2024-01-01,3,1,3-4-2,0.0049540567402833234,43
2024-01-01,3,1,3-2-4,0.004646009124083549,44
2024-01-01,3,1,3-1-6,0.004458618246448696,45
2024-01-01,3,1,1-4-2,0.004371009675433233,46
2024-01-01,3,1,1-3-6,0.004335581638314489,47
2024-01-01,3,1,1-2-4,0.004107447944656892,48
2024-01-01,3,1,4-3-2,0.00379138902108018,49
2024-01-01,3,1,4-1-2,0.0034401078658394773,50
2024-01-01,3,1,2-3-4,0.0034082642197582067,51
2024-01-01,3,1,2-1-4,0.003098690393739201,52
2024-01-01,3,1,3-5-6,0.0027662891127978005,53
2024-01-01,3,1,4-2-3,0.00265843047021129,54
2024-01-01,3,1,3-6-1,0.0026087222785303485,55
2024-01-01,3,1,5-4-2,0.002594464208457189,56
2024-01-01,3,1,2-4-3,0.0025482447097575746,57
2024-01-01,3,1,4-2-1,0.002492450428412201,58
2024-01-01,3,1,1-6-3,0.002465399443458714,59
2024-01-01,3,1,5-2-4,0.0024545574551626454,60
2024-01-01,3,1,5-3-6,0.002428466178637511,61
2024-01-01,3,1,1-5-6,0.002421620451442308,62
2024-01-01,3,1,2-4-1,0.002389144154682213,63
2024-01-01,3,1,4-5-2,0.002261781063562405,64
2024-01-01,3,1,5-1-6,0.0021862181138060876,65
