特徴量,平均絶対SHAP
展示_レース内差,0.22778026937219284
1コース複勝率_レース内差,0.13438005810736448
級,0.13144990949738952
勝率_レース内差,0.06632017024352203
3コース複勝率_レース内差,0.05303837609995268
2連率_レース内差,0.04286051481091653
2コース複勝率_レース内差,0.04114797336977055
4コース複勝率_レース内差,0.03924994346428601
4コース複勝率,0.038490374608766365
1コース進入回数,0.03620621875905549
5コース複勝率_レース内差,0.03249963544717896
平均スタートタイミング_レース内差,0.027109506715664183
登番,0.021684607715692687
6コース複勝率_レース内差,0.020320650670534294
展示_レース内順位,0.01647275018481297
2コース複勝率,0.015923582966156855
当地2連率_レース内差,0.0158716639434206
2コース進入回数,0.01560198836286261
モーター2連率,0.014644097635503213
展示,0.014320627442603123
3コース複勝率,0.01326614981687449
勝率,0.01250190989659245
当地勝率_レース内差,0.011861805325021598
当地2連率_レース内順位,0.010754096547014817
体重,0.010474773002140957
6コース進入回数,0.010031229833901822
2コース複勝率_レース内順位,0.00976548199111504
当地勝率_レース内順位,0.009702530207453831
3連率_レース内差,0.009364802371137732
1コース複勝率,0.009230688263101208
1コース複勝率_レース内順位,0.009207522932666043
3コース複勝率_レース内順位,0.008706663331518151
勝率_レース内順位,0.008452173715881682
5コース複勝率,0.007449925485384075
当地勝率,0.007370609298212956
モーター2連率_レース内差,0.006616854506817541
ボート2連率_レース内差,0.006468930667724757
2コース平均スタートタイミング,0.005998096539070531
当地3連率_レース内差,0.005550893477484215
モーター,0.005244093184226285
4コース進入回数,0.00498507723470485
2コース平均スタート順位,0.00455214337717529
5コース複勝率_レース内順位,0.004356044972963945
モーター3連率,0.004133123189361137
平均スタートタイミング_レース内順位,0.00412046440868784
2連率,0.004047015487631572
6コース平均スタート順位,0.003909135423093373
モーター勝率,0.0036277868524788154
6コース平均スタートタイミング,0.0035799479538676637
モーター3連率_レース内順位,0.0035076804261423627
ボート3連率_レース内差,0.003359955065476009
5コース進入回数,0.0033223831447364836
5コース平均スタートタイミング,0.0032459415108493767
1コース平均スタート順位,0.0028571588353177102
当地3連率,0.002756893258340094
3連率,0.002750950431160291
ボート勝率_レース内差,0.0025186926946489225
ボート,0.002280210881488313
モーター3連率_レース内差,0.0022586286404793613
3コース平均スタート順位,0.0022475448665946244
6コース複勝率,0.0022451092672530993
平均スタートタイミング,0.002187474913766791
当地2連率,0.0021337761642347074
モーター勝率_レース内差,0.001911731099972057
4コース平均スタート順位,0.0018092781623524966
開催経過日,0.0018049866835283604
4コース平均スタートタイミング,0.0016763739016279256
モーター勝率_レース内順位,0.0015327351504986807
3コース平均スタートタイミング,0.0014780499196323073
ボート2連率,0.001471862399698557
ボート勝率_レース内順位,0.0014358594564403491
3コース進入回数,0.0013277647981829097
風速,0.0011807210884360062
ボート3連率,0.0005606362725172786
天気,0.00043371121581408257
当地3連率_レース内順位,0.00033216685593768564
4コース複勝率_レース内順位,0.0003223809305363181
モーター2連率_レース内順位,0.00020027737583484784
1コース平均スタートタイミング,0.00013854665198098265
ボート勝率,0.00012985655665369254
風向,0.0
ボート3連率_レース内順位,0.0
ボート2連率_レース内順位,0.0
5コース平均スタート順位,0.0
波高,0.0
2連率_レース内順位,0.0
6コース複勝率_レース内順位,0.0
3連率_レース内順位,0.0
