特徴量,重要度
コース複勝率,0.5415835435347373
勝率,0.15555722469173172
艇番,0.12229131849717502
登番,0.0958224880234532
展示差,0.08461004402238805
1着回数,0.05771114001774834
複勝率,0.03901020018409479
今期能力指数,0.0341181432055028
モーター,0.026347110652246066
ボート,0.017232289477036884
展示順位,0.01548017385145209
級,0.01384518450345013
コース平均ST順位,0.013824428448811085
レース番号,0.011580405091086304
コース進入回数,0.008381972978813459
前期能力指数,0.004420452582420579
コース平均ST,0.0023190872539519346
優出回数,0.0020696218095457085
前々々期級,0.0019697591162559955
養成期,0.0016587663633529613
展示タイム,0.0014683702727814132
2着回数,0.00099757694940797
体重,0.0009638376811371708
出走回数,0.0007334631903823699
平均ST,0.0006684092039012803
風向,0.0004738490276358795
風速,0.00032632880459629017
前期級,0.000324043063047018
前々期級,0.00024329395697559992
身長,0.00023550508793946222
優勝回数,5.116780174026652e-05
波高,3.509472876257545e-05
天気,0.0
