開催日,日目,レース,実際3連単,予測3連単,予測確率,的中順位
2025-01-01,3,1,1-2-4,1-4-2,0.025067372806281518,3
2025-01-01,3,3,1-2-3,5-4-1,0.030192370422154835,52
2025-01-01,3,4,1-5-6,3-2-5,0.019954669736647855,99
2025-01-01,3,5,1-4-3,5-4-3,0.020834720876127456,42
2025-01-01,3,6,1-4-6,4-1-3,0.0352028281051391,5
2025-01-01,3,7,2-5-3,1-2-5,0.024690168766497975,57
2025-01-01,3,8,1-5-3,1-3-6,0.028978102963543407,21
2025-01-01,3,9,2-1-4,5-3-2,0.02648541901664836,82
2025-01-01,3,10,1-2-3,1-2-3,0.034661209087380455,1
2025-01-01,3,12,2-1-3,5-2-6,0.02405633659306164,48
2025-01-02,4,1,1-2-3,1-5-3,0.0284456584246826,15
2025-01-02,4,2,2-1-6,2-4-5,0.019937307297621963,36
2025-01-02,4,3,1-2-5,5-3-4,0.023661169415601126,63
2025-01-02,4,5,1-4-2,5-1-4,0.021461627724889677,69
2025-01-02,4,6,1-3-4,3-1-4,0.055618311871222084,2
2025-01-02,4,7,5-1-3,6-5-1,0.01812084742694365,12
2025-01-02,4,9,1-3-4,1-5-3,0.034426862938696554,18
2025-01-02,4,10,1-2-3,1-5-2,0.026767466445534432,17
2025-01-02,4,11,1-4-3,1-2-4,0.023070777026060207,4
2025-01-02,4,12,1-5-3,2-4-1,0.013066950367563945,84
2025-01-03,5,1,3-4-2,3-4-2,0.025869683921141976,1
2025-01-03,5,2,4-1-2,4-2-3,0.03972416684887613,11
2025-01-03,5,3,4-3-2,1-6-5,0.024222523862006254,120
2025-01-03,5,5,1-3-6,1-6-4,0.023790140164690932,34
2025-01-03,5,6,1-5-4,4-1-6,0.030584577388620988,19
2025-01-03,5,7,1-3-2,1-3-6,0.027964918513483837,10
2025-01-03,5,8,3-1-2,1-3-4,0.025189582063500426,4
2025-01-03,5,10,1-4-2,1-6-2,0.023925213349470634,48
2025-01-03,5,11,1-4-2,4-5-6,0.027413069751790167,38
2025-01-03,5,12,1-4-2,3-6-2,0.011660475501967386,119
2025-01-06,1,1,1-6-3,3-6-4,0.017535509382173825,17
2025-01-06,1,2,2-1-4,6-1-4,0.04166863202047837,26
2025-01-06,1,3,3-4-5,2-6-5,0.02251090376906235,97
2025-01-06,1,5,2-1-6,4-6-5,0.023512880856699257,84
2025-01-06,1,6,1-2-4,1-4-3,0.04637572899225655,10
2025-01-06,1,7,3-2-6,3-4-2,0.030084389823706387,45
2025-01-06,1,8,1-3-4,1-2-4,0.03822912184077901,11
2025-01-06,1,9,3-1-5,5-4-6,0.029990266759326242,93
2025-01-06,1,10,3-1-2,3-1-5,0.029824162189777084,16
2025-01-06,1,11,1-2-5,2-1-3,0.039469689973076816,9
2025-01-06,1,12,1-4-6,1-5-2,0.019310501580142792,43
2025-01-08,2,1,1-3-4,5-6-2,0.03825779699648811,119
