特徴量,平均絶対SHAP
展示_レース内差,0.1559980309599829
級,0.10494405617083015
1コース複勝率_レース内差,0.1001461505341591
勝率_レース内差,0.05834165135736336
2連率_レース内差,0.043074014764323425
3コース複勝率_レース内差,0.03552853616125105
2コース複勝率_レース内差,0.02644564776594066
4コース複勝率_レース内差,0.022867292244668765
1コース複勝率_レース内順位,0.02106621402517433
5コース複勝率_レース内差,0.012958240489860705
3連率_レース内差,0.011834326014016787
平均スタートタイミング_レース内差,0.010030873590440132
当地2連率_レース内差,0.007658831439876695
勝率_レース内順位,0.006742463758540542
3コース複勝率_レース内順位,0.006499840313169646
開催経過日,0.005698919909170082
4コース複勝率,0.00512560726858159
展示_レース内順位,0.0050309936722207965
6コース複勝率_レース内差,0.004841699282923759
当地勝率_レース内差,0.0046368444038342345
1コース進入回数,0.004464884021793409
2コース進入回数,0.004315165270256733
当地3連率_レース内差,0.004188544991339755
当地勝率_レース内順位,0.003671818021153662
2コース複勝率,0.003622461669564069
平均スタートタイミング_レース内順位,0.003595943515538281
5コース複勝率_レース内順位,0.0034039329176570976
当地3連率_レース内順位,0.003250515237719411
4コース複勝率_レース内順位,0.002988907918016063
選手名,0.002903615951050039
2コース複勝率_レース内順位,0.002667212177902156
当地勝率,0.0025058323951065342
6コース複勝率,0.002469691505548759
3連率,0.0024502796680095245
5コース複勝率,0.0021274937862510433
展示,0.0017331404185601702
勝率,0.001635115725669802
当地2連率,0.001565075925664614
3コース複勝率,0.0015472770488614601
モーター2連率,0.001250476098585615
1コース複勝率,0.0012253199881664845
モーター2連率_レース内差,0.0010260966873204256
モーター3連率_レース内差,0.0009583200347330081
5コース平均スタートタイミング,0.0007535804882916858
5コース進入回数,0.0005884494133000275
ボート3連率,0.0005868831365056012
2コース平均スタートタイミング,0.0005511412075389988
当地2連率_レース内順位,0.0005459086964675153
モーター勝率,0.0004941909162372599
6コース複勝率_レース内順位,0.0004823968169056192
1コース平均スタート順位,0.00046089541580436594
2連率,0.00038865742265694155
平均スタートタイミング,0.0003763331729079029
モーター勝率_レース内差,0.0003544208056816941
6コース進入回数,0.00034030307735405683
6コース平均スタートタイミング,0.00029812865794650554
モーター2連率_レース内順位,0.00028769263201537394
風速,0.0002686660494302296
4コース平均スタート順位,0.0002675931538708047
ボート勝率_レース内差,0.0002641290667336503
4コース進入回数,0.00021477437426194266
3コース平均スタート順位,0.00020719238477950755
3コース進入回数,0.00019450089622375253
3コース平均スタートタイミング,0.0001706559160263416
ボート勝率,0.00013203928347726946
6コース平均スタート順位,0.0001267886588406763
波高,5.33010105675786e-05
ボート2連率_レース内順位,0.0
4コース平均スタートタイミング,0.0
天気,0.0
風向,0.0
1コース平均スタートタイミング,0.0
体重,0.0
ボート3連率_レース内差,0.0
ボート2連率_レース内差,0.0
5コース平均スタート順位,0.0
2コース平均スタート順位,0.0
ボート2連率,0.0
2連率_レース内順位,0.0
3連率_レース内順位,0.0
当地3連率,0.0
モーター勝率_レース内順位,0.0
モーター3連率_レース内順位,0.0
モーター3連率,0.0
ボート勝率_レース内順位,0.0
ボート3連率_レース内順位,0.0
