特徴量,平均絶対SHAP
展示_レース内差,0.15880128324141563
級,0.10407258455499009
1コース複勝率_レース内差,0.09402017421739299
勝率_レース内差,0.05720370721460582
2連率_レース内差,0.04291543476539984
3コース複勝率_レース内差,0.034380569020435986
2コース複勝率_レース内差,0.026292927331832264
4コース複勝率_レース内差,0.023938525445179562
1コース複勝率_レース内順位,0.02072757731536557
5コース複勝率_レース内差,0.012399972229923735
3連率_レース内差,0.011250270757136794
平均スタートタイミング_レース内差,0.009993338855200939
当地2連率_レース内差,0.007749719466591564
勝率_レース内順位,0.006709235170039587
3コース複勝率_レース内順位,0.006674890448518541
展示_レース内順位,0.005060267575148855
1コース進入回数,0.0048557895503986625
6コース複勝率_レース内差,0.004779986595325584
当地勝率_レース内差,0.004586535827516381
4コース複勝率,0.004137789279913741
2コース進入回数,0.004014173628556686
当地3連率_レース内差,0.003895300764106954
当地勝率_レース内順位,0.003783657139831358
平均スタートタイミング_レース内順位,0.003636654168164109
5コース複勝率_レース内順位,0.0034839399457779995
選手名,0.003364366068305351
2コース複勝率,0.0033580641200308603
当地3連率_レース内順位,0.0032552540095369957
4コース複勝率_レース内順位,0.0030476128099373332
2コース複勝率_レース内順位,0.002655959405806536
当地勝率,0.0025570653833190287
6コース複勝率,0.002438908741800498
3連率,0.0021915327774897136
5コース複勝率,0.002060898671728584
勝率,0.001580928836424264
展示,0.0015809208812250836
当地2連率,0.0014953332624927061
3コース複勝率,0.0014404413428210933
モーター2連率,0.0011678733879284928
1コース複勝率,0.0011154945035036154
モーター2連率_レース内差,0.0011026118740342116
モーター3連率_レース内差,0.0009222332830884137
5コース平均スタートタイミング,0.0007341343747179269
ボート3連率,0.0006195064226940583
2コース平均スタートタイミング,0.0005606957994313494
当地2連率_レース内順位,0.000549699101137888
5コース進入回数,0.0005394467128703804
6コース複勝率_レース内順位,0.0005082661155486237
モーター勝率,0.0005063680372500743
1コース平均スタート順位,0.0004418125671313488
6コース進入回数,0.0003902520863790263
2連率,0.0003730773843405727
平均スタートタイミング,0.00037245076712890795
モーター勝率_レース内差,0.0003274016520637975
モーター2連率_レース内順位,0.0002817744066379349
4コース進入回数,0.0002704981373432262
6コース平均スタートタイミング,0.00024922153043065143
風速,0.0002475340918453765
ボート勝率_レース内差,0.00023120785417360238
開催経過日,0.00021464257014192659
4コース平均スタート順位,0.00021122480070790803
3コース進入回数,0.00018325743406748246
3コース平均スタートタイミング,0.00017956301728107882
3コース平均スタート順位,0.00017458057302444503
ボート勝率,0.0001358148504537909
6コース平均スタート順位,0.00011620014503091776
波高,5.7426628243794304e-05
モーター3連率,0.0
天気,0.0
風向,0.0
1コース平均スタートタイミング,0.0
4コース平均スタートタイミング,0.0
ボート3連率_レース内差,0.0
ボート2連率_レース内差,0.0
2コース平均スタート順位,0.0
5コース平均スタート順位,0.0
体重,0.0
2連率_レース内順位,0.0
3連率_レース内順位,0.0
ボート2連率,0.0
モーター勝率_レース内順位,0.0
当地3連率,0.0
モーター3連率_レース内順位,0.0
ボート2連率_レース内順位,0.0
ボート3連率_レース内順位,0.0
ボート勝率_レース内順位,0.0
