開催日,日目,レース,参加判定,予測ROI,実際ROI,購入金額,払戻金,購入点数,購入15点,的中有無,実際3連単,実際オッズ
2025-01-01,3,1,参加,369.32557860420826,0.0,1500,0.0,15,5-1-4;6-1-2;5-4-2;6-4-1;5-2-1;4-3-1;4-2-1;2-6-1;6-1-3;5-1-2;5-6-1;3-2-1;5-4-1;2-5-1;5-2-4,0,1-2-4,4.7
2025-01-01,3,3,参加,262.47862575476785,0.0,1500,0.0,15,2-5-4;4-2-5;5-2-4;5-2-1;4-5-1;5-4-3;5-3-1;4-1-5;5-1-4;5-3-4;4-2-1;2-4-1;1-5-4;3-5-4;5-6-4,0,1-2-3,13.7
2025-01-01,3,4,参加,489.47469188513406,0.0,1500,0.0,15,5-3-2;2-5-3;6-3-5;6-5-3;5-3-6;5-2-3;6-3-2;3-2-6;2-6-5;3-5-4;2-6-3;5-4-3;5-2-6;5-3-4;3-6-5,0,1-5-6,102.3
2025-01-01,3,5,参加,479.93506648502677,0.0,1500,0.0,15,6-5-4;5-4-6;5-3-4;6-3-4;5-4-3;6-5-3;3-6-5;5-3-6;6-3-5;6-5-1;4-6-5;6-3-1;5-1-4;6-4-3;6-1-5,0,1-4-3,16.0
2025-01-01,3,6,参加,361.7175600639801,0.0,1500,0.0,15,6-1-4;6-4-3;6-4-1;6-3-4;4-6-1;6-1-3;6-3-1;3-4-6;4-2-1;6-4-2;3-6-1;4-1-6;4-6-2;4-2-3;3-6-4,0,1-4-6,18.2
2025-01-01,3,7,参加,543.5079762581889,0.0,1500,0.0,15,5-2-1;6-1-5;5-6-1;5-1-2;6-5-1;2-6-1;6-2-5;6-1-2;2-5-1;2-5-6;5-6-2;2-5-4;6-2-1;5-4-2;5-2-3,0,2-5-3,101.9
2025-01-01,3,8,参加,603.201354381024,0.0,1500,0.0,15,6-1-3;6-3-1;3-6-1;6-1-4;5-3-1;3-5-1;5-6-1;6-1-2;6-5-1;3-6-5;6-4-1;6-3-4;5-3-6;3-1-6;3-2-1,0,1-5-3,33.7
2025-01-01,3,9,参加,432.1963965904503,0.0,1500,0.0,15,2-5-6;6-5-3;3-6-5;3-6-2;6-3-5;5-2-6;3-5-6;6-5-1;5-3-6;6-2-5;5-3-1;2-6-3;6-1-3;6-5-2;3-5-2,0,2-1-4,35.8
2025-01-01,3,10,参加,409.3521371037756,0.0,1500,0.0,15,3-6-2;3-2-1;2-6-3;6-1-3;3-2-6;6-3-1;6-1-2;6-2-3;5-2-1;2-6-1;2-3-1;5-2-3;2-5-3;3-2-5;5-3-2,0,1-2-3,3.1
2025-01-01,3,12,参加,485.59454218586035,0.0,1500,0.0,15,2-5-6;6-2-5;5-2-6;6-1-2;6-5-2;5-2-1;5-6-2;5-6-1;2-6-1;6-1-5;2-6-3;2-5-1;5-1-2;2-1-6;3-2-5,0,2-1-3,36.0
2025-01-02,4,1,参加,396.26032430584024,0.0,1500,0.0,15,5-1-3;5-3-1;5-3-4;2-5-1;5-3-2;3-5-1;5-4-1;2-5-3;5-6-1;5-1-2;5-1-4;5-2-3;4-1-5;4-5-3;4-1-3,0,1-2-3,6.4
2025-01-02,4,2,参加,522.6985695807291,0.0,1500,0.0,15,2-5-4;6-2-4;2-6-4;2-4-6;6-4-2;6-5-4;4-2-5;6-4-1;6-2-5;5-2-4;5-6-4;5-2-6;6-1-4;4-2-1;2-6-1,0,2-1-6,52.1
2025-01-02,4,3,参加,361.7717786091001,0.0,1500,0.0,15,3-6-5;5-3-4;2-5-3;6-5-3;5-4-3;5-4-6;2-5-4;5-6-4;6-5-4;5-2-6;5-6-1;4-3-5;6-3-5;5-3-1;5-2-1,0,1-2-5,24.8
2025-01-02,4,5,参加,389.76590319958564,0.0,1500,0.0,15,6-5-4;5-4-3;5-6-4;6-1-5;5-3-6;5-3-1;6-1-4;4-5-6;5-4-6;3-5-1;6-5-3;6-3-4;3-5-4;4-6-5;5-4-1,0,1-4-2,21.9
2025-01-02,4,6,参加,288.43320183851733,0.0,1500,0.0,15,6-1-3;6-3-1;3-2-1;4-3-1;2-3-1;3-1-2;3-2-4;4-3-2;3-6-1;6-3-4;3-1-6;3-4-1;3-6-4;1-6-3;3-6-2,0,1-3-4,6.0
2025-01-02,4,7,参加,505.3250496669391,0.0,1500,0.0,15,6-5-3;5-3-6;6-3-5;6-3-1;6-5-4;6-5-2;5-2-6;3-6-5;2-6-5;5-6-1;5-4-6;5-1-6;5-4-3;5-3-1;5-2-3,0,5-1-3,18.4
2025-01-02,4,9,参加,523.897247162326,0.0,1500,0.0,15,6-1-3;6-5-1;5-3-1;3-5-1;1-6-3;3-6-5;6-5-3;5-1-6;3-6-1;5-6-1;1-5-6;6-3-5;6-3-1;1-6-5;3-5-6,0,1-3-4,6.7
2025-01-02,4,10,参加,447.4206398636263,0.0,1500,0.0,15,6-5-1;5-2-1;5-6-1;5-1-4;6-1-5;5-1-6;5-4-1;3-5-1;2-5-6;5-1-2;6-1-3;5-3-4;6-1-2;2-5-1;5-6-4,0,1-2-3,4.9
2025-01-02,4,11,参加,265.0779022025113,0.0,1500,0.0,15,6-1-3;5-1-4;5-4-1;5-1-2;5-3-1;5-2-1;6-1-2;1-6-4;1-6-3;6-1-4;3-5-1;6-3-1;6-4-1;5-6-1;6-1-5,0,1-4-3,12.2
2025-01-02,4,12,参加,431.564825527997,0.0,1500,0.0,15,2-4-5;5-2-4;5-4-3;5-3-4;3-6-2;6-2-4;6-2-5;4-2-3;6-3-1;5-2-3;6-2-1;5-2-1;2-5-4;5-4-2;3-2-4,0,1-5-3,63.7
2025-01-03,5,1,参加,548.3638957923772,0.0,1500,0.0,15,5-3-4;5-4-3;5-4-2;2-5-4;3-5-4;4-3-2;4-2-3;3-2-4;3-2-5;5-2-3;5-2-4;5-3-2;4-5-3;4-3-5;3-5-2,0,3-4-2,17.3
2025-01-03,5,2,参加,360.28576396309757,0.0,1500,0.0,15,5-4-2;5-2-4;3-2-4;4-3-2;5-3-4;5-4-3;3-5-4;4-2-5;2-5-4;2-4-3;3-4-2;5-3-2;4-5-3;5-2-3;4-5-2,0,4-1-2,56.1
2025-01-03,5,3,参加,435.44609431420946,0.0,1500,0.0,15,6-2-1;2-6-5;6-3-1;2-6-1;6-1-2;5-6-1;1-6-2;6-1-5;6-2-5;6-5-2;6-5-3;6-3-5;2-5-6;6-2-3;6-1-3,0,4-3-2,461.6
2025-01-03,5,5,参加,521.1999826146938,0.0,1500,0.0,15,6-1-4;6-4-1;6-5-1;6-5-4;4-1-6;5-6-4;6-1-5;6-2-1;4-6-5;6-3-1;5-4-1;5-1-4;4-3-6;6-4-5;4-6-2,0,1-3-6,27.1
2025-01-03,5,6,参加,395.03420768065087,0.0,1500,0.0,15,6-4-1;6-3-4;4-3-1;6-4-3;3-4-6;3-4-1;4-1-3;6-5-4;5-3-4;4-3-6;5-4-1;4-5-3;5-6-4;5-6-1;5-4-3,0,1-5-4,62.0
2025-01-03,5,7,参加,428.7879856983852,0.0,1500,0.0,15,6-3-1;6-1-3;6-1-2;6-1-4;6-2-1;2-6-1;6-4-1;1-6-3;4-6-1;3-1-6;5-6-1;4-1-3;6-1-5;6-5-1;6-3-4,0,1-3-2,5.5
2025-01-03,5,8,参加,356.9916003370477,0.0,1500,0.0,15,3-2-1;4-3-1;3-4-1;3-5-1;5-4-1;5-3-1;5-1-4;6-1-3;6-3-1;3-6-1;3-5-4;3-1-4;5-1-3;5-3-4;4-3-6,0,3-1-2,139.3
