区分,項目,値
統合（2モデル）,TOP1,0.08904408555216063
統合（2モデル）,TOP5,0.2789175032736796
統合（2モデル）,TOP10,0.4242688782191183
統合（2モデル）,TOP15,0.5320820602357049
統合（2モデル）,TOP20,0.5997381056307289
1着1号艇予想単体,TOP1,0.08773461370580532
1着1号艇以外予想単体,TOP1,0.034482758620689655
1着1号艇予想単体,TOP5,0.28328240942819727
1着1号艇以外予想単体,TOP5,0.16761239633347882
1着1号艇予想単体,TOP10,0.43387167175905716
1着1号艇以外予想単体,TOP10,0.2723701440419031
1着1号艇予想単体,TOP15,0.5185508511567001
1着1号艇以外予想単体,TOP15,0.3670886075949367
1着1号艇予想単体,TOP20,0.5722391968572675
1着1号艇以外予想単体,TOP20,0.441728502837189
実際1号艇1着,TOP1,0.15102974828375287
実際1号艇1着,TOP5,0.444698703279939
実際1号艇1着,TOP10,0.631578947368421
実際1号艇1着,TOP15,0.7566742944317315
実際1号艇1着,TOP20,0.8253241800152555
実際1号艇以外1着,TOP1,0.006122448979591836
実際1号艇以外1着,TOP5,0.05714285714285714
実際1号艇以外1着,TOP10,0.1469387755102041
実際1号艇以外1着,TOP15,0.2316326530612245
実際1号艇以外1着,TOP20,0.2979591836734694
