開催日,レース場,レース,組み合わせ,10分前オッズ,5分前オッズ,2分前オッズ,締切時オッズ
2024-01-01,丸亀,1,1-2-3,16.5,16.1,16.2,13.2
2024-01-01,丸亀,1,1-2-4,45.3,44.7,42.2,35.1
2024-01-01,丸亀,1,1-2-5,30.3,29.7,28.1,21.2
2024-01-01,丸亀,1,1-2-6,211.6,210.5,227.5,309.7
2024-01-01,丸亀,1,1-3-2,8.7,8.9,9.2,7.3
2024-01-01,丸亀,1,1-3-4,10.2,10.0,9.9,8.4
2024-01-01,丸亀,1,1-3-5,5.3,5.4,5.5,5.3
2024-01-01,丸亀,1,1-3-6,96.5,101.3,106.4,132.2
2024-01-01,丸亀,1,1-4-2,53.4,53.4,49.4,41.0
2024-01-01,丸亀,1,1-4-3,27.8,26.0,25.1,20.3
2024-01-01,丸亀,1,1-4-5,34.7,33.0,31.3,27.0
2024-01-01,丸亀,1,1-4-6,156.6,155.2,161.4,223.2
2024-01-01,丸亀,1,1-5-2,25.6,26.2,26.7,24.5
2024-01-01,丸亀,1,1-5-3,12.0,11.9,12.0,12.6
2024-01-01,丸亀,1,1-5-4,37.7,35.5,33.8,32.8
2024-01-01,丸亀,1,1-5-6,191.4,194.2,202.1,249.5
2024-01-01,丸亀,1,1-6-2,299.9,336.6,369.5,626.1
2024-01-01,丸亀,1,1-6-3,337.9,377.7,402.3,603.6
2024-01-01,丸亀,1,1-6-4,364.2,397.6,436.7,665.4
2024-01-01,丸亀,1,1-6-5,346.2,375.7,406.3,712.4
2024-01-01,丸亀,1,2-1-3,86.6,83.9,85.5,100.4
2024-01-01,丸亀,1,2-1-4,189.4,200.5,190.3,240.5
2024-01-01,丸亀,1,2-1-5,158.9,157.0,162.0,179.3
2024-01-01,丸亀,1,2-1-6,441.6,478.8,510.4,822.9
2024-01-01,丸亀,1,2-3-1,136.1,125.2,134.3,162.4
2024-01-01,丸亀,1,2-3-4,381.5,382.0,418.8,513.0
2024-01-01,丸亀,1,2-3-5,181.5,195.9,214.3,299.5
2024-01-01,丸亀,1,2-3-6,728.4,829.2,938.8,999.9
2024-01-01,丸亀,1,2-4-1,209.2,231.3,246.7,386.2
2024-01-01,丸亀,1,2-4-3,438.2,462.6,480.4,658.8
2024-01-01,丸亀,1,2-4-5,381.5,417.1,421.0,700.0
2024-01-01,丸亀,1,2-4-6,514.6,596.5,664.0,999.9
2024-01-01,丸亀,1,2-5-1,238.6,247.2,274.0,353.7
2024-01-01,丸亀,1,2-5-3,199.6,224.4,243.8,364.5
2024-01-01,丸亀,1,2-5-4,463.5,482.2,513.7,763.6
2024-01-01,丸亀,1,2-5-6,768.3,894.7,996.0,999.9
2024-01-01,丸亀,1,2-6-1,623.2,660.2,680.6,999.9
2024-01-01,丸亀,1,2-6-3,999.9,999.9,999.9,999.9
2024-01-01,丸亀,1,2-6-4,876.4,999.9,996.0,999.9
2024-01-01,丸亀,1,2-6-5,999.9,999.9,999.9,999.9
2024-01-01,丸亀,1,3-1-2,29.8,29.8,30.3,33.8
2024-01-01,丸亀,1,3-1-4,26.8,26.3,25.8,26.2
2024-01-01,丸亀,1,3-1-5,16.1,16.3,16.2,17.7
2024-01-01,丸亀,1,3-1-6,124.6,138.4,143.5,203.4
2024-01-01,丸亀,1,3-2-1,97.7,90.7,92.7,111.4
2024-01-01,丸亀,1,3-2-4,212.4,202.9,217.8,278.4
2024-01-01,丸亀,1,3-2-5,109.9,112.5,121.9,151.4
2024-01-01,丸亀,1,3-2-6,590.4,660.2,710.2,933.4
2024-01-01,丸亀,1,3-4-1,69.9,67.2,64.5,66.5
2024-01-01,丸亀,1,3-4-2,220.8,217.9,211.6,207.2
2024-01-01,丸亀,1,3-4-5,91.2,85.1,81.1,80.6
2024-01-01,丸亀,1,3-4-6,378.9,409.6,436.7,410.6
2024-01-01,丸亀,1,3-5-1,35.1,34.1,35.0,44.8
2024-01-01,丸亀,1,3-5-2,82.6,81.3,83.2,107.5
2024-01-01,丸亀,1,3-5-4,96.3,87.4,86.3,83.6
2024-01-01,丸亀,1,3-5-6,376.4,417.1,436.7,520.9
2024-01-01,丸亀,1,3-6-1,609.6,708.3,692.1,722.6
2024-01-01,丸亀,1,3-6-2,701.1,800.0,777.9,999.9
2024-01-01,丸亀,1,3-6-4,719.1,809.5,785.3,735.8
2024-01-01,丸亀,1,3-6-5,616.3,708.3,704.1,999.9
2024-01-01,丸亀,1,4-1-2,146.8,154.5,150.9,179.5
2024-01-01,丸亀,1,4-1-3,83.2,78.2,75.8,90.0
2024-01-01,丸亀,1,4-1-5,87.9,86.0,81.7,93.9
2024-01-01,丸亀,1,4-1-6,333.8,331.7,350.5,431.7
2024-01-01,丸亀,1,4-2-1,281.8,306.3,299.1,411.4
2024-01-01,丸亀,1,4-2-3,333.8,361.7,379.9,579.3
2024-01-01,丸亀,1,4-2-5,359.5,373.6,359.8,499.0
2024-01-01,丸亀,1,4-2-6,544.5,612.6,648.2,999.9
2024-01-01,丸亀,1,4-3-1,123.5,118.0,111.4,124.4
2024-01-01,丸亀,1,4-3-2,326.1,345.1,337.5,362.6
2024-01-01,丸亀,1,4-3-5,140.2,136.5,130.6,149.9
2024-01-01,丸亀,1,4-3-6,534.2,566.6,559.4,656.7
2024-01-01,丸亀,1,4-5-1,115.4,115.6,108.6,126.0
2024-01-01,丸亀,1,4-5-2,274.9,272.0,257.6,280.0
2024-01-01,丸亀,1,4-5-3,166.4,154.5,149.3,169.1
2024-01-01,丸亀,1,4-5-6,514.6,503.7,469.4,537.6
2024-01-01,丸亀,1,4-6-1,544.5,618.2,605.0,757.9
2024-01-01,丸亀,1,4-6-2,919.5,985.5,907.5,999.9
2024-01-01,丸亀,1,4-6-3,967.0,999.9,907.5,999.9
2024-01-01,丸亀,1,4-6-5,999.9,999.9,842.0,999.9
2024-01-01,丸亀,1,5-1-2,79.9,79.8,78.0,105.8
2024-01-01,丸亀,1,5-1-3,43.4,41.8,41.0,55.2
2024-01-01,丸亀,1,5-1-4,111.7,104.1,98.0,125.2
2024-01-01,丸亀,1,5-1-6,273.6,290.6,317.8,411.4
2024-01-01,丸亀,1,5-2-1,179.7,184.7,195.8,274.3
2024-01-01,丸亀,1,5-2-3,154.5,166.2,172.6,262.1
2024-01-01,丸亀,1,5-2-4,400.6,427.6,443.9,678.8
2024-01-01,丸亀,1,5-2-6,539.3,601.7,638.1,999.9
2024-01-01,丸亀,1,5-3-1,68.4,66.2,65.2,86.0
