開催日,日目,レース,艇,着,登番,モーター,ボート,展示,3連単オッズ
2015-01-01,4,1,4,1,4772,20,60,6.68,53.3
2015-01-01,4,1,1,2,4643,28,31,6.73,53.3
2015-01-01,4,1,3,3,4348,19,43,6.67,53.3
2015-01-01,4,1,6,4,4823,14,33,6.64,53.3
2015-01-01,4,1,2,5,4511,37,56,6.64,53.3
2015-01-01,4,1,5,6,4642,32,13,6.63,53.3
2015-01-01,4,2,3,1,4185,15,27,6.58,39.6
2015-01-01,4,2,1,2,3492,39,50,6.59,39.6
2015-01-01,4,2,4,3,4010,34,23,6.66,39.6
2015-01-01,4,2,2,4,3753,55,55,6.68,39.6
2015-01-01,4,2,5,5,4313,36,6,6.61,39.6
2015-01-01,4,2,6,6,4852,64,51,6.64,39.6
2015-01-01,4,3,3,1,4437,53,34,6.63,11.8
2015-01-01,4,3,4,2,3187,54,25,6.63,11.8
2015-01-01,4,3,6,3,3553,62,29,6.73,11.8
2015-01-01,4,3,2,4,2698,2,64,6.7,11.8
2015-01-01,4,3,1,5,3137,59,22,6.69,11.8
2015-01-01,4,3,5,6,4170,26,2,6.65,11.8
2015-01-01,4,4,1,1,3855,35,58,6.56,62.4
2015-01-01,4,4,3,2,4583,31,20,6.67,62.4
2015-01-01,4,4,4,3,3234,41,52,6.67,62.4
2015-01-01,4,4,5,4,3975,25,24,6.66,62.4
2015-01-01,4,4,2,5,3466,22,49,6.77,62.4
2015-01-01,4,4,6,6,3064,60,7,6.66,62.4
2015-01-01,4,5,4,1,4030,63,53,6.66,11.5
2015-01-01,4,5,1,2,4154,16,47,6.59,11.5
2015-01-01,4,5,3,3,3401,29,35,6.68,11.5
2015-01-01,4,5,5,4,3910,66,44,6.64,11.5
2015-01-01,4,5,6,5,2887,65,66,6.69,11.5
2015-01-01,4,5,2,6,3701,56,1,6.64,11.5
2015-01-01,4,6,2,1,3660,58,45,6.64,180.1
2015-01-01,4,6,3,2,3543,38,4,6.69,180.1
2015-01-01,4,6,5,3,4452,49,14,6.61,180.1
2015-01-01,4,6,6,4,4309,33,16,6.66,180.1
2015-01-01,4,6,4,5,4459,57,36,6.64,180.1
2015-01-01,4,6,1,6,3166,3,46,6.66,180.1
2015-01-01,4,7,1,1,4348,19,43,6.71,44.4
2015-01-01,4,7,4,2,3541,24,40,6.68,44.4
2015-01-01,4,7,6,3,3478,61,15,6.71,44.4
2015-01-01,4,7,2,4,3578,1,61,6.7,44.4
2015-01-01,4,7,3,5,4220,27,62,6.7,44.4
2015-01-01,4,7,5,6,4187,18,18,6.66,44.4
2015-01-01,4,8,2,1,3849,17,39,6.73,128.2
2015-01-01,4,8,4,2,3975,25,24,6.66,128.2
2015-01-01,4,8,3,3,3855,35,58,6.68,128.2
2015-01-01,4,8,5,4,4185,15,27,6.64,128.2
2015-01-01,4,8,1,5,3568,21,26,6.63,128.2
2015-01-01,4,8,6,6,4170,26,2,6.63,128.2
2015-01-01,4,9,5,1,3064,60,7,6.71,54.2
2015-01-01,4,9,6,2,3910,66,44,6.61,54.2
2015-01-01,4,9,1,3,3753,55,55,6.66,54.2
2015-01-01,4,9,2,4,3187,54,25,6.72,54.2
2015-01-01,4,9,4,5,4221,40,63,6.65,54.2
2015-01-01,4,9,3,6,4642,32,13,6.72,54.2
2015-01-01,4,10,3,1,4459,57,36,6.63,256.1
2015-01-01,4,10,4,2,4583,31,20,6.63,256.1
2015-01-01,4,10,6,3,4010,34,23,6.66,256.1
2015-01-01,4,10,1,4,4030,63,53,6.67,256.1
2015-01-01,4,10,2,5,4020,23,54,6.66,256.1
2015-01-01,4,10,5,6,3553,62,29,6.62,256.1
2015-01-01,4,11,1,1,3543,38,4,6.63,13.8
2015-01-01,4,11,4,2,4154,16,47,6.72,13.8
2015-01-01,4,11,2,3,3568,21,26,6.73,13.8
2015-01-01,4,11,5,4,4772,20,60,6.66,13.8
2015-01-01,4,11,3,5,2698,2,64,6.66,13.8
2015-01-01,4,11,6,6,4220,27,62,6.75,13.8
2015-01-01,4,12,1,1,3541,24,40,6.57,60.1
2015-01-01,4,12,4,2,4437,53,34,6.68,60.1
2015-01-01,4,12,6,3,4452,49,14,6.63,60.1
2015-01-01,4,12,3,4,3849,17,39,6.69,60.1
2015-01-01,4,12,5,5,3401,29,35,6.65,60.1
2015-01-01,4,12,2,6,4643,28,31,6.55,60.1
2015-01-02,5,1,1,1,3187,54,25,6.5,29.2
2015-01-02,5,1,2,2,3553,62,29,6.65,29.2
2015-01-02,5,1,4,3,4221,40,63,6.63,29.2
2015-01-02,5,1,6,4,4187,18,18,6.54,29.2
2015-01-02,5,1,5,5,4154,16,47,6.65,29.2
2015-01-02,5,1,3,6,4772,20,60,6.49,29.2
2015-01-02,5,2,2,1,3137,59,22,6.58,55.4
2015-01-02,5,2,1,2,2887,65,66,6.59,55.4
2015-01-02,5,2,3,3,3466,22,49,6.63,55.4
2015-01-02,5,2,4,4,4309,33,16,6.55,55.4
2015-01-02,5,2,6,5,4852,64,51,6.49,55.4
2015-01-02,5,2,5,6,4170,26,2,6.62,55.4
2015-01-02,5,3,2,1,3478,61,15,6.56,81.0
2015-01-02,5,3,6,2,3401,29,35,6.67,81.0
2015-01-02,5,3,1,3,3753,55,55,6.55,81.0
2015-01-02,5,3,4,4,3234,41,52,6.63,81.0
2015-01-02,5,3,3,5,4220,27,62,6.55,81.0
2015-01-02,5,3,5,6,4642,32,13,6.62,81.0
2015-01-02,5,4,2,1,3543,38,4,6.6,24.7
2015-01-02,5,4,4,2,3568,21,26,6.62,24.7
2015-01-02,5,4,3,3,4010,34,23,6.58,24.7
2015-01-02,5,4,1,4,3855,35,58,6.61,24.7
2015-01-02,5,4,5,5,4437,53,34,6.57,24.7
2015-01-02,5,4,6,6,4823,14,33,6.63,24.7
2015-01-02,5,5,6,1,3849,17,39,6.63,39.0
2015-01-02,5,5,1,2,3975,25,24,6.65,39.0
2015-01-02,5,5,5,3,4459,57,36,6.62,39.0
2015-01-02,5,5,4,4,4348,19,43,6.69,39.0
2015-01-02,5,5,2,5,2698,2,64,6.67,39.0
2015-01-02,5,5,3,6,3064,60,7,6.63,39.0
2015-01-02,5,6,6,1,4030,63,53,6.7,51.6
2015-01-02,5,6,3,2,4185,15,27,6.56,51.6
2015-01-02,5,6,4,3,4511,37,56,6.69,51.6
2015-01-02,5,6,5,4,4643,28,31,6.68,51.6
2015-01-02,5,6,1,5,4452,49,14,6.56,51.6
2015-01-02,5,6,2,6,4313,36,6,6.69,51.6
2015-01-02,5,7,3,1,4020,23,54,6.59,39.8
2015-01-02,5,7,1,2,3910,66,44,6.49,39.8
2015-01-02,5,7,4,3,4583,31,20,6.69,39.8
2015-01-02,5,7,6,4,3541,24,40,6.62,39.8
2015-01-02,5,7,5,5,3701,56,1,6.68,39.8
2015-01-02,5,7,2,6,3166,3,46,6.6,39.8
2015-01-02,5,8,1,1,3401,29,35,6.54,28.9
2015-01-02,5,8,4,2,4220,27,62,6.67,28.9
2015-01-02,5,8,3,3,4309,33,16,6.53,28.9
2015-01-02,5,8,6,4,3187,54,25,6.67,28.9
2015-01-02,5,8,5,5,3543,38,4,6.63,28.9
2015-01-02,5,8,2,6,4154,16,47,6.58,28.9
2015-01-02,5,10,2,1,4459,57,36,6.54,13.8
2015-01-02,5,10,1,2,4030,63,53,6.57,13.8
2015-01-02,5,10,3,3,4583,31,20,6.59,13.8
2015-01-02,5,10,5,4,2698,2,64,6.64,13.8
2015-01-02,5,10,4,5,4010,34,23,6.64,13.8
2015-01-02,5,10,6,6,3753,55,55,6.67,13.8
2015-01-02,5,11,3,1,4348,19,43,6.58,468.6
2015-01-02,5,11,2,2,4643,28,31,6.58,468.6
2015-01-02,5,11,4,3,4772,20,60,6.58,468.6
2015-01-02,5,11,1,4,3541,24,40,6.52,468.6
2015-01-02,5,11,6,5,3910,66,44,6.61,468.6
2015-01-02,5,11,5,6,3975,25,24,6.53,468.6
2015-01-02,5,12,2,1,4020,23,54,6.65,66.6
2015-01-02,5,12,4,2,3660,58,45,6.7,66.6
2015-01-02,5,12,5,3,3234,41,52,6.58,66.6
2015-01-02,5,12,3,4,3492,39,50,6.59,66.6
2015-01-02,5,12,6,5,4221,40,63,6.63,66.6
2015-01-02,5,12,1,6,3578,1,61,6.61,66.6
2015-01-03,6,1,1,1,4154,16,47,6.52,40.3
2015-01-03,6,1,3,2,3166,3,46,6.7,40.3
2015-01-03,6,1,2,3,3660,58,45,6.7,40.3
2015-01-03,6,1,5,4,3553,62,29,6.7,40.3
2015-01-03,6,1,4,5,3701,56,1,6.67,40.3
2015-01-03,6,1,6,6,4823,14,33,6.59,40.3
2015-01-03,6,3,1,1,4221,40,63,6.64,14.3
2015-01-03,6,3,3,2,3753,55,55,6.68,14.3
2015-01-03,6,3,5,3,4511,37,56,6.7,14.3
2015-01-03,6,3,2,4,4170,26,2,6.65,14.3
2015-01-03,6,3,6,5,3466,22,49,6.76,14.3
2015-01-03,6,3,4,6,4185,15,27,6.67,14.3
2015-01-03,6,4,1,1,2698,2,64,6.59,22.1
2015-01-03,6,4,2,2,3234,41,52,6.66,22.1
2015-01-03,6,4,3,3,3137,59,22,6.68,22.1
2015-01-03,6,4,4,4,4010,34,23,6.67,22.1
2015-01-03,6,4,6,5,3855,35,58,6.61,22.1
2015-01-03,6,4,5,6,4020,23,54,6.64,22.1
2015-01-03,6,6,5,1,4459,57,36,6.66,40.4
2015-01-03,6,6,2,2,3849,17,39,6.71,40.4
2015-01-03,6,6,6,3,3401,29,35,6.79,40.4
2015-01-03,6,6,3,4,3478,61,15,6.67,40.4
2015-01-03,6,6,4,5,4643,28,31,6.69,40.4
2015-01-03,6,6,1,6,4309,33,16,6.67,40.4
2015-01-03,6,7,1,1,3568,21,26,6.68,18.6
2015-01-03,6,7,6,2,3578,1,61,6.67,18.6
2015-01-03,6,7,2,3,3910,66,44,6.61,18.6
2015-01-03,6,7,5,4,3166,3,46,6.7,18.6
2015-01-03,6,7,3,5,3660,58,45,6.68,18.6
2015-01-03,6,7,4,6,3466,22,49,6.76,18.6
2015-01-03,6,8,1,1,3543,38,4,6.63,18.9
2015-01-03,6,8,3,2,3701,56,1,6.68,18.9
2015-01-03,6,8,4,3,3975,25,24,6.69,18.9
2015-01-03,6,8,6,4,4852,64,51,6.67,18.9
2015-01-03,6,8,5,5,4313,36,6,6.67,18.9
2015-01-03,6,8,2,6,3187,54,25,6.68,18.9
2015-01-03,6,9,1,1,4452,49,14,6.64,9.8
2015-01-03,6,9,2,2,3541,24,40,6.59,9.8
2015-01-03,6,9,3,3,4511,37,56,6.64,9.8
2015-01-03,6,9,5,4,4823,14,33,6.62,9.8
2015-01-03,6,9,4,5,3137,59,22,6.67,9.8
2015-01-03,6,9,6,6,3492,39,50,6.61,9.8
2015-01-03,6,10,3,1,4030,63,53,6.73,33.7
2015-01-03,6,10,1,2,4437,53,34,6.67,33.7
2015-01-03,6,10,5,3,4583,31,20,6.64,33.7
2015-01-03,6,10,4,4,3478,61,15,6.74,33.7
2015-01-03,6,10,2,5,4459,57,36,6.65,33.7
2015-01-03,6,10,6,6,4309,33,16,6.73,33.7
2015-01-03,6,11,1,1,3401,29,35,6.69,156.7
2015-01-03,6,11,4,2,4220,27,62,6.7,156.7
2015-01-03,6,11,6,3,4772,20,60,6.71,156.7
2015-01-03,6,11,3,4,4643,28,31,6.7,156.7
2015-01-03,6,11,5,5,3849,17,39,6.73,156.7
2015-01-03,6,11,2,6,4348,19,43,6.64,156.7
2015-01-03,6,12,2,1,3568,21,26,6.67,22.7
2015-01-03,6,12,1,2,3541,24,40,6.66,22.7
2015-01-03,6,12,6,3,3975,25,24,6.77,22.7
2015-01-03,6,12,3,4,3578,1,61,6.69,22.7
2015-01-03,6,12,5,5,2887,65,66,6.71,22.7
2015-01-03,6,12,4,6,4187,18,18,6.67,22.7
2015-01-04,7,1,2,1,3234,41,52,6.67,30.6
2015-01-04,7,1,1,2,3975,25,24,6.62,30.6
2015-01-04,7,1,3,3,4511,37,56,6.59,30.6
2015-01-04,7,1,6,4,4852,64,51,6.65,30.6
2015-01-04,7,1,4,5,3166,3,46,6.7,30.6
2015-01-04,7,1,5,6,3137,59,22,6.68,30.6
2015-01-04,7,2,2,1,2887,65,66,6.65,19.7
2015-01-04,7,2,1,2,3466,22,49,6.66,19.7
2015-01-04,7,2,4,3,3553,62,29,6.62,19.7
2015-01-04,7,2,6,4,4823,14,33,6.56,19.7
2015-01-04,7,2,5,5,4170,26,2,6.61,19.7
2015-01-04,7,2,3,6,4642,32,13,6.61,19.7
2015-01-04,7,5,4,1,3234,41,52,6.68,56.8
2015-01-04,7,5,5,2,4185,15,27,6.7,56.8
2015-01-04,7,5,6,3,4348,19,43,6.71,56.8
2015-01-04,7,5,1,4,3187,54,25,6.71,56.8
2015-01-04,7,5,2,5,3166,3,46,6.71,56.8
2015-01-04,7,5,3,6,4313,36,6,6.67,56.8
2015-01-04,7,6,1,1,4452,49,14,6.67,8.6
2015-01-04,7,6,5,2,3849,17,39,6.75,8.6
2015-01-04,7,6,6,3,3543,38,4,6.67,8.6
