year,month,grade,start_day,race_name
2024,1,一般,3,市長杯争奪　ＢＯＡＴ　ＲＡＣＥまるがめ大賞
2024,1,一般,10,香川県中部ボートレース事業組合５５周年記念
2024,1,一般,20,丸亀市議会議長杯
2024,1,一般,29,ＰａｙＰａｙ銀行杯
2024,2,一般,6,ＢＴＳ朝倉開設３１周年記念
2024,2,一般,25,日本モーターボート選手会会長杯
2024,3,一般,3,ナイター王決定戦！　楽天銀行杯
2024,3,一般,16,大阪スポーツカップ
2024,5,一般,2,報知グリーンカップ
2024,5,一般,9,安岐真人杯争奪　瀬戸の大魔神大賞
2024,5,一般,15,スポーツニッポンカップ
2024,5,一般,26,日本モーターボート選手会会長杯
2024,6,一般,1,デイリースポーツカップ
2024,6,一般,18,ＰａｙＰａｙ銀行杯
2024,7,一般,2,日本財団会長杯　〜瀬戸内オーシャンズＸ〜
2024,7,一般,14,サッポロビールカップ２０２４
2024,7,一般,22,にっぽん未来プロジェクト競走ｉｎまるがめ
2024,8,一般,6,ヴィーナスシリーズ第１０戦　蒼月まるるカップ
2024,8,一般,12,トランスワードトロフィー２０２４
2024,8,一般,21,ＲＮＣ杯争奪　サマーチャンピオンレース
2024,9,一般,9,ＢＴＳまるがめ開設３８周年記念
2024,9,一般,17,丸亀―１グランプリ　ふじむら杯
2024,9,一般,30,マンスリーＢＯＡＴ　ＲＡＣＥ杯
2024,10,一般,9,四国新聞社杯
2024,10,一般,27,ＢＴＳ西予開設９周年記念
2024,11,一般,4,香川県中部ボートレース事業組合５６周年記念
2024,11,一般,29,丸亀市観光協会杯
2024,12,一般,16,清酒金陵杯
2024,12,一般,27,ＹｏｕＴｕｂｅ番組「ウチまる」４周年記念
