開催日,レース,着,艇,登番,モーター,展示,進入,スタート,boat1_win
2025-01-01,1,1,1,5043,13,6.89,1,0.17,1
2025-01-01,1,2,2,5224,54,6.93,2,0.15,1
2025-01-01,1,3,4,5173,63,6.9,3,0.2,1
2025-01-01,1,4,3,5218,25,6.85,4,0.21,1
2025-01-01,1,5,6,4020,26,6.86,5,0.22,1
2025-01-01,1,6,5,3910,9,6.87,6,0.23,1
2025-01-01,3,1,1,3401,65,6.86,1,0.05,1
2025-01-01,3,2,2,3907,40,6.9,2,0.12,1
2025-01-01,3,3,3,3660,8,6.93,3,0.11,1
2025-01-01,3,4,4,4529,3,6.9,4,0.12,1
2025-01-01,3,5,5,4739,6,6.91,5,0.11,1
2025-01-01,3,6,6,5326,10,6.83,6,0.17,1
2025-01-01,4,1,1,3478,61,6.84,1,0.06,1
2025-01-01,4,2,5,4220,43,6.81,2,0.12,1
2025-01-01,4,3,6,4772,58,6.88,3,0.08,1
2025-01-01,4,4,4,3568,36,6.85,4,0.1,1
2025-01-01,4,5,2,4776,23,6.95,5,0.12,1
2025-01-01,4,6,3,4931,21,6.86,6,0.13,1
2025-01-01,5,1,1,3832,41,6.81,1,0.2,1
2025-01-01,5,2,5,5265,47,6.83,2,0.25,1
2025-01-01,5,3,3,3442,18,6.85,3,0.17,1
2025-01-01,5,4,2,4459,27,6.88,4,0.09,1
2025-01-01,5,5,6,5037,46,6.82,5,0.14,1
2025-01-01,5,6,4,5298,33,6.87,6,0.24,1
2025-01-01,6,1,1,3975,35,6.83,1,0.11,1
2025-01-01,6,2,6,4020,26,6.94,2,0.16,1
2025-01-01,6,3,4,4452,49,6.92,3,0.1,1
2025-01-01,6,4,2,3908,34,6.85,4,0.13,1
2025-01-01,6,5,5,5352,4,6.86,6,0.15,1
2025-01-01,6,6,3,4894,29,6.87,5,0.21,1
2025-01-01,8,1,1,5136,16,6.81,1,0.11,1
2025-01-01,8,2,4,4529,3,6.94,2,0.15,1
2025-01-01,8,3,3,5218,25,6.82,3,0.11,1
2025-01-01,8,4,5,4583,45,6.92,4,0.14,1
2025-01-01,8,5,2,4821,57,6.87,5,0.19,1
2025-01-01,8,6,6,4220,43,6.87,6,0.16,1
2025-01-01,10,1,1,3908,34,6.88,1,0.22,1
2025-01-01,10,2,2,4776,23,6.9,2,0.24,1
2025-01-01,10,3,3,5037,46,6.84,3,0.25,1
2025-01-01,10,4,6,3855,11,6.91,4,0.21,1
2025-01-01,10,5,4,4260,51,7.01,5,0.16,1
2025-01-01,10,6,5,3578,39,6.92,6,0.15,1
2025-01-02,1,1,1,4821,57,6.8,1,0.17,1
2025-01-02,1,2,2,3660,8,6.96,2,0.06,1
2025-01-02,1,3,3,4020,26,6.91,3,0.05,1
2025-01-02,1,4,5,5265,47,6.86,4,0.08,1
2025-01-02,1,5,4,3710,32,6.91,5,0.11,1
2025-01-02,1,6,6,5352,4,6.89,6,0.09,1
2025-01-02,3,1,1,3509,19,6.88,1,0.09,1
2025-01-02,3,2,2,3401,65,6.89,2,0.12,1
2025-01-02,3,3,5,4529,3,6.89,3,0.09,1
2025-01-02,3,4,4,4452,49,6.96,4,0.16,1
2025-01-02,3,5,3,4437,52,6.89,5,0.17,1
2025-01-02,3,6,6,5215,31,6.82,6,0.14,1
2025-01-02,5,1,1,3442,18,6.79,1,0.17,1
2025-01-02,5,2,3,3855,11,6.81,2,0.22,1
2025-01-02,5,3,5,3910,9,6.82,3,0.19,1
2025-01-02,5,4,2,4030,53,6.89,4,0.18,1
2025-01-02,5,5,4,4776,23,6.87,5,0.16,1
2025-01-02,5,6,6,5298,33,6.86,6,0.25,1
2025-01-02,6,1,1,3908,34,6.85,1,0.11,1
2025-01-02,6,2,5,3568,36,6.92,2,0.12,1
2025-01-02,6,3,2,4583,45,6.81,3,0.07,1
2025-01-02,6,4,3,4459,27,6.95,4,0.07,1
2025-01-02,6,5,4,5352,4,6.9,6,0.08,1
2025-01-02,6,6,6,5265,47,6.9,5,0.09,1
2025-01-02,9,1,1,4776,23,6.88,1,0.12,1
2025-01-02,9,2,6,3578,39,6.92,2,0.14,1
2025-01-02,9,3,2,4030,53,6.92,3,0.12,1
2025-01-02,9,4,3,3478,61,6.96,4,0.14,1
2025-01-02,9,5,4,4348,66,6.91,5,0.17,1
2025-01-02,9,6,5,3509,19,6.85,6,0.16,1
2025-01-02,10,1,1,5136,16,6.85,1,0.11,1
2025-01-02,10,2,2,3908,34,6.93,3,0.13,1
2025-01-02,10,3,3,4452,49,6.98,2,0.12,1
2025-01-02,10,4,6,3401,65,6.87,4,0.18,1
2025-01-02,10,5,5,4459,27,6.91,5,0.14,1
2025-01-02,10,6,4,3907,40,6.92,6,0.18,1
2025-01-02,11,1,1,4772,58,6.81,1,0.13,1
2025-01-02,11,2,4,4437,52,6.96,2,0.14,1
2025-01-02,11,3,3,5224,54,6.88,3,0.16,1
2025-01-02,11,4,2,5043,13,6.9,4,0.21,1
2025-01-02,11,5,6,4931,21,6.89,5,0.21,1
2025-01-02,11,6,5,3442,18,6.84,6,0.2,1
