開催日,レース,着,艇,登番,モーター,展示,進入,スタート,boat1_win
2025-01-01,7,1,4,4852,28,6.85,1,0.15,0
2025-01-01,7,2,1,4348,66,6.9,2,0.16,0
2025-01-01,7,3,3,3910,9,6.96,3,0.13,0
2025-01-01,7,4,6,5215,31,6.78,4,0.14,0
2025-01-01,7,5,2,4030,53,6.93,5,0.15,0
2025-01-01,7,6,5,3710,32,6.88,6,0.19,0
2025-01-01,9,1,2,3442,18,6.82,1,0.1,0
2025-01-01,9,2,1,4437,52,6.93,2,0.09,0
2025-01-01,9,3,4,4739,6,6.86,3,0.08,0
2025-01-01,9,4,3,3478,61,6.89,4,0.1,0
2025-01-01,9,5,5,5224,54,6.83,5,0.1,0
2025-01-01,9,6,6,3509,19,6.82,6,0.07,0
2025-01-01,12,1,2,4459,27,6.89,1,0.03,0
2025-01-01,12,2,1,4772,58,6.91,2,0.06,0
2025-01-01,12,3,3,3975,35,6.88,3,0.08,0
2025-01-01,12,4,5,3401,65,6.94,4,0.16,0
2025-01-01,12,5,4,5136,16,6.82,5,0.11,0
2025-01-01,12,6,6,4348,66,6.87,6,0.11,0
2025-01-02,2,1,2,5173,63,6.88,1,0.09,0
2025-01-02,2,2,1,4348,66,6.88,2,0.11,0
2025-01-02,2,3,4,3478,61,6.93,3,0.12,0
2025-01-02,2,4,5,4154,60,6.85,4,0.17,0
2025-01-02,2,5,6,4852,28,6.95,5,0.15,0
2025-01-02,2,6,3,4894,29,6.87,6,0.18,0
2025-01-02,7,1,2,3907,40,6.75,1,0.21,0
2025-01-02,7,2,6,3710,32,6.78,2,0.18,0
2025-01-02,7,3,3,4220,43,6.81,3,0.17,0
2025-01-02,7,4,5,5173,63,6.89,4,0.08,0
2025-01-02,7,5,1,4772,58,6.87,5,0.02,0
2025-01-02,7,6,4,4739,6,6.81,6,0.09,0
2025-01-03,1,1,5,5265,47,6.76,1,0.41,0
2025-01-03,1,2,3,3910,9,6.81,2,0.51,0
2025-01-03,1,3,1,3568,36,6.74,3,0.17,0
2025-01-03,1,4,2,3832,41,6.77,4,0.25,0
2025-01-03,1,5,4,4020,26,6.8,5,0.22,0
2025-01-03,1,6,6,5326,10,6.76,6,0.31,0
2025-01-03,2,1,2,5215,31,6.67,1,0.03,0
2025-01-03,2,2,3,4583,45,6.71,2,0.02,0
2025-01-03,2,3,4,4852,28,6.77,3,0.08,0
2025-01-03,2,4,1,4220,43,6.71,4,0.03,0
2025-01-03,2,5,5,3660,8,6.78,5,0.06,0
2025-01-03,2,6,6,5352,4,6.76,6,0.09,0
2025-01-03,3,1,6,5218,25,6.66,1,0.31,0
2025-01-03,3,2,3,3509,19,6.66,2,0.37,0
2025-01-03,3,3,2,4260,51,6.86,3,0.18,0
2025-01-03,3,4,1,3855,11,6.72,4,0.12,0
2025-01-03,3,5,5,4529,3,6.77,5,0.09,0
2025-01-03,3,6,4,5037,46,6.64,6,0.08,0
2025-01-03,8,1,2,4437,52,6.69,1,0.07,0
2025-01-03,8,2,3,4529,3,6.7,2,0.08,0
2025-01-03,8,3,1,5218,25,6.65,3,0.06,0
2025-01-03,8,4,5,4852,28,6.7,4,0.16,0
2025-01-03,8,5,4,3568,36,6.71,5,0.17,0
2025-01-03,8,6,6,5298,33,6.76,6,0.21,0
2025-01-06,2,1,2,4182,61,6.66,1,0.08,0
2025-01-06,2,2,1,3702,37,6.8,2,0.11,0
2025-01-06,2,3,4,5059,20,6.82,3,0.12,0
2025-01-06,2,4,3,5109,30,6.74,4,0.07,0
2025-01-06,2,5,6,5388,28,6.83,6,0.14,0
2025-01-06,2,6,5,4516,38,6.74,5,0.12,0
2025-01-06,3,1,5,4164,43,6.71,1,0.11,0
2025-01-06,3,2,4,3572,59,6.77,2,0.09,0
2025-01-06,3,3,1,3850,47,6.81,3,0.1,0
2025-01-06,3,4,2,4390,7,6.84,4,0.17,0
2025-01-06,3,5,3,4977,14,6.75,5,0.13,0
2025-01-06,3,6,6,4635,32,6.75,6,0.09,0
2025-01-06,5,1,2,3957,50,6.84,1,0.15,0
2025-01-06,5,2,1,3284,25,6.9,2,0.16,0
2025-01-06,5,3,5,4969,24,6.85,3,0.15,0
2025-01-06,5,4,4,4002,2,6.81,4,0.11,0
2025-01-06,5,5,6,4113,60,6.77,5,0.19,0
2025-01-06,5,6,3,2878,51,6.8,6,0.28,0
2025-01-06,7,1,5,3850,47,6.63,1,0.09,0
2025-01-06,7,2,2,4593,41,6.79,2,0.14,0
2025-01-06,7,3,1,4356,65,6.77,3,0.15,0
2025-01-06,7,4,4,4072,5,6.82,4,0.16,0
2025-01-06,7,5,6,4813,3,6.9,5,0.21,0
2025-01-06,7,6,3,5059,20,6.86,6,0.04,0
2025-01-06,9,1,2,5109,30,6.82,1,0.16,0
2025-01-06,9,2,4,4706,44,6.92,2,0.25,0
2025-01-06,9,3,1,5299,11,6.79,3,0.22,0
2025-01-06,9,4,6,5255,31,6.68,4,0.18,0
2025-01-06,9,5,3,4877,22,6.75,5,0.21,0
2025-01-06,9,6,5,3711,12,6.8,6,0.23,0
2025-01-06,10,1,2,4025,26,6.81,1,0.16,0
2025-01-06,10,2,3,4390,7,6.77,2,0.17,0
2025-01-06,10,3,1,4761,55,6.78,3,0.09,0
2025-01-06,10,4,4,2878,51,6.81,4,0.13,0
2025-01-06,10,5,5,5053,54,6.77,5,0.14,0
2025-01-06,10,6,6,3949,48,6.86,6,0.13,0
2025-01-08,2,1,4,4106,56,6.78,1,0.23,0
2025-01-08,2,2,5,4969,24,6.78,2,0.25,0
2025-01-08,2,3,6,4813,3,6.78,3,0.25,0
2025-01-08,2,4,1,4182,61,6.66,4,0.14,0
2025-01-08,2,5,3,4390,7,6.7,6,0.22,0
2025-01-08,2,6,2,4356,65,6.73,5,0.17,0
2025-01-08,3,1,3,4404,6,6.75,1,0.26,0
2025-01-08,3,2,4,3957,50,6.79,2,0.23,0
2025-01-08,3,3,5,3998,15,6.68,3,0.19,0
2025-01-08,3,4,2,4977,14,6.7,4,0.31,0
2025-01-08,3,5,1,3850,47,6.69,5,0.18,0
2025-01-08,3,6,6,5388,28,6.75,6,0.24,0
2025-01-08,4,1,6,4635,32,6.72,1,0.27,0
2025-01-08,4,2,5,4113,60,6.8,2,0.28,0
2025-01-08,4,3,4,3711,12,6.77,4,0.14,0
2025-01-08,4,4,1,4944,62,6.7,3,0.13,0
2025-01-08,4,5,2,5299,11,6.72,5,0.13,0
2025-01-08,4,6,3,4002,2,6.74,6,0.15,0
2025-01-08,12,1,2,4072,5,6.72,1,0.14,0
2025-01-08,12,2,5,4002,2,6.68,2,0.12,0
2025-01-08,12,3,1,5298,8,6.76,3,0.11,0
2025-01-08,12,4,3,4761,55,6.64,4,0.16,0
2025-01-08,12,5,4,4593,41,6.62,5,0.31,0
2025-01-08,12,6,6,3957,50,6.66,6,0.37,0
2025-01-10,1,1,4,3949,48,6.68,1,0.25,0
2025-01-10,1,2,6,5059,20,6.71,2,0.26,0
2025-01-10,1,3,2,3572,59,6.69,3,0.21,0
2025-01-10,1,4,1,3702,37,6.71,4,0.05,0
2025-01-10,1,5,5,5388,28,6.72,6,0.06,0
2025-01-10,1,6,3,3850,47,6.62,5,0.04,0
2025-01-10,3,1,3,5255,31,6.65,1,0.29,0
2025-01-10,3,2,6,4164,43,6.75,3,0.31,0
2025-01-10,3,3,1,5109,30,6.77,4,0.04,0
2025-01-10,3,4,2,3711,12,6.71,6,0.1,0
2025-01-10,3,5,4,4365,53,6.67,5,0.04,0
2025-01-10,3,6,5,3284,25,6.75,2,0.29,0
2025-01-10,6,1,4,2878,51,6.71,1,0.14,0
2025-01-10,6,2,5,4813,3,6.74,2,0.22,0
2025-01-10,6,3,1,4516,38,6.64,3,0.16,0
2025-01-10,6,4,2,4025,26,6.7,4,0.26,0
2025-01-10,6,5,6,3949,48,6.73,5,0.27,0
2025-01-10,6,6,3,4113,60,6.73,6,0.24,0
2025-01-10,7,1,3,3702,37,6.64,1,0.14,0
2025-01-10,7,2,5,5298,8,6.67,2,0.15,0
2025-01-10,7,3,2,4601,33,6.77,3,0.09,0
2025-01-10,7,4,4,3998,15,6.64,4,0.22,0
2025-01-10,7,5,1,4706,44,6.66,5,0.16,0
2025-01-10,7,6,6,5143,17,6.76,6,0.13,0
2025-01-10,10,1,2,4877,22,6.59,1,0.26,0
2025-01-10,10,2,3,4041,39,6.6,2,0.32,0
2025-01-10,10,3,4,4002,2,6.62,3,0.25,0
2025-01-10,10,4,1,4516,38,6.75,4,0.27,0
2025-01-10,10,5,5,3284,25,6.75,5,0.31,0
2025-01-10,10,6,6,5053,54,6.78,6,0.29,0
2025-01-11,1,1,6,4944,62,6.69,1,0.09,0
2025-01-11,1,2,2,3998,15,6.69,2,0.14,0
2025-01-11,1,3,3,3957,50,6.73,3,0.17,0
2025-01-11,1,4,1,4389,27,6.72,4,0.08,0
2025-01-11,1,5,4,4969,24,6.74,5,0.13,0
2025-01-11,1,6,5,4404,6,6.74,6,0.14,0
2025-01-11,2,1,6,4813,3,6.68,1,0.25,0
2025-01-11,2,2,3,4106,56,6.74,2,0.35,0
2025-01-11,2,3,2,3284,25,6.67,3,0.17,0
2025-01-11,2,4,5,5059,20,6.71,4,0.05,0
2025-01-11,2,5,1,4877,22,6.67,5,0.13,0
2025-01-11,2,6,4,4164,43,6.69,6,0.12,0
2025-01-11,3,1,6,5143,17,6.71,1,0.28,0
2025-01-11,3,2,5,4365,53,6.6,2,0.38,0
2025-01-11,3,3,3,2878,51,6.72,3,0.2,0
2025-01-11,3,4,2,3572,59,6.74,4,0.16,0
2025-01-11,3,5,4,5152,45,6.68,5,0.17,0
2025-01-11,3,6,1,5255,31,6.65,6,0.09,0
2025-01-11,4,1,3,4113,60,6.81,1,0.18,0
2025-01-11,4,2,1,4182,61,6.58,2,0.12,0
2025-01-11,4,3,5,4390,7,6.72,3,0.23,0
2025-01-11,4,4,6,3949,48,6.72,4,0.11,0
2025-01-11,4,5,2,4356,65,6.75,5,0.09,0
2025-01-11,4,6,4,4601,33,6.72,6,0.07,0
2025-01-11,5,1,2,4389,27,6.7,1,0.09,0
2025-01-11,5,2,1,3850,47,6.59,2,0.11,0
2025-01-11,5,3,5,4706,44,6.73,3,0.13,0
2025-01-11,5,4,4,5299,11,6.69,4,0.14,0
2025-01-11,5,5,6,4041,39,6.68,5,0.2,0
2025-01-11,5,6,3,4761,55,6.78,6,0.15,0
2025-01-11,6,1,2,5298,8,6.6,1,0.18,0
2025-01-11,6,2,4,5109,30,6.69,2,0.15,0
2025-01-11,6,3,1,4677,1,6.67,3,0.16,0
2025-01-11,6,4,6,3711,12,6.78,5,0.24,0
2025-01-11,6,5,3,4106,56,6.76,4,0.28,0
2025-01-11,6,6,5,5388,28,6.79,6,0.19,0
2025-01-11,9,1,4,4706,44,6.71,1,0.21,0
2025-01-11,9,2,6,4404,6,6.73,2,0.22,0
2025-01-11,9,3,3,4977,14,6.71,3,0.17,0
2025-01-11,9,4,5,4813,3,6.65,4,0.28,0
2025-01-11,9,5,1,4365,53,6.62,5,0.11,0
2025-01-11,9,6,2,4182,61,6.64,6,0.09,0
2025-01-11,11,1,6,4601,33,6.74,1,0.13,0
2025-01-11,11,2,3,5299,11,6.76,2,0.12,0
2025-01-11,11,3,5,5143,17,6.79,3,0.19,0
2025-01-11,11,4,1,3284,25,6.81,4,0.04,0
2025-01-11,11,5,2,3849,64,6.77,5,0.06,0
2025-01-11,11,6,4,4677,1,6.8,6,0.07,0
2025-01-11,12,1,3,4743,35,6.68,1,0.14,0
2025-01-11,12,2,6,5298,8,6.62,2,0.22,0
2025-01-11,12,3,4,5255,31,6.68,3,0.31,0
2025-01-11,12,4,2,3850,47,6.68,4,0.16,0
2025-01-11,12,5,1,4002,2,6.68,5,0.18,0
2025-01-11,12,6,5,4390,7,6.74,6,0.17,0
2025-01-12,3,1,3,5299,11,6.7,1,0.19,0
2025-01-12,3,2,6,4969,24,6.74,2,0.19,0
2025-01-12,3,3,2,4365,53,6.62,3,0.2,0
2025-01-12,3,4,4,5152,45,6.68,4,0.23,0
2025-01-12,3,5,1,3850,47,6.68,5,0.22,0
2025-01-12,3,6,5,4601,33,6.83,6,0.24,0
2025-01-12,7,1,6,5298,8,6.69,1,0.24,0
2025-01-12,7,2,1,4182,61,6.64,2,0.09,0
2025-01-12,7,3,3,5059,20,6.7,3,0.15,0
2025-01-12,7,4,2,4706,44,6.71,4,0.21,0
2025-01-12,7,5,5,4113,60,6.68,5,0.24,0
2025-01-12,7,6,4,4743,35,6.79,6,0.33,0
2025-01-12,9,1,4,4877,22,6.63,1,0.28,0
2025-01-12,9,2,1,3850,47,6.61,2,0.19,0
2025-01-12,9,3,6,4389,27,6.71,3,0.16,0
2025-01-12,9,4,3,4516,38,6.65,4,0.22,0
2025-01-12,9,5,5,3702,37,6.72,5,0.27,0
2025-01-12,9,6,2,3572,59,6.65,6,0.33,0
2025-01-12,10,1,3,4977,14,6.57,1,0.2,0
2025-01-12,10,2,6,4677,1,6.59,2,0.16,0
2025-01-12,10,3,5,5298,8,6.61,3,0.19,0
2025-01-12,10,4,4,5109,30,6.65,4,0.14,0
2025-01-12,10,5,1,4002,2,6.57,5,0.09,0
2025-01-12,10,6,2,3849,64,6.65,6,0.09,0
2025-01-13,3,1,2,4106,56,6.87,1,0.09,0
2025-01-13,3,2,1,4813,3,6.87,2,0.1,0
2025-01-13,3,3,3,4977,14,6.81,3,0.06,0
2025-01-13,3,4,4,4969,24,6.84,4,0.07,0
2025-01-13,3,5,6,4635,32,6.86,5,0.04,0
2025-01-13,3,6,5,3711,12,6.84,6,0.09,0
2025-01-13,5,1,4,3702,37,6.75,1,0.25,0
2025-01-13,5,2,6,4404,6,6.8,2,0.29,0
2025-01-13,5,3,1,5255,31,6.7,3,0.18,0
2025-01-13,5,4,5,4164,43,6.71,4,0.14,0
2025-01-13,5,5,3,4365,53,6.71,5,0.11,0
2025-01-13,5,6,2,4516,38,6.7,6,0.13,0
2025-01-13,8,1,2,4601,33,6.71,1,0.15,0
2025-01-13,8,2,6,2878,51,6.85,2,0.13,0
2025-01-13,8,3,4,3957,50,6.76,3,0.14,0
2025-01-13,8,4,1,4977,14,6.75,4,0.07,0
2025-01-13,8,5,5,4969,24,6.8,5,0.14,0
2025-01-13,8,6,3,5059,20,6.79,6,0.13,0
2025-01-13,12,1,2,4356,65,6.64,1,0.15,0
2025-01-13,12,2,5,3850,47,6.55,2,0.17,0
2025-01-13,12,3,1,4002,2,6.67,3,0.18,0
2025-01-13,12,4,3,4761,55,6.77,4,0.22,0
2025-01-13,12,5,4,3572,59,6.71,5,0.19,0
2025-01-13,12,6,6,3849,64,6.69,6,0.21,0
2025-01-17,2,1,3,3761,14,6.79,1,0.22,0
2025-01-17,2,2,5,4425,55,6.82,2,0.21,0
2025-01-17,2,3,4,4258,27,6.81,3,0.16,0
2025-01-17,2,4,1,5181,57,6.7,4,0.13,0
2025-01-17,2,5,6,4186,31,6.73,5,0.19,0
2025-01-17,2,6,2,4926,53,6.7,6,0.18,0
2025-01-17,3,1,4,3647,37,6.72,1,0.11,0
2025-01-17,3,2,2,3606,66,6.74,2,0.17,0
2025-01-17,3,3,3,5032,30,6.78,3,0.24,0
2025-01-17,3,4,5,4623,13,6.73,4,0.14,0
2025-01-17,3,5,1,4302,41,6.74,5,0.24,0
2025-01-17,3,6,6,4134,17,6.86,6,0.23,0
2025-01-17,4,1,3,2538,64,6.78,1,0.22,0
2025-01-17,4,2,1,4600,25,6.72,2,0.16,0
2025-01-17,4,3,4,5031,22,6.73,3,0.25,0
2025-01-17,4,4,2,4043,46,6.87,5,0.24,0
2025-01-17,4,5,5,4561,29,6.62,4,0.27,0
2025-01-17,4,6,6,5375,35,6.95,6,0.36,0
2025-01-17,6,1,3,4151,26,6.81,1,0.15,0
2025-01-17,6,2,2,4560,36,6.79,2,0.12,0
2025-01-17,6,3,1,4537,18,6.79,3,0.07,0
2025-01-17,6,4,4,4754,45,6.77,4,0.13,0
2025-01-17,6,5,5,5199,49,6.81,5,0.12,0
2025-01-17,6,6,6,4097,5,6.97,6,0.24,0
2025-01-17,7,1,2,4214,38,6.74,1,0.16,0
2025-01-17,7,2,5,4809,9,6.82,2,0.19,0
2025-01-17,7,3,1,4949,20,6.82,3,0.16,0
2025-01-17,7,4,6,4425,55,6.8,4,0.19,0
2025-01-17,7,5,4,4465,34,6.78,5,0.16,0
2025-01-17,7,6,3,4566,52,6.81,6,0.23,0
2025-01-17,9,1,2,4258,27,6.83,1,0.12,0
2025-01-17,9,2,4,4623,13,6.8,2,0.22,0
