開催日,レース,着,艇,登番,モーター,展示,進入,スタート,boat1_win
2014-01-01,2,1,1,2887,45,6.79,1,0.21,1
2014-01-01,2,2,4,4187,37,6.77,3,0.17,1
2014-01-01,2,3,5,4309,5,6.85,4,0.14,1
2014-01-01,2,4,2,4529,48,6.8,5,0.12,1
2014-01-01,2,5,3,2698,7,6.94,2,0.18,1
2014-01-01,2,6,6,4776,62,6.92,6,0.08,1
2014-01-01,3,1,1,3660,43,6.82,1,0.19,1
2014-01-01,3,2,2,3855,41,6.66,2,0.2,1
2014-01-01,3,3,3,4459,2,6.8,3,0.25,1
2014-01-01,3,4,6,4185,25,6.87,4,0.27,1
2014-01-01,3,5,4,3189,46,6.83,5,0.24,1
2014-01-01,3,6,5,3166,32,6.72,6,0.22,1
2014-01-01,5,1,1,3064,31,6.74,1,0.09,1
2014-01-01,5,2,4,4348,38,6.8,2,0.15,1
2014-01-01,5,3,2,4030,66,6.82,3,0.13,1
2014-01-01,5,4,3,3478,33,6.82,4,0.15,1
2014-01-01,5,5,5,3492,65,6.8,5,0.18,1
2014-01-01,5,6,6,4772,35,6.89,6,0.16,1
2014-01-01,6,1,1,3543,28,6.72,1,0.14,1
2014-01-01,6,2,4,3753,10,6.83,2,0.18,1
2014-01-01,6,3,5,2698,7,6.81,3,0.21,1
2014-01-01,6,4,2,3553,61,6.85,4,0.09,1
2014-01-01,6,5,3,3910,26,6.82,5,0.19,1
2014-01-01,6,6,6,3234,8,6.9,6,0.29,1
2014-01-01,10,1,1,4260,36,6.65,1,0.17,1
2014-01-01,10,2,2,4030,66,6.69,2,0.15,1
2014-01-01,10,3,5,4529,48,6.78,3,0.15,1
2014-01-01,10,4,3,3543,28,6.83,4,0.23,1
2014-01-01,10,5,6,3401,6,6.78,5,0.25,1
2014-01-01,10,6,4,4020,60,6.75,6,0.28,1
2014-01-02,2,1,1,3492,65,6.66,1,0.1,1
2014-01-02,2,2,6,3234,8,6.83,2,0.15,1
2014-01-02,2,3,2,4583,49,6.77,3,0.13,1
2014-01-02,2,4,4,3166,32,6.74,4,0.18,1
2014-01-02,2,5,3,2887,45,6.74,5,0.23,1
2014-01-02,2,6,5,3137,1,6.82,6,0.23,1
2014-01-02,3,1,1,4437,23,6.68,1,0.13,1
2014-01-02,3,2,3,3189,46,6.78,2,0.18,1
