race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-01-01_R1,1-2-4,1,1-2-4,1-2-3,1-3-2,1-2-5,1-3-4
2025-01-01_R3,1-2-3,1,1-2-4,1-2-3,1-2-5,1-4-2,1-2-6
2025-01-01_R4,1-5-6,0,1-2-3,1-2-4,1-2-5,1-3-2,1-3-4
2025-01-01_R5,1-5-3,0,1-2-3,1-3-2,1-2-4,1-4-2,1-5-2
2025-01-01_R6,1-6-4,0,1-2-4,1-2-3,1-2-5,1-3-2,1-2-6
2025-01-01_R8,1-4-3,0,1-2-3,1-2-4,1-3-2,1-2-5,1-3-4
2025-01-01_R10,1-2-3,1,1-2-4,1-3-2,1-2-5,1-3-4,1-2-3
2025-01-02_R1,1-2-3,1,1-2-3,1-2-4,1-4-2,1-2-5,1-3-2
2025-01-02_R3,1-2-5,1,1-2-3,1-2-4,1-2-5,1-3-2,1-2-6
2025-01-02_R5,1-3-5,0,1-2-4,1-3-2,1-3-4,1-2-3,1-2-5
2025-01-02_R6,1-5-2,0,1-2-3,1-2-4,1-2-5,1-2-6,1-5-3
2025-01-02_R9,1-6-2,0,1-2-3,1-2-4,1-3-2,1-2-5,1-2-6
2025-01-02_R10,1-2-3,1,1-2-3,1-2-4,1-3-2,1-2-5,1-3-4
2025-01-02_R11,1-4-3,0,1-2-3,1-2-4,1-3-2,1-2-5,1-3-4
2025-01-02_R12,1-5-3,0,1-2-4,1-2-3,1-3-2,1-3-4,1-2-6
2025-01-03_R5,1-5-2,0,1-2-3,1-2-4,1-3-2,1-2-5,1-4-2
2025-01-03_R6,1-5-4,0,1-2-3,1-3-2,1-2-4,1-4-2,1-2-5
2025-01-03_R7,1-3-2,1,1-3-2,1-2-4,1-2-3,1-3-4,1-2-6
2025-01-03_R10,1-3-5,0,1-2-3,1-3-2,1-2-4,1-2-5,1-4-2
2025-01-03_R11,1-3-5,0,1-2-3,1-2-4,1-2-5,1-3-2,1-2-6
2025-01-03_R12,1-3-5,0,1-2-4,1-2-3,1-3-4,1-3-2,1-2-5
2025-01-06_R1,1-5-3,0,1-2-3,1-2-4,1-3-2,1-2-5,1-4-2
2025-01-06_R6,1-2-4,1,1-2-3,1-2-4,1-2-5,1-3-2,1-4-2
2025-01-06_R8,1-5-2,0,1-3-2,1-3-4,1-2-4,1-2-3,1-3-6
2025-01-06_R11,1-2-6,1,1-2-3,1-2-6,1-2-4,1-2-5,1-3-2
2025-01-06_R12,1-4-6,0,1-2-3,1-2-4,1-3-2,1-3-4,1-2-5
2025-01-08_R1,1-6-2,0,1-2-3,1-3-2,1-2-4,1-2-5,1-4-2
2025-01-08_R5,1-3-4,1,1-2-3,1-2-4,1-3-2,1-2-6,1-3-4
2025-01-08_R7,1-3-4,0,1-2-4,1-2-6,1-2-3,1-2-5,1-3-2
