race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-01-01_R7,4-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-01_R9,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-01_R12,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-02_R2,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-02_R7,2-6-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-03_R1,5-3-1,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-01-03_R2,2-3-4,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-03_R3,6-3-2,0,3-4-6,3-6-4,4-3-6,4-6-3,6-3-4
2025-01-03_R8,2-3-1,0,2-3-4,3-2-4,2-4-3,3-4-2,4-2-3
2025-01-06_R2,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-06_R3,5-4-1,0,2-1-5,2-3-5,2-4-5,2-5-1,2-5-3
2025-01-06_R5,2-1-5,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-01-06_R7,5-2-1,1,2-5-1,2-5-3,2-5-4,2-5-6,5-2-1
2025-01-06_R9,2-4-1,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-06_R10,2-3-1,1,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-01-08_R2,4-5-6,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-08_R3,3-4-5,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-08_R4,6-5-4,0,3-5-6,3-6-5,5-3-6,5-6-3,6-3-5
2025-01-08_R12,2-5-1,0,2-6-4,4-6-2,6-2-4,6-4-2,2-4-6
2025-01-10_R1,4-6-2,1,2-4-6,2-6-4,4-2-6,6-2-4,4-6-2
2025-01-10_R3,3-6-1,0,3-5-2,5-3-2,2-3-5,2-5-3,3-2-5
2025-01-10_R6,4-5-1,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-10_R7,3-5-2,0,2-3-4,2-4-3,3-1-4,3-2-4,3-4-1
2025-01-10_R10,2-3-4,1,3-4-2,4-3-2,2-3-4,2-4-3,3-2-4
2025-01-11_R1,6-2-3,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-11_R2,6-3-2,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-11_R3,6-5-3,0,2-5-6,2-6-5,5-2-6,5-6-2,6-2-5
2025-01-11_R4,3-1-5,0,2-6-5,5-6-2,6-2-5,6-5-2,2-5-6
2025-01-11_R5,2-1-5,0,2-1-6,2-3-6,2-4-6,2-5-6,2-6-1
2025-01-11_R6,2-4-1,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-11_R9,4-6-3,0,2-4-5,4-2-5,4-5-2,5-4-2,2-5-4
2025-01-11_R11,6-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-11_R12,3-6-4,0,2-4-6,4-2-6,2-6-4,4-6-2,6-2-4
2025-01-12_R3,3-6-2,0,2-6-4,4-6-2,6-2-4,6-4-2,2-4-6
2025-01-12_R7,6-1-3,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-12_R9,4-1-6,0,2-3-4,3-2-4,3-4-2,4-3-2,2-4-3
2025-01-12_R10,3-6-5,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-13_R3,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-13_R5,4-6-1,0,2-4-5,2-5-4,4-2-5,4-5-2,5-2-4
2025-01-13_R8,2-6-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-13_R12,2-5-1,0,2-5-6,2-6-5,5-2-6,5-6-2,6-2-5
2025-01-17_R2,3-5-4,0,2-3-6,2-6-3,3-2-6,3-6-2,6-2-3
2025-01-17_R3,4-2-3,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-17_R4,3-1-4,0,2-4-5,2-5-4,4-2-5,4-5-2,5-2-4
2025-01-17_R6,3-2-1,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
2025-01-17_R7,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-17_R9,2-4-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-17_R10,2-1-5,0,2-1-6,2-3-6,2-4-6,2-5-6,3-2-6
2025-01-18_R4,3-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-18_R5,5-6-1,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-01-18_R7,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-18_R9,2-6-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-18_R11,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-18_R12,4-3-6,0,2-1-4,2-3-4,2-5-4,2-6-4,3-2-4
2025-01-19_R1,6-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-19_R4,5-1-2,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-01-20_R2,6-5-1,0,2-6-5,6-2-5,2-5-6,5-2-6,5-6-2
2025-01-20_R6,4-6-1,0,2-1-4,2-3-4,2-4-1,2-4-3,2-4-5
2025-01-20_R9,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-20_R10,4-6-2,1,2-4-6,2-6-4,4-2-6,4-6-2,6-2-4
2025-01-20_R11,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-25_R4,4-1-3,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-01-25_R5,6-3-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-25_R6,2-4-1,0,2-5-3,5-2-3,2-3-5,3-2-5,3-5-2
2025-01-25_R12,6-4-3,0,2-4-6,2-6-4,4-2-6,4-6-2,6-2-4
2025-01-26_R3,6-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-26_R4,4-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-26_R9,5-1-6,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-01-27_R1,4-5-2,0,2-5-1,2-5-3,2-5-4,2-5-6,3-5-1
2025-01-27_R3,5-2-6,0,3-5-2,5-3-2,2-3-5,2-5-3,3-2-5
2025-01-27_R4,4-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-27_R5,4-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-27_R7,3-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-27_R9,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-27_R11,4-2-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-28_R10,4-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-28_R12,3-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-01-29_R2,3-4-1,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
