開催日,日目,レース,着,艇,登番,選手名,モーター,ボート,展示
2014-01-01,3,2,1,1,2887,大井崇夫,45,9,6.79
2014-01-01,3,2,2,4,4529,嶋義信,48,36,6.8
2014-01-01,3,2,3,5,2698,角川政志,7,46,6.94
2014-01-01,3,2,4,2,4187,香川友尚,37,66,6.77
2014-01-01,3,2,5,3,4309,坂口明義,5,4,6.85
2014-01-01,3,2,6,6,4776,竹田和哉,62,40,6.92
2014-01-01,3,3,1,1,3660,長谷川親王,43,35,6.82
2014-01-01,3,3,2,2,3855,大熊辰弥,41,52,6.66
2014-01-01,3,3,3,3,4459,片岡雅裕,2,21,6.8
2014-01-01,3,3,4,5,3189,矢野素也,46,11,6.83
2014-01-01,3,3,5,6,3166,谷田昭利,32,26,6.72
2014-01-01,3,3,6,4,4185,藤原真也,25,53,6.87
2014-01-01,3,4,1,5,3832,下田哲也,3,37,6.82
2014-01-01,3,4,2,3,4260,中越博紀,36,6,6.76
2014-01-01,3,4,3,6,4220,深川和仁,4,56,6.79
2014-01-01,3,4,4,1,4221,南部圭史,50,38,6.79
2014-01-01,3,4,5,4,3137,岩井範光,1,39,6.77
2014-01-01,3,4,6,2,3466,松岡晃司,9,49,6.85
2014-01-01,3,5,1,1,3064,山崎昭生,31,23,6.74
2014-01-01,3,5,2,3,4030,森高一真,66,30,6.82
2014-01-01,3,5,3,4,3478,嶋田貴支,33,54,6.82
2014-01-01,3,5,4,2,4348,宮崎奨,38,24,6.8
2014-01-01,3,5,5,5,3492,山下和彦,65,34,6.8
2014-01-01,3,5,6,6,4772,石丸海渡,35,3,6.89
2014-01-01,3,6,1,1,3543,福田雅一,28,1,6.72
2014-01-01,3,6,2,4,3553,平池仁志,61,64,6.85
2014-01-01,3,6,3,5,3910,松下知幸,26,51,6.82
2014-01-01,3,6,4,2,3753,河上哲也,10,48,6.83
2014-01-01,3,6,5,3,2698,角川政志,7,46,6.81
2014-01-01,3,6,6,6,3234,金森史吉,8,61,6.9
2014-01-01,3,7,1,3,4020,川上清人,60,2,6.73
2014-01-01,3,7,2,1,4452,松尾祭,44,15,6.74
2014-01-01,3,7,3,6,3907,村越篤,47,12,6.69
2014-01-01,3,7,4,2,3541,三嶌誠司,39,55,6.75
2014-01-01,3,7,5,4,3855,大熊辰弥,41,52,6.76
2014-01-01,3,7,6,5,4776,竹田和哉,62,40,6.88
2014-01-01,3,8,1,2,3908,重成一人,29,32,6.66
2014-01-01,3,8,2,1,3710,吉永泰弘,63,65,6.69
2014-01-01,3,8,3,5,4185,藤原真也,25,53,6.73
2014-01-01,3,8,4,4,3837,秋山広一,30,29,6.75
2014-01-01,3,8,5,3,3137,岩井範光,1,39,6.74
2014-01-01,3,8,6,6,4309,坂口明義,5,4,6.84
2014-01-01,3,9,1,3,3568,木村光宏,24,63,6.72
2014-01-01,3,9,2,1,3753,河上哲也,10,48,6.72
2014-01-01,3,9,3,2,4459,片岡雅裕,2,21,6.79
2014-01-01,3,9,4,5,4511,中岡健人,27,7,6.69
2014-01-01,3,9,5,6,3832,下田哲也,3,37,6.81
2014-01-01,3,9,6,4,4187,香川友尚,37,66,6.82
2014-01-01,3,10,1,1,4260,中越博紀,36,6,6.65
2014-01-01,3,10,2,2,4030,森高一真,66,30,6.69
2014-01-01,3,10,3,4,3543,福田雅一,28,1,6.83
2014-01-01,3,10,4,6,4020,川上清人,60,2,6.75
2014-01-01,3,10,5,3,4529,嶋義信,48,36,6.78
2014-01-01,3,10,6,5,3401,上田隆章,6,17,6.78
2014-01-01,3,11,1,2,3837,秋山広一,30,29,6.68
2014-01-01,3,11,2,1,3541,三嶌誠司,39,55,6.64
2014-01-01,3,11,3,6,3478,嶋田貴支,33,54,6.71
2014-01-01,3,11,4,3,3442,宮武英司,11,20,6.75
2014-01-01,3,11,5,4,3189,矢野素也,46,11,6.68
2014-01-01,3,11,6,5,3975,小野寺智洋,12,47,6.76
2014-01-01,3,12,1,4,3064,山崎昭生,31,23,6.64
2014-01-01,3,12,2,2,3568,木村光宏,24,63,6.6
2014-01-01,3,12,3,3,3849,中岡正彦,34,57,6.69
2014-01-01,3,12,4,1,3908,重成一人,29,32,6.63
2014-01-01,3,12,5,5,3907,村越篤,47,12,6.56
2014-01-01,3,12,6,6,3553,平池仁志,61,64,6.79
2014-01-02,4,2,1,1,3492,山下和彦,65,34,6.66
2014-01-02,4,2,2,3,4583,古田祐貴,49,22,6.77
2014-01-02,4,2,3,5,2887,大井崇夫,45,9,6.74
2014-01-02,4,2,4,4,3166,谷田昭利,32,26,6.74
2014-01-02,4,2,5,6,3137,岩井範光,1,39,6.82
2014-01-02,4,2,6,2,3234,金森史吉,8,61,6.83
2014-01-02,4,3,1,1,4437,中田元泰,23,59,6.68
2014-01-02,4,3,2,4,3478,嶋田貴支,33,54,6.75
2014-01-02,4,3,3,2,3189,矢野素也,46,11,6.78
2014-01-02,4,3,4,5,4772,石丸海渡,35,3,6.86
2014-01-02,4,3,5,3,4220,深川和仁,4,56,6.85
2014-01-02,4,3,6,6,3855,大熊辰弥,41,52,6.74
2014-01-02,4,4,1,4,3849,中岡正彦,34,57,6.83
2014-01-02,4,4,2,3,3064,山崎昭生,31,23,6.71
2014-01-02,4,4,3,5,4348,宮崎奨,38,24,6.77
2014-01-02,4,4,4,6,2698,角川政志,7,46,6.82
2014-01-02,4,4,5,2,4643,近江翔吾,40,14,6.79
2014-01-02,4,4,6,1,4309,坂口明義,5,4,6.83
2014-01-02,4,5,1,3,3837,秋山広一,30,29,6.72
2014-01-02,4,5,2,1,3401,上田隆章,6,17,6.75
2014-01-02,4,5,3,4,3541,三嶌誠司,39,55,6.81
2014-01-02,4,5,4,2,4529,嶋義信,48,36,6.77
2014-01-02,4,5,5,6,4187,香川友尚,37,66,6.69
2014-01-02,4,5,6,5,3660,長谷川親王,43,35,6.84
2014-01-02,4,6,1,4,4030,森高一真,66,30,6.81
2014-01-02,4,6,2,5,3753,河上哲也,10,48,6.89
2014-01-02,4,6,3,1,3907,村越篤,47,12,6.67
2014-01-02,4,6,4,3,3910,松下知幸,26,51,6.78
2014-01-02,4,6,5,2,3492,山下和彦,65,34,6.69
2014-01-02,4,6,6,6,3466,松岡晃司,9,49,6.87
2014-01-02,4,7,1,4,3568,木村光宏,24,63,6.7
2014-01-02,4,7,2,2,3908,重成一人,29,32,6.75
2014-01-02,4,7,3,3,4511,中岡健人,27,7,6.68
2014-01-02,4,7,4,5,3442,宮武英司,11,20,6.91
2014-01-02,4,7,5,1,3166,谷田昭利,32,26,6.77
2014-01-02,4,7,6,6,4221,南部圭史,50,38,6.86
2014-01-02,4,8,1,1,3543,福田雅一,28,1,6.7
2014-01-02,4,8,2,4,3401,上田隆章,6,17,6.82
2014-01-02,4,8,3,2,4459,片岡雅裕,2,21,6.77
2014-01-02,4,8,4,6,4776,竹田和哉,62,40,6.79
2014-01-02,4,8,5,5,4739,中村晃朋,64,8,6.71
2014-01-02,4,8,6,3,3234,金森史吉,8,61,6.78
2014-01-02,4,9,1,5,4020,川上清人,60,2,6.65
2014-01-02,4,9,2,4,3064,山崎昭生,31,23,6.82
2014-01-02,4,9,3,6,4772,石丸海渡,35,3,6.75
2014-01-02,4,9,4,2,3837,秋山広一,30,29,6.72
2014-01-02,4,9,5,1,4583,古田祐貴,49,22,6.76
2014-01-02,4,9,6,3,3975,小野寺智洋,12,47,6.79
2014-01-02,4,10,1,1,4030,森高一真,66,30,6.79
2014-01-02,4,10,2,5,3553,平池仁志,61,64,6.84
2014-01-02,4,10,3,3,3442,宮武英司,11,20,6.8
2014-01-02,4,10,4,4,4260,中越博紀,36,6,6.74
2014-01-02,4,10,5,2,3832,下田哲也,3,37,6.83
2014-01-02,4,10,6,6,2887,大井崇夫,45,9,6.82
2014-01-02,4,11,1,1,4459,片岡雅裕,2,21,6.77
2014-01-02,4,11,2,2,3541,三嶌誠司,39,55,6.71
2014-01-02,4,11,3,3,3568,木村光宏,24,63,6.62
2014-01-02,4,11,4,6,3910,松下知幸,26,51,6.74
2014-01-02,4,11,5,4,4643,近江翔吾,40,14,6.74
2014-01-02,4,11,6,5,4220,深川和仁,4,56,6.71
2014-01-02,4,12,1,1,3908,重成一人,29,32,6.71
2014-01-02,4,12,2,2,3849,中岡正彦,34,57,6.74
2014-01-02,4,12,3,4,3753,河上哲也,10,48,6.79
2014-01-02,4,12,4,3,3543,福田雅一,28,1,6.63
2014-01-02,4,12,5,6,3660,長谷川親王,43,35,6.8
2014-01-02,4,12,6,5,3478,嶋田貴支,33,54,6.77
2014-01-03,5,1,1,1,3910,松下知幸,26,51,6.69
2014-01-03,5,1,2,5,4221,南部圭史,50,38,6.86
2014-01-03,5,1,3,2,2698,角川政志,7,46,6.79
2014-01-03,5,1,4,3,3137,岩井範光,1,39,6.77
2014-01-03,5,1,5,4,3234,金森史吉,8,61,6.8
2014-01-03,5,1,6,6,4776,竹田和哉,62,40,6.76
2014-01-03,5,2,1,1,4529,嶋義信,48,36,6.74
2014-01-03,5,2,2,3,3478,嶋田貴支,33,54,6.7
2014-01-03,5,2,3,4,3553,平池仁志,61,64,6.81
2014-01-03,5,2,4,6,4772,石丸海渡,35,3,6.8
2014-01-03,5,2,5,5,4260,中越博紀,36,13,6.73
2014-01-03,5,2,6,2,3466,松岡晃司,9,49,6.8
2014-01-03,5,5,1,2,3753,河上哲也,10,48,6.87
2014-01-03,5,5,2,1,3442,宮武英司,11,20,6.9
2014-01-03,5,5,3,4,4459,片岡雅裕,2,21,6.79
2014-01-03,5,5,4,3,3832,下田哲也,3,37,6.84
2014-01-03,5,5,5,5,3492,山下和彦,65,34,6.75
2014-01-03,5,5,6,6,4739,中村晃朋,64,8,6.77
2014-01-03,5,6,1,2,3907,村越篤,47,12,6.63
2014-01-03,5,6,2,5,3543,福田雅一,28,1,6.8
2014-01-03,5,6,3,1,3541,三嶌誠司,39,55,6.71
2014-01-03,5,6,4,4,4583,古田祐貴,49,22,6.76
2014-01-03,5,6,5,3,4187,香川友尚,37,66,6.75
2014-01-03,5,6,6,6,3849,中岡正彦,34,57,6.83
2014-01-03,5,7,1,1,4437,中田元泰,23,59,6.65
2014-01-03,5,7,2,6,4030,森高一真,66,30,6.83
2014-01-03,5,7,3,2,3401,上田隆章,6,17,6.79
2014-01-03,5,7,4,4,3975,小野寺智洋,12,47,6.8
2014-01-03,5,7,5,5,4185,藤原真也,25,53,6.78
2014-01-03,5,7,6,3,3660,長谷川親王,43,35,6.83
2014-01-03,5,8,1,4,3478,嶋田貴支,33,54,6.79
2014-01-03,5,8,2,5,4220,深川和仁,4,56,6.74
2014-01-03,5,8,3,6,4511,中岡健人,27,7,6.69
2014-01-03,5,8,4,2,3908,重成一人,29,32,6.73
2014-01-03,5,8,5,1,3837,秋山広一,30,29,6.76
2014-01-03,5,8,6,3,3553,平池仁志,61,64,6.82
2014-01-03,5,9,1,2,3568,木村光宏,24,63,6.61
2014-01-03,5,9,2,1,3064,山崎昭生,31,23,6.71
2014-01-03,5,9,3,3,3753,河上哲也,10,48,6.72
2014-01-03,5,9,4,5,3442,宮武英司,11,20,6.81
2014-01-03,5,9,5,6,3910,松下知幸,26,51,6.78
2014-01-03,5,9,6,4,3907,村越篤,47,12,6.72
2014-01-03,5,10,1,1,3849,中岡正彦,34,57,6.74
2014-01-03,5,10,2,5,3541,三嶌誠司,39,55,6.76
2014-01-03,5,10,3,2,4260,中越博紀,36,13,6.74
2014-01-03,5,10,4,6,4529,嶋義信,48,36,6.83
2014-01-03,5,10,5,4,3401,上田隆章,6,17,6.87
2014-01-03,5,10,6,3,4020,川上清人,60,2,6.68
2014-01-03,5,11,1,1,4030,森高一真,66,30,6.83
2014-01-03,5,11,2,2,3543,福田雅一,28,1,6.79
2014-01-03,5,11,3,4,3832,下田哲也,3,37,6.81
2014-01-03,5,11,4,3,4459,片岡雅裕,2,21,6.82
2014-01-03,5,11,5,5,4437,中田元泰,23,59,6.64
2014-01-03,5,11,6,6,4452,松尾祭,44,15,6.79
2014-01-03,5,12,1,5,4583,古田祐貴,49,22,6.88
2014-01-03,5,12,2,2,4348,宮崎奨,38,24,6.82
2014-01-03,5,12,3,1,3975,小野寺智洋,12,47,6.79
2014-01-03,5,12,4,4,3855,大熊辰弥,41,52,6.74
2014-01-03,5,12,5,3,3189,矢野素也,46,11,6.82
2014-01-03,5,12,6,6,4643,近江翔吾,40,14,6.92
2014-01-04,6,1,1,1,3907,村越篤,47,12,6.63
2014-01-04,6,1,2,3,3855,大熊辰弥,41,52,6.67
2014-01-04,6,1,3,5,3660,長谷川親王,43,35,6.79
2014-01-04,6,1,4,2,4583,古田祐貴,49,22,6.75
2014-01-04,6,1,5,4,2887,大井崇夫,45,9,6.79
2014-01-04,6,1,6,6,4776,竹田和哉,62,40,6.81
2014-01-04,6,2,1,4,4187,香川友尚,37,66,6.76
2014-01-04,6,2,2,1,3234,金森史吉,8,61,6.71
2014-01-04,6,2,3,3,3137,岩井範光,1,39,6.8
2014-01-04,6,2,4,2,3166,谷田昭利,32,26,6.72
2014-01-04,6,2,5,6,4309,坂口明義,5,4,6.76
2014-01-04,6,2,6,5,3466,松岡晃司,9,49,6.77
2014-01-04,6,3,1,6,4772,石丸海渡,35,3,6.71
2014-01-04,6,3,2,2,4643,近江翔吾,40,14,6.7
2014-01-04,6,3,3,3,4221,南部圭史,50,38,6.78
2014-01-04,6,3,4,1,3492,山下和彦,65,34,6.71
2014-01-04,6,3,5,4,4185,藤原真也,25,53,6.79
2014-01-04,6,3,6,5,4020,川上清人,60,2,6.64
2014-01-04,6,4,1,5,2698,角川政志,7,46,6.76
2014-01-04,6,4,2,2,4452,松尾祭,44,15,6.78
2014-01-04,6,4,3,3,3837,秋山広一,30,29,6.72
2014-01-04,6,4,4,1,3553,平池仁志,61,58,6.74
2014-01-04,6,4,5,4,3189,矢野素也,46,11,6.78
2014-01-04,6,4,6,6,4348,宮崎奨,38,24,6.76
2014-01-04,6,5,1,1,3442,宮武英司,11,20,6.76
2014-01-04,6,5,2,4,3064,山崎昭生,31,23,6.75
2014-01-04,6,5,3,3,3541,三嶌誠司,39,55,6.7
2014-01-04,6,5,4,2,3832,下田哲也,3,37,6.69
2014-01-04,6,5,5,5,3478,嶋田貴支,33,54,6.77
2014-01-04,6,5,6,6,3849,中岡正彦,34,57,6.73
2014-01-04,6,6,1,2,4260,中越博紀,36,13,6.73
2014-01-04,6,6,2,6,4030,森高一真,66,30,6.82
2014-01-04,6,6,3,1,4511,中岡健人,27,7,6.64
2014-01-04,6,6,4,5,3568,木村光宏,24,63,6.75
2014-01-04,6,6,5,4,3543,福田雅一,28,1,6.71
2014-01-04,6,6,6,3,4220,深川和仁,4,56,6.82
2014-01-04,6,7,1,1,4020,川上清人,60,2,6.67
2014-01-04,6,7,2,3,4348,宮崎奨,38,24,6.78
2014-01-04,6,7,3,4,3910,松下知幸,26,51,6.81
2014-01-04,6,7,4,6,3975,小野寺智洋,12,47,6.8
2014-01-04,6,7,5,5,3137,岩井範光,1,39,6.83
2014-01-04,6,7,6,2,4529,嶋義信,48,36,6.76
2014-01-04,6,8,1,4,4459,片岡雅裕,2,21,6.86
2014-01-04,6,8,2,1,3401,上田隆章,6,17,6.79
2014-01-04,6,8,3,2,3907,村越篤,47,12,6.63
2014-01-04,6,8,4,3,4185,藤原真也,25,53,6.82
2014-01-04,6,8,5,6,4739,中村晃朋,64,8,6.79
2014-01-04,6,8,6,5,3855,大熊辰弥,41,52,6.89
2014-01-04,6,9,1,4,3908,重成一人,29,32,6.75
2014-01-04,6,9,2,1,3837,秋山広一,30,29,6.76
2014-01-04,6,9,3,2,4437,中田元泰,23,59,6.71
2014-01-04,6,9,4,3,2698,角川政志,7,46,6.79
2014-01-04,6,9,5,6,3753,河上哲也,10,48,6.82
2014-01-04,6,9,6,5,4776,竹田和哉,62,40,6.82
2014-01-04,6,10,1,1,3849,中岡正彦,34,57,6.73
2014-01-04,6,10,2,2,3568,木村光宏,24,63,6.67
2014-01-04,6,10,3,5,3832,下田哲也,3,37,6.79
2014-01-04,6,10,4,3,3064,山崎昭生,31,23,6.71
2014-01-04,6,10,5,4,4220,深川和仁,4,56,6.75
2014-01-04,6,10,6,6,4511,中岡健人,27,7,6.71
2014-01-04,6,11,1,4,3541,三嶌誠司,39,55,6.76
2014-01-04,6,11,2,5,4260,中越博紀,36,13,6.65
2014-01-04,6,11,3,2,3478,嶋田貴支,33,54,6.76
2014-01-04,6,11,4,6,3442,宮武英司,11,20,6.81
2014-01-04,6,11,5,1,4030,森高一真,66,30,6.77
2014-01-04,6,11,6,3,3543,福田雅一,28,1,6.74
2014-01-04,6,12,1,1,3908,重成一人,29,32,6.67
2014-01-04,6,12,2,2,4459,片岡雅裕,2,21,6.67
2014-01-04,6,12,3,4,3401,上田隆章,6,17,6.7
2014-01-04,6,12,4,5,4309,坂口明義,5,4,6.77
2014-01-04,6,12,5,3,3553,平池仁志,61,58,6.76
2014-01-04,6,12,6,6,4187,香川友尚,37,66,6.75
2014-01-05,7,1,1,1,3753,河上哲也,10,48,6.76
2014-01-05,7,1,2,3,3660,長谷川親王,43,35,6.79
2014-01-05,7,1,3,5,4529,嶋義信,48,36,6.76
2014-01-05,7,1,4,2,2887,大井崇夫,45,9,6.84
2014-01-05,7,1,5,4,3466,松岡晃司,9,49,6.9
2014-01-05,7,1,6,6,3166,谷田昭利,32,26,6.81
2014-01-05,7,2,1,1,4309,坂口明義,5,4,6.82
2014-01-05,7,2,2,4,4221,南部圭史,50,38,6.87
2014-01-05,7,2,3,6,4739,中村晃朋,64,8,6.73
2014-01-05,7,2,4,3,3234,金森史吉,8,61,6.81
2014-01-05,7,2,5,2,3137,岩井範光,1,39,6.78
2014-01-05,7,2,6,5,4452,松尾祭,44,15,6.69
2014-01-05,7,3,1,1,4437,中田元泰,23,59,6.69
2014-01-05,7,3,2,6,3553,平池仁志,61,58,6.86
2014-01-05,7,3,3,4,3975,小野寺智洋,12,47,6.84
2014-01-05,7,3,4,2,3492,山下和彦,65,34,6.71
2014-01-05,7,3,5,3,4583,古田祐貴,49,22,6.82
2014-01-05,7,3,6,5,4772,石丸海渡,35,3,6.86
2014-01-05,7,5,1,1,4020,川上清人,60,2,6.83
2014-01-05,7,5,2,4,3908,重成一人,29,32,6.75
2014-01-05,7,5,3,2,3910,松下知幸,26,51,6.68
2014-01-05,7,5,4,3,3189,矢野素也,46,11,6.8
2014-01-05,7,5,5,6,4776,竹田和哉,62,40,6.77
2014-01-05,7,5,6,5,2887,大井崇夫,45,9,6.88
2014-01-05,7,6,1,3,3907,村越篤,47,12,6.67
2014-01-05,7,6,2,1,4030,森高一真,66,30,6.79
2014-01-05,7,6,3,5,4459,片岡雅裕,2,21,6.8
2014-01-05,7,6,4,4,2698,角川政志,7,46,6.73
2014-01-05,7,6,5,2,3660,長谷川親王,43,35,6.83
2014-01-05,7,6,6,6,3234,金森史吉,8,61,6.83
2014-01-05,7,7,1,1,4220,深川和仁,4,56,6.78
2014-01-05,7,7,2,5,4739,中村晃朋,64,8,6.75
2014-01-05,7,7,3,4,3837,秋山広一,30,29,6.74
2014-01-05,7,7,4,2,4185,藤原真也,25,53,6.77
2014-01-05,7,7,5,6,3492,山下和彦,65,34,6.78
