開催日,日目,レース,グレード,レース名,優勝戦
2014-01-01,3,1,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,2,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,3,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,4,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,5,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,6,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,7,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,8,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,9,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,10,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,11,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-01,3,12,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,1,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,2,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,3,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,4,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,5,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,6,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,7,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,8,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,9,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,10,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,11,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-02,4,12,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,1,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,2,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,3,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,4,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,5,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,6,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,7,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-03,5,8,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,True
2014-01-03,5,9,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,True
2014-01-03,5,10,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,True
2014-01-03,5,11,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,True
2014-01-03,5,12,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,1,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,2,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,3,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,4,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,5,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,6,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,7,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,8,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,9,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,10,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,11,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-04,6,12,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,1,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,2,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,3,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,4,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,5,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,6,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,7,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,8,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,9,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,10,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,11,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,False
2014-01-05,7,12,一般,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞,True
2014-01-08,1,1,一般,ボートピア朝倉開設２１周年記念,False
