year,month,grade,start_day,race_name
2016,2,G1,10,Ｇ１第５９回四国地区選手権競走
2016,6,G1,16,Ｇ１京極賞開設６４周年記念競走
2016,1,G3,26,Ｇ３オールレディース
2016,7,G3,5,Ｇ３第３回ウエスタンヤング
2016,12,G3,12,Ｇ３第２６回ＪＲ四国ワープ杯競走
2016,1,一般,3,市長杯争奪ＢＯＡＴＲＡＣＥまるがめ大賞
2016,1,一般,14,スカパー！・ＪＬＣ杯
2016,2,一般,2,ボートピア朝倉開設２３周年記念
2016,2,一般,22,丸亀市議会議長杯
2016,3,一般,4,日本モーターボート選手会会長杯
2016,3,一般,15,ルーキーシリーズ第９戦
2016,3,一般,24,日本財団会長杯争奪ナイター王決定戦
2016,4,一般,2,ジャパンネット銀行杯
2016,4,一般,8,四国アイランドリーグｐｌｕｓ杯
2016,4,一般,17,デイリースポーツカップ
2016,4,一般,25,マクール杯
2016,5,一般,3,安岐真人杯争奪瀬戸の大魔神大賞
2016,5,一般,11,日刊スポーツカップ
2016,5,一般,17,スプリングナイトレース
2016,5,一般,27,報知グリーンカップ争奪男女Ｗ優勝戦
2016,6,一般,6,Ｂカードメンバー大感謝祭日本トーター杯
2016,6,一般,23,まるポカップ
2016,7,一般,17,サッポロビールカップ２０１６
2016,7,一般,25,マンスリーＢＯＡＴＲＡＣＥ杯
2016,8,一般,2,キヤンテイーンカップ
2016,8,一般,10,ボートピア丸亀開設３０周年記念ペプシコーラカップ
2016,8,一般,18,ＲＮＣ杯争奪　サマーチャンピオンレース
2016,9,一般,4,楽天銀行杯
2016,9,一般,11,第６回　琴参バスカップ
2016,9,一般,19,サンケイスポーツカップ
2016,10,一般,2,四国新聞社杯
2016,10,一般,14,スポーツニッポンカップ
2016,10,一般,25,チケットショップ西予　開設１周年記念
2016,11,一般,22,ていゆうニュース　アダムスキーカップ
2016,12,一般,1,丸亀市議会議長杯
2016,12,一般,20,日本モーターボート選手会会長杯
2016,12,一般,28,年末ファン感謝ゴールデンカップ
