year,month,grade,start_day,race_name
2023,1,一般,1,まるポカップ
2023,1,一般,8,市長杯争奪　ＢＯＡＴＲＡＣＥまるがめ大賞
2023,1,一般,17,香川県中部広域競艇事業組合５４周年
2023,2,一般,2,丸亀市議会議長杯
2023,2,一般,15,ＢＴＳ朝倉開設３０周年記念
2023,2,一般,25,ナイター王決定戦！楽天銀行杯
2023,3,一般,11,ＢＴＳまるがめ開設３６周年記念
2023,4,一般,17,報知グリーンカップ
2023,4,一般,26,ＹｏｕＴｕｂｅ番組「ウチまる」３周年記念
2023,5,一般,1,安岐真人杯争奪瀬戸の大魔神大賞
2023,5,一般,7,創刊７５周年記念スポーツニッポンカップ
2023,6,一般,15,にっぽん未来プロジェクト競走ｉｎまるがめ
2023,6,一般,21,丸亀−１グランプリ　デイリースポーツカップ
2023,6,一般,28,ヴィーナスシリーズ第６戦　カルビーカップ
2023,8,一般,7,サッポロビールカップ２０２３
2023,8,一般,16,ＲＮＣ杯争奪　サマーチャンピオンレース
2023,9,一般,30,日本財団会長杯　〜瀬戸内オーシャンズＸ〜
2023,10,一般,9,日刊スポーツカップ
2023,10,一般,16,ＪＲ四国ワープ杯争奪　誰が勝っても丸亀初優勝！
2023,10,一般,23,スカパー！・ＪＬＣ杯争奪ルーキーシリーズ第１８戦
2023,11,一般,1,ＢＴＳ西予開設８周年記念
2023,11,一般,10,にっぽん未来プロジェクト競走ｉｎまるがめ
2023,11,一般,19,マンスリーＢＯＡＴ　ＲＡＣＥ杯
2023,11,一般,26,四国新聞社杯争奪　男女Ｗ優勝戦
2023,12,一般,3,ＢＴＳまるがめ開設３７周年記念
2023,12,一般,8,サンケイスポーツカップ
2023,12,一般,28,清酒金陵杯
