venue,year,month,start_day,grade,race_name
徳山,2019,1,2,一般,２０１９西京波者決定戦競走
徳山,2019,1,17,一般,サンケイスポーツ杯争奪戦
徳山,2019,1,26,一般,楽天銀行杯争奪戦
徳山,2019,2,4,一般,デイリースポーツ杯争奪戦
徳山,2019,2,12,一般,モーニングレース開催記念　日本トーター杯争奪戦
徳山,2019,2,19,一般,果子乃季バレンタインカップ
徳山,2019,3,3,一般,日本財団会長杯争奪戦
徳山,2019,3,12,一般,山口マツダ周南東店　ファンタジー杯
徳山,2019,3,21,一般,九州スポーツ杯争奪戦
徳山,2019,3,31,一般,マクール杯争奪　男女Ｗ優勝戦
徳山,2019,4,12,一般,スポーツニッポン杯争奪　ヴィーナスシリーズ第１戦
徳山,2019,4,24,一般,トライアングルカップ
徳山,2019,5,3,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2019,5,12,一般,日本トーター杯争奪戦
徳山,2019,5,24,一般,ＢＯＡＴ　Ｂｏｙカップ
徳山,2019,6,4,一般,日本財団会長杯争奪戦
徳山,2019,6,12,一般,山口新聞社杯争奪戦
徳山,2019,6,21,一般,マンスリーＢＯＡＴＲＡＣＥ杯争奪戦
徳山,2019,7,2,一般,マクールカップ　男女Ｗ優勝戦
徳山,2019,7,20,一般,ＫＲＹ山口放送杯争奪戦
徳山,2019,7,27,一般,レノファ山口カップ
徳山,2019,8,8,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１２戦
徳山,2019,8,21,一般,日本モーターボート選手会会長賞
徳山,2019,8,28,一般,黒神杯争奪　真夏の覇者決定戦
徳山,2019,9,14,一般,楽天銀行杯争奪戦
徳山,2019,9,23,一般,サッポロビールカップ
徳山,2019,10,3,一般,スポーツ報知杯争奪戦
徳山,2019,10,14,一般,住信ＳＢＩネット銀行賞
徳山,2019,10,23,一般,エフエム山口カップ
徳山,2019,11,20,一般,オラレ徳山開設１１周年記念九州スポーツ杯争奪戦
徳山,2019,11,30,一般,ＢＰ呉開設２７周年記念サンケイスポーツ杯争奪戦
徳山,2019,12,9,一般,オラレ田布施開設３周年記念　ニッカン・コム杯
徳山,2019,12,22,一般,創刊７０周年記念日刊スポーツ杯争奪戦
