venue,year,month,start_day,grade,race_name
徳山,2016,1,3,一般,ＫＲＹ山口放送杯争奪戦
徳山,2016,1,10,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2016,1,22,一般,住信ＳＢＩネット銀行賞
徳山,2016,2,9,一般,徳山モーニングレース開催５周年記念競走
徳山,2016,2,19,一般,山口新聞社杯争奪戦
徳山,2016,2,27,一般,マンスリーＢＯＡＴ　ＲＡＣＥ杯争奪戦
徳山,2016,3,6,一般,楽天銀行杯争奪戦
徳山,2016,3,23,一般,防長交通杯争奪戦
徳山,2016,3,31,一般,すなっちスプリングカップ
徳山,2016,4,12,一般,日刊スポーツ杯争奪戦
徳山,2016,5,7,一般,日本トーター杯争奪戦
徳山,2016,5,15,一般,ＢＯＡＴ　Ｂｏｙカップ
徳山,2016,6,1,一般,スポーツ報知杯争奪戦
徳山,2016,6,9,一般,デイリースポーツ杯争奪戦
徳山,2016,7,26,一般,日本財団会長杯争奪戦
徳山,2016,8,5,一般,サンケイスポーツ杯争奪戦
徳山,2016,8,14,一般,黒神杯争奪戦
徳山,2016,8,24,一般,サッポロビールカップ
徳山,2016,9,4,一般,発刊５０周年記念　九州スポーツ杯争奪戦
徳山,2016,9,14,一般,新東通信杯争奪戦
徳山,2016,9,21,一般,山口マツダ周南東店　ファンタジー杯
徳山,2016,10,3,一般,スポーツニッポン杯争奪戦
徳山,2016,10,23,一般,オラレ徳山開設８周年記念　男女Ｗ優勝戦
徳山,2016,11,2,一般,ニッカン・コム杯　徳山ルーキーシリーズ第７戦
徳山,2016,11,14,一般,日本モーターボート選手会会長賞
徳山,2016,11,26,一般,中日スポーツ杯争奪戦
徳山,2016,12,6,一般,すなっちゃ徳山開設５周年記念　エフエム山口カップ
徳山,2016,12,18,一般,ＢＰ呉開設２４周年記念　ｔｙｓテレビ山口杯争奪戦
徳山,2016,12,27,一般,オラレ田布施開設記念　ＫＲＹ山口放送杯争奪戦
