venue,year,month,start_day,grade,race_name
徳山,2021,2,17,G1,第６４回中国地区選手権競走
徳山,2021,5,14,G1,徳山クラウン争奪戦開設６８周年記念競走
徳山,2021,9,26,G1,第８回ヤングダービー
徳山,2021,1,8,G3,西部記者クラブ杯争奪徳山オールレディース
徳山,2021,5,23,G3,西部記者クラブ杯争奪徳山オールレディース
徳山,2021,1,1,一般,ＫＲＹ山口放送杯争奪戦
徳山,2021,1,21,一般,西日本スポーツ杯争奪戦
徳山,2021,1,30,一般,中日スポーツ杯争奪戦
徳山,2021,2,8,一般,果子乃季バレンタインカップ
徳山,2021,2,28,一般,周南工場夜景カップ〜本命バトル〜
徳山,2021,3,9,一般,山口マツダ・周南東店カップ
徳山,2021,3,21,一般,防長交通杯争奪戦
徳山,2021,3,31,一般,サンケイスポーツ杯争奪戦
徳山,2021,4,13,一般,日刊スポーツ杯争奪戦
徳山,2021,4,28,一般,創刊５５周年記念九州スポーツ杯争奪戦
徳山,2021,5,6,一般,日本モーターボート選手会会長賞
徳山,2021,6,2,一般,サンケイスポーツ杯争奪戦
徳山,2021,6,19,一般,デイリースポーツ杯争奪戦
徳山,2021,6,29,一般,レノファ山口カップ
徳山,2021,7,7,一般,スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１０戦
徳山,2021,7,22,一般,日本財団会長杯争奪戦
徳山,2021,7,31,一般,スポーツ報知杯争奪戦
徳山,2021,8,10,一般,黒神杯争奪戦
徳山,2021,8,18,一般,マクール杯争奪徳山ヴィーナスシリーズ第９戦
徳山,2021,9,7,一般,スポーツニッポン杯争奪戦
徳山,2021,9,18,一般,ニッカン・コム杯争奪戦
徳山,2021,10,11,一般,ＢＴＳ徳山開設１２周年記念ＢＯＡＴＢｏｙＣＵＰ
徳山,2021,11,2,一般,ｙａｂ山口朝日放送杯争奪戦
徳山,2021,11,10,一般,ｔｙｓテレビ山口杯争奪戦
徳山,2021,11,21,一般,ＢＴＳ呉開設２９周年記念山口新聞社杯争奪戦
徳山,2021,12,4,一般,日本トーター杯争奪戦
徳山,2021,12,14,一般,ＢＴＳオラレ田布施開設５周年記念エフエム山口カップ
徳山,2021,12,23,一般,果子乃季クリスマスカップ
