開催日,日目,レース,天気,風向,風速,波高
2016-01-01,4,1,晴,南西,2,2
2016-01-01,4,2,晴,南西,2,2
2016-01-01,4,3,晴,南西,1,1
2016-01-01,4,4,晴,南西,2,2
2016-01-01,4,5,晴,南西,1,1
2016-01-01,4,6,晴,南西,1,1
2016-01-01,4,7,晴,南,1,1
2016-01-01,4,9,晴,南東,2,2
2016-01-01,4,10,晴,南東,2,2
2016-01-01,4,11,晴,南東,2,2
2016-01-01,4,12,晴,南東,3,3
2016-01-02,5,1,晴,南西,1,1
2016-01-02,5,3,晴,南西,1,1
2016-01-02,5,4,晴,南西,1,1
2016-01-02,5,5,曇り,南西,1,1
2016-01-02,5,6,曇り,南,1,1
2016-01-02,5,7,曇り,南,1,1
2016-01-02,5,8,曇り,南,1,1
2016-01-02,5,9,曇り,南東,2,2
2016-01-02,5,10,曇り,南東,1,1
2016-01-02,5,11,曇り,南東,2,2
2016-01-02,5,12,曇り,東,2,2
2016-01-03,6,1,晴,西,1,1
2016-01-03,6,2,晴,北西,1,1
2016-01-03,6,3,晴,北西,1,1
2016-01-03,6,4,晴,北西,1,1
2016-01-03,6,5,晴,東,1,1
2016-01-03,6,6,晴,東,1,1
2016-01-03,6,7,晴,南西,1,1
2016-01-03,6,8,晴,南西,1,1
2016-01-03,6,9,晴,東,1,1
2016-01-03,6,10,晴,南西,1,1
2016-01-03,6,11,晴,南西,1,1
2016-01-03,6,12,晴,南東,1,1
2016-01-09,1,1,晴,南西,2,2
2016-01-09,1,2,晴,西,4,4
2016-01-09,1,3,晴,南西,4,4
2016-01-09,1,4,晴,南西,4,4
2016-01-09,1,5,晴,南西,4,4
2016-01-09,1,6,晴,南西,4,4
2016-01-09,1,7,晴,西,4,4
2016-01-09,1,8,晴,西,5,5
2016-01-09,1,9,晴,西,5,5
2016-01-09,1,10,晴,北西,5,5
2016-01-09,1,11,晴,西,4,4
2016-01-09,1,12,晴,北,5,5
2016-01-10,2,1,晴,南西,3,3
2016-01-10,2,2,晴,南西,3,3
2016-01-10,2,3,晴,南西,3,3
2016-01-10,2,4,晴,南西,3,3
2016-01-10,2,5,晴,南西,3,3
2016-01-10,2,6,晴,南西,3,3
2016-01-10,2,7,晴,南西,3,3
2016-01-10,2,8,晴,南西,3,3
2016-01-10,2,9,晴,西,4,4
2016-01-10,2,10,晴,西,4,4
2016-01-10,2,11,晴,北西,4,4
2016-01-10,2,12,晴,北西,5,5
2016-01-11,3,1,曇り,南西,2,2
2016-01-11,3,2,曇り,南西,2,2
2016-01-11,3,3,曇り,南西,2,2
2016-01-11,3,4,曇り,南西,2,2
2016-01-11,3,5,曇り,南西,2,2
2016-01-11,3,6,曇り,南西,2,2
2016-01-11,3,7,曇り,南西,2,2
2016-01-11,3,8,曇り,南西,2,2
2016-01-11,3,9,曇り,南西,2,2
2016-01-11,3,10,曇り,北西,4,4
2016-01-11,3,11,曇り,西,4,4
2016-01-11,3,12,曇り,北西,3,3
2016-01-12,4,1,曇り,西,1,1
2016-01-12,4,2,曇り,西,1,1
2016-01-12,4,3,晴,西,1,1
2016-01-12,4,4,曇り,北,1,1
2016-01-12,4,5,曇り,北,1,1
2016-01-12,4,6,曇り,北,1,1
2016-01-12,4,7,曇り,北,2,2
2016-01-12,4,9,曇り,北,4,4
2016-01-12,4,10,曇り,北,4,4
2016-01-12,4,11,曇り,北,5,5
2016-01-12,4,12,曇り,北,3,3
2016-01-13,5,1,晴,南西,4,4
2016-01-13,5,2,晴,南西,4,4
2016-01-13,5,4,雨,西,7,7
2016-01-13,5,5,曇り,西,7,7
2016-01-13,5,7,曇り,西,6,6
2016-01-13,5,8,曇り,西,5,5
2016-01-13,5,9,晴,西,6,6
2016-01-13,5,10,晴,西,6,6
2016-01-13,5,11,晴,西,5,5
2016-01-13,5,12,晴,西,4,4
2016-01-14,6,1,雨,西,3,3
2016-01-14,6,2,曇り,西,3,3
2016-01-14,6,3,雨,西,4,4
2016-01-14,6,4,曇り,西,4,4
2016-01-14,6,5,曇り,西,4,4
2016-01-14,6,6,曇り,北西,4,4
2016-01-14,6,7,曇り,北西,5,5
2016-01-14,6,8,曇り,北西,5,5
2016-01-14,6,9,曇り,北西,5,5
2016-01-14,6,10,晴,北西,4,4
2016-01-14,6,11,曇り,北西,4,4
2016-01-14,6,12,晴,北西,5,5
2016-01-21,1,1,曇り,南西,1,1
2016-01-21,1,2,曇り,南,1,1
2016-01-21,1,3,曇り,南西,1,1
