レース場,タイプ,季節,艇,1着率(%),2着率(%),3着率(%),2連帯率(%),3連帯率(%)
びわこ,全体着率,-,1,49.85,18.92,9.68,,
びわこ,全体着率,-,2,16.7,25.44,17.69,,
びわこ,全体着率,-,3,13.57,19.97,20.62,,
びわこ,全体着率,-,4,11.63,17.05,20.16,,
びわこ,全体着率,-,5,6.24,12.02,17.37,,
びわこ,全体着率,-,6,3.41,7.98,15.88,,
びわこ,全体連帯率,-,1,,,,68.77,78.45
びわこ,全体連帯率,-,2,,,,42.13,59.83
びわこ,全体連帯率,-,3,,,,33.54,54.16
びわこ,全体連帯率,-,4,,,,28.68,48.84
びわこ,全体連帯率,-,5,,,,18.26,35.63
びわこ,全体連帯率,-,6,,,,11.39,27.26
びわこ,季節別着率,春(3-5月),1,46.35,19.81,10.86,,
びわこ,季節別着率,春(3-5月),2,17.68,24.65,18.15,,
びわこ,季節別着率,春(3-5月),3,14.47,19.9,19.68,,
びわこ,季節別着率,春(3-5月),4,12.83,16.54,20.26,,
びわこ,季節別着率,春(3-5月),5,6.71,12.15,17.27,,
びわこ,季節別着率,春(3-5月),6,3.52,8.43,15.3,,
びわこ,季節別着率,夏(6-8月),1,48.52,18.51,10.2,,
びわこ,季節別着率,夏(6-8月),2,16.36,24.59,17.15,,
びわこ,季節別着率,夏(6-8月),3,13.98,19.7,19.86,,
びわこ,季節別着率,夏(6-8月),4,12.07,17.46,19.98,,
びわこ,季節別着率,夏(6-8月),5,6.43,12.82,17.47,,
びわこ,季節別着率,夏(6-8月),6,3.68,8.01,16.48,,
びわこ,季節別着率,秋(9-11月),1,52.29,18.41,9.11,,
びわこ,季節別着率,秋(9-11月),2,16.0,26.3,18.02,,
びわこ,季節別着率,秋(9-11月),3,13.17,20.64,20.62,,
びわこ,季節別着率,秋(9-11月),4,10.7,16.92,20.21,,
びわこ,季節別着率,秋(9-11月),5,5.94,11.36,17.48,,
びわこ,季節別着率,秋(9-11月),6,3.33,7.71,15.9,,
びわこ,季節別着率,冬(12-2月),1,52.53,18.98,8.45,,
びわこ,季節別着率,冬(12-2月),2,16.78,26.36,17.52,,
びわこ,季節別着率,冬(12-2月),3,12.57,19.69,22.46,,
びわこ,季節別着率,冬(12-2月),4,10.84,17.24,20.21,,
びわこ,季節別着率,冬(12-2月),5,5.84,11.63,17.25,,
びわこ,季節別着率,冬(12-2月),6,3.06,7.73,15.75,,
びわこ,季節別連帯率,春(3-5月),1,,,,66.16,77.02
びわこ,季節別連帯率,春(3-5月),2,,,,42.32,60.48
びわこ,季節別連帯率,春(3-5月),3,,,,34.37,54.05
びわこ,季節別連帯率,春(3-5月),4,,,,29.37,49.63
びわこ,季節別連帯率,春(3-5月),5,,,,18.87,36.14
びわこ,季節別連帯率,春(3-5月),6,,,,11.96,27.25
びわこ,季節別連帯率,夏(6-8月),1,,,,67.03,77.23
びわこ,季節別連帯率,夏(6-8月),2,,,,40.94,58.09
びわこ,季節別連帯率,夏(6-8月),3,,,,33.68,53.54
びわこ,季節別連帯率,夏(6-8月),4,,,,29.53,49.51
びわこ,季節別連帯率,夏(6-8月),5,,,,19.25,36.72
びわこ,季節別連帯率,夏(6-8月),6,,,,11.69,28.17
びわこ,季節別連帯率,秋(9-11月),1,,,,70.7,79.81
びわこ,季節別連帯率,秋(9-11月),2,,,,42.3,60.31
びわこ,季節別連帯率,秋(9-11月),3,,,,33.81,54.43
びわこ,季節別連帯率,秋(9-11月),4,,,,27.62,47.83
びわこ,季節別連帯率,秋(9-11月),5,,,,17.31,34.79
びわこ,季節別連帯率,秋(9-11月),6,,,,11.04,26.94
びわこ,季節別連帯率,冬(12-2月),1,,,,71.51,79.96
びわこ,季節別連帯率,冬(12-2月),2,,,,43.14,60.66
びわこ,季節別連帯率,冬(12-2月),3,,,,32.26,54.72
びわこ,季節別連帯率,冬(12-2月),4,,,,28.08,48.29
びわこ,季節別連帯率,冬(12-2月),5,,,,17.48,34.73
びわこ,季節別連帯率,冬(12-2月),6,,,,10.8,26.55
芦屋,全体着率,-,1,60.38,17.07,8.06,,
芦屋,全体着率,-,2,12.14,24.73,18.93,,
芦屋,全体着率,-,3,10.81,22.64,20.8,,
芦屋,全体着率,-,4,10.09,17.91,20.33,,
芦屋,全体着率,-,5,5.27,12.11,18.43,,
芦屋,全体着率,-,6,2.59,7.08,15.03,,
芦屋,全体連帯率,-,1,,,,77.45,85.51
芦屋,全体連帯率,-,2,,,,36.88,55.8
芦屋,全体連帯率,-,3,,,,33.45,54.25
芦屋,全体連帯率,-,4,,,,28.0,48.33
芦屋,全体連帯率,-,5,,,,17.38,35.81
芦屋,全体連帯率,-,6,,,,9.67,24.7
芦屋,季節別着率,春(3-5月),1,60.69,17.09,7.99,,
芦屋,季節別着率,春(3-5月),2,12.59,25.1,18.92,,
芦屋,季節別着率,春(3-5月),3,10.81,23.52,21.08,,
芦屋,季節別着率,春(3-5月),4,9.79,16.73,19.96,,
芦屋,季節別着率,春(3-5月),5,5.18,12.37,18.3,,
芦屋,季節別着率,春(3-5月),6,2.26,6.8,15.39,,
芦屋,季節別着率,夏(6-8月),1,60.45,17.41,7.94,,
芦屋,季節別着率,夏(6-8月),2,11.6,23.61,18.82,,
芦屋,季節別着率,夏(6-8月),3,10.24,21.96,21.2,,
芦屋,季節別着率,夏(6-8月),4,10.64,18.87,19.63,,
芦屋,季節別着率,夏(6-8月),5,5.69,12.37,18.87,,
芦屋,季節別着率,夏(6-8月),6,2.54,7.09,14.89,,
芦屋,季節別着率,秋(9-11月),1,60.99,16.1,7.82,,
芦屋,季節別着率,秋(9-11月),2,11.36,24.72,19.14,,
芦屋,季節別着率,秋(9-11月),3,10.98,23.29,20.36,,
芦屋,季節別着率,秋(9-11月),4,9.64,18.27,20.72,,
芦屋,季節別着率,秋(9-11月),5,5.47,11.66,18.58,,
芦屋,季節別着率,秋(9-11月),6,2.72,7.44,14.95,,
芦屋,季節別着率,冬(12-2月),1,59.42,17.63,8.5,,
芦屋,季節別着率,冬(12-2月),2,13.0,25.5,18.84,,
芦屋,季節別着率,冬(12-2月),3,11.2,21.8,20.55,,
芦屋,季節別着率,冬(12-2月),4,10.28,17.8,21.07,,
芦屋,季節別着率,冬(12-2月),5,4.73,11.99,17.98,,
芦屋,季節別着率,冬(12-2月),6,2.85,7.01,14.88,,
芦屋,季節別連帯率,春(3-5月),1,,,,77.77,85.77
芦屋,季節別連帯率,春(3-5月),2,,,,37.69,56.61
芦屋,季節別連帯率,春(3-5月),3,,,,34.33,55.41
芦屋,季節別連帯率,春(3-5月),4,,,,26.51,46.47
芦屋,季節別連帯率,春(3-5月),5,,,,17.54,35.84
芦屋,季節別連帯率,春(3-5月),6,,,,9.05,24.44
芦屋,季節別連帯率,夏(6-8月),1,,,,77.86,85.79
芦屋,季節別連帯率,夏(6-8月),2,,,,35.21,54.03
芦屋,季節別連帯率,夏(6-8月),3,,,,32.21,53.41
芦屋,季節別連帯率,夏(6-8月),4,,,,29.5,49.13
芦屋,季節別連帯率,夏(6-8月),5,,,,18.06,36.94
芦屋,季節別連帯率,夏(6-8月),6,,,,9.62,24.51
芦屋,季節別連帯率,秋(9-11月),1,,,,77.09,84.9
芦屋,季節別連帯率,秋(9-11月),2,,,,36.08,55.22
芦屋,季節別連帯率,秋(9-11月),3,,,,34.27,54.63
芦屋,季節別連帯率,秋(9-11月),4,,,,27.91,48.64
芦屋,季節別連帯率,秋(9-11月),5,,,,17.13,35.71
芦屋,季節別連帯率,秋(9-11月),6,,,,10.17,25.12
芦屋,季節別連帯率,冬(12-2月),1,,,,77.05,85.55
芦屋,季節別連帯率,冬(12-2月),2,,,,38.5,57.34
芦屋,季節別連帯率,冬(12-2月),3,,,,33.0,53.55
芦屋,季節別連帯率,冬(12-2月),4,,,,28.08,49.15
芦屋,季節別連帯率,冬(12-2月),5,,,,16.73,34.71
芦屋,季節別連帯率,冬(12-2月),6,,,,9.86,24.75
下関,全体着率,-,1,58.06,17.67,8.38,,
下関,全体着率,-,2,13.44,25.09,19.25,,
下関,全体着率,-,3,11.07,21.83,20.93,,
下関,全体着率,-,4,9.97,16.84,20.59,,
下関,全体着率,-,5,5.04,10.88,16.25,,
下関,全体着率,-,6,3.66,9.0,15.93,,
下関,全体連帯率,-,1,,,,75.74,84.12
下関,全体連帯率,-,2,,,,38.54,57.79
下関,全体連帯率,-,3,,,,32.9,53.83
下関,全体連帯率,-,4,,,,26.81,47.4
下関,全体連帯率,-,5,,,,15.92,32.17
下関,全体連帯率,-,6,,,,12.66,28.59
下関,季節別着率,春(3-5月),1,58.55,18.8,7.89,,
下関,季節別着率,春(3-5月),2,14.19,25.6,19.41,,
下関,季節別着率,春(3-5月),3,11.23,21.89,21.46,,
下関,季節別着率,春(3-5月),4,8.88,16.52,21.75,,
下関,季節別着率,春(3-5月),5,4.59,10.17,15.38,,
下関,季節別着率,春(3-5月),6,3.84,8.37,15.42,,
下関,季節別着率,夏(6-8月),1,56.09,17.9,8.66,,
下関,季節別着率,夏(6-8月),2,13.65,23.77,18.72,,
下関,季節別着率,夏(6-8月),3,11.35,21.28,20.68,,
下関,季節別着率,夏(6-8月),4,10.73,17.29,19.47,,
下関,季節別着率,夏(6-8月),5,5.4,11.53,17.1,,
下関,季節別着率,夏(6-8月),6,3.83,9.32,16.45,,
下関,季節別着率,秋(9-11月),1,56.87,17.88,9.16,,
下関,季節別着率,秋(9-11月),2,13.08,24.68,18.98,,
下関,季節別着率,秋(9-11月),3,10.99,21.68,20.68,,
下関,季節別着率,秋(9-11月),4,11.53,16.95,19.66,,
下関,季節別着率,秋(9-11月),5,5.22,11.13,16.52,,
下関,季節別着率,秋(9-11月),6,3.62,9.0,16.34,,
下関,季節別着率,冬(12-2月),1,60.55,16.19,7.92,,
下関,季節別着率,冬(12-2月),2,12.83,26.27,19.85,,
下関,季節別着率,冬(12-2月),3,10.71,22.46,20.86,,
下関,季節別着率,冬(12-2月),4,8.97,16.61,21.35,,
下関,季節別着率,冬(12-2月),5,4.98,10.71,16.01,,
下関,季節別着率,冬(12-2月),6,3.35,9.3,15.57,,
下関,季節別連帯率,春(3-5月),1,,,,77.34,85.23
下関,季節別連帯率,春(3-5月),2,,,,39.79,59.2
下関,季節別連帯率,春(3-5月),3,,,,33.11,54.57
下関,季節別連帯率,春(3-5月),4,,,,25.4,47.15
下関,季節別連帯率,春(3-5月),5,,,,14.76,30.14
下関,季節別連帯率,春(3-5月),6,,,,12.2,27.62
下関,季節別連帯率,夏(6-8月),1,,,,74.0,82.66
下関,季節別連帯率,夏(6-8月),2,,,,37.42,56.14
下関,季節別連帯率,夏(6-8月),3,,,,32.63,53.32
下関,季節別連帯率,夏(6-8月),4,,,,28.01,47.48
下関,季節別連帯率,夏(6-8月),5,,,,16.94,34.04
下関,季節別連帯率,夏(6-8月),6,,,,13.15,29.59
