開催日,日目,レース,着,艇,天気,風向,風速,波高
2025-01-01,3,1,1,1,晴,南西,3,3
2025-01-01,3,1,2,2,晴,南西,3,3
2025-01-01,3,1,3,4,晴,南西,3,3
2025-01-01,3,1,4,3,晴,南西,3,3
2025-01-01,3,1,5,6,晴,南西,3,3
2025-01-01,3,1,6,5,晴,南西,3,3
2025-01-01,3,3,1,1,晴,南西,3,3
2025-01-01,3,3,2,2,晴,南西,3,3
2025-01-01,3,3,3,3,晴,南西,3,3
2025-01-01,3,3,4,4,晴,南西,3,3
2025-01-01,3,3,5,5,晴,南西,3,3
2025-01-01,3,3,6,6,晴,南西,3,3
2025-01-01,3,4,1,1,晴,南西,3,3
2025-01-01,3,4,2,5,晴,南西,3,3
2025-01-01,3,4,3,6,晴,南西,3,3
2025-01-01,3,4,4,4,晴,南西,3,3
2025-01-01,3,4,5,2,晴,南西,3,3
2025-01-01,3,4,6,3,晴,南西,3,3
2025-01-01,3,5,1,1,晴,南西,2,2
2025-01-01,3,5,2,4,晴,南西,2,2
2025-01-01,3,5,3,3,晴,南西,2,2
2025-01-01,3,5,4,6,晴,南西,2,2
2025-01-01,3,5,5,2,晴,南西,2,2
2025-01-01,3,5,6,5,晴,南西,2,2
2025-01-01,3,6,1,1,晴,南西,2,2
2025-01-01,3,6,2,4,晴,南西,2,2
2025-01-01,3,6,3,6,晴,南西,2,2
2025-01-01,3,6,4,3,晴,南西,2,2
2025-01-01,3,6,5,5,晴,南西,2,2
2025-01-01,3,6,6,2,晴,南西,2,2
2025-01-01,3,7,1,2,晴,南,1,1
2025-01-01,3,7,2,5,晴,南,1,1
2025-01-01,3,7,3,3,晴,南,1,1
2025-01-01,3,7,4,1,晴,南,1,1
2025-01-01,3,7,5,6,晴,南,1,1
2025-01-01,3,7,6,4,晴,南,1,1
2025-01-01,3,8,1,1,晴,南東,3,3
2025-01-01,3,8,2,5,晴,南東,3,3
2025-01-01,3,8,3,3,晴,南東,3,3
2025-01-01,3,8,4,2,晴,南東,3,3
2025-01-01,3,8,5,4,晴,南東,3,3
2025-01-01,3,8,6,6,晴,南東,3,3
2025-01-01,3,9,1,2,晴,南,2,2
2025-01-01,3,9,2,1,晴,南,2,2
2025-01-01,3,9,3,4,晴,南,2,2
2025-01-01,3,9,4,3,晴,南,2,2
2025-01-01,3,9,5,5,晴,南,2,2
2025-01-01,3,9,6,6,晴,南,2,2
2025-01-01,3,10,1,1,晴,南東,1,1
2025-01-01,3,10,2,2,晴,南東,1,1
2025-01-01,3,10,3,3,晴,南東,1,1
2025-01-01,3,10,4,5,晴,南東,1,1
2025-01-01,3,10,5,6,晴,南東,1,1
2025-01-01,3,10,6,4,晴,南東,1,1
2025-01-01,3,12,1,2,晴,南東,2,2
2025-01-01,3,12,2,1,晴,南東,2,2
2025-01-01,3,12,3,3,晴,南東,2,2
2025-01-01,3,12,4,5,晴,南東,2,2
2025-01-01,3,12,5,4,晴,南東,2,2
2025-01-01,3,12,6,6,晴,南東,2,2
2025-01-02,4,1,1,1,晴,南西,2,2
2025-01-02,4,1,2,2,晴,南西,2,2
2025-01-02,4,1,3,3,晴,南西,2,2
2025-01-02,4,1,4,5,晴,南西,2,2
2025-01-02,4,1,5,4,晴,南西,2,2
2025-01-02,4,1,6,6,晴,南西,2,2
2025-01-02,4,2,1,2,晴,南西,2,2
2025-01-02,4,2,2,1,晴,南西,2,2
