登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
2014,高　塚　　清　一,B1,164,54,3.8,18.2,4.71,25.6,44.8,4.42,23.9,39.8,3.7,14.6,11.0,3,12,82,0,0,0.19,15,46.6,0.15,2.4,14,7.1,0.21,4.2,10,20.0,0.21,4.2,15,20.0,0.19,3.3,17,11.7,0.19,3.5,11,0.0,0.24,5.0,1,6,1,4,2,0,0,1,3,4,0,5,0,2,0,2,4,2,2,1,2,3,5,2,0,2,2,3,6,4,0,0,1,3,2,5,2024-05-01,2024-10-31
2538,高　橋　　二　朗,B1,163,53,3.96,19.1,4.34,18.4,37.4,4.22,17.1,36.2,4.5,14.6,12.4,4,13,89,0,0,0.19,13,38.4,0.21,4.2,19,21.0,0.21,3.9,15,13.3,0.2,3.4,16,12.5,0.17,3.6,17,17.6,0.19,3.6,8,12.5,0.18,4.0,2,3,1,3,4,0,1,3,2,4,6,3,0,2,4,3,3,3,0,2,2,3,5,3,1,2,2,5,4,2,0,1,0,2,2,3,2024-05-01,2024-10-31
2878,富　山　　弘　幸,A2,163,57,5.6,36.0,5.77,37.5,59.0,5.68,35.4,57.8,12.5,23.5,20.6,17,32,136,1,0,0.17,28,67.8,0.18,3.7,25,44.0,0.16,3.6,25,28.0,0.17,3.8,24,33.3,0.17,3.6,19,15.7,0.18,4.1,15,6.6,0.19,4.5,9,10,5,2,0,2,3,8,5,7,2,0,1,6,7,4,6,1,2,6,6,5,5,0,2,1,2,7,5,1,0,1,3,4,3,4,2024-05-01,2024-10-31
3024,西　島　　義　則,A1,166,58,6.85,58.0,6.97,55.9,70.6,6.89,54.8,69.6,30.9,27.2,11.7,50,44,162,7,1,0.16,61,65.5,0.16,3.0,91,52.7,0.16,2.9,6,66.6,0.13,2.7,2,50.0,0.18,3.0,1,100.0,0.19,5.0,1,0.0,0.11,3.0,29,11,7,9,3,2,18,30,10,9,16,7,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2024-05-01,2024-10-31
3054,北　川　　幸　典,B1,163,57,4.76,28.0,5.96,43.1,59.7,5.74,40.7,58.2,20.0,8.0,18.0,10,4,50,0,0,0.18,12,83.3,0.17,3.3,5,40.0,0.21,4.0,7,14.2,0.19,4.1,8,12.5,0.15,3.9,8,0.0,0.18,4.6,9,0.0,0.19,4.6,7,3,0,1,0,1,2,0,2,1,0,0,0,1,3,0,2,1,1,0,1,2,3,1,0,0,1,2,2,2,0,0,2,0,2,5,2024-05-01,2024-10-31
3070,山　室　　展　弘,B1,167,53,4.89,29.6,6.29,47.4,65.1,5.86,43.2,60.6,16.7,13.0,18.5,9,7,54,1,0,0.17,10,70.0,0.14,3.1,21,33.3,0.18,3.7,11,9.0,0.19,4.5,10,10.0,0.15,3.6,2,0.0,0.13,4.0,0,0.0,0.0,0.0,5,2,0,1,0,1,3,4,2,2,6,4,1,0,2,2,2,4,0,1,6,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2024-05-01,2024-10-31
3072,西　田　　　　靖,B1,160,56,4.52,24.2,5.12,33.4,47.7,4.78,29.0,42.6,13.1,11.1,16.2,13,11,99,0,0,0.15,20,50.0,0.17,2.6,71,19.7,0.14,3.0,7,0.0,0.19,3.3,0,0.0,0.0,0.0,1,0.0,0.19,5.0,0,0.0,0.0,0.0,6,4,1,5,2,2,7,7,15,10,15,16,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-01,2024-10-31
3075,中　村　　裕　将,B1,164,54,4.42,24.4,5.56,39.1,53.0,5.24,34.2,49.6,9.2,15.3,11.2,9,15,98,0,0,0.15,15,66.6,0.14,2.4,18,38.8,0.17,3.7,17,17.6,0.16,3.8,19,21.0,0.13,3.1,15,0.0,0.16,3.7,14,0.0,0.17,3.9,4,6,2,2,1,0,2,5,2,5,1,3,1,2,1,3,6,3,2,2,3,5,5,2,0,0,3,8,0,4,0,0,0,2,7,5,2024-05-01,2024-10-31
3081,岡　本　　慎　治,B1,160,51,4.29,22.7,5.57,38.2,55.5,5.21,32.4,50.8,6.3,16.5,20.3,5,13,79,0,0,0.17,13,61.5,0.16,3.0,12,25.0,0.15,3.2,13,23.0,0.15,3.0,16,18.7,0.18,3.5,16,6.2,0.17,3.4,8,0.0,0.21,5.1,5,3,1,1,0,2,0,3,2,0,6,1,0,3,4,2,2,2,0,3,5,3,4,1,0,1,2,2,6,4,0,0,2,1,2,3,2024-05-01,2024-10-31
3105,内　山　　文　典,B1,164,54,4.84,28.5,5.27,32.5,52.2,5.29,32.5,51.8,8.6,20.0,18.1,9,21,105,1,0,0.17,18,66.6,0.17,3.2,18,22.2,0.18,3.8,16,50.0,0.17,3.8,16,6.2,0.15,3.4,15,6.6,0.18,3.6,22,18.1,0.18,4.3,6,6,2,1,1,2,0,4,4,4,2,4,2,6,2,2,2,2,1,0,4,4,3,4,0,1,5,4,2,2,0,4,2,6,6,4,2024-05-01,2024-10-31
