開催日,日目,レース,着,艇,登番,選手名,モーター,ボート,展示,天気,風向,風速,波高,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数
2021-07-29,5,1,1,1,4220,深川和仁,49,15,6.73,晴,西,3,3,A2,164.0,55.0,5.64,40.0,5.72,39.6,56.9,5.73,39.7,58.2,24.5,15.5,17.3,27.0,17.0,110.0,1.0,0.0,0.15,23.0,86.9,0.16,2.8,21.0,47.6,0.14,2.8,17.0,29.4,0.15,3.2,15.0,40.0,0.12,2.3,18.0,11.1,0.15,3.2,16.0,6.2,0.18,4.0,19.0,1.0,1.0,0.0,1.0,1.0,4.0,6.0,2.0,0.0,6.0,3.0,0.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0,4.0,5.0,1.0,6.0,0.0,1.0,4.0,2.0,4.0,5.0
2021-07-29,5,1,2,3,3741,松尾基成,3,48,6.85,晴,西,3,3,B1,163.0,55.0,4.81,28.7,4.55,24.6,40.2,4.4,23.0,38.1,11.7,17.0,12.8,11.0,16.0,94.0,0.0,0.0,0.18,12.0,50.0,0.19,3.9,16.0,50.0,0.16,3.6,20.0,40.0,0.18,2.8,22.0,9.0,0.19,3.6,10.0,20.0,0.16,4.0,14.0,7.1,0.21,5.5,4.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,2.0,2.0,0.0,2.0,3.0,8.0,7.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,5.0
2021-07-29,5,1,3,2,4390,松本弓雄,38,46,6.83,晴,西,3,3,B1,169.0,54.0,4.39,20.6,4.58,25.2,42.2,4.71,27.4,43.9,8.2,12.4,19.6,8.0,12.0,97.0,0.0,0.0,0.17,13.0,30.7,0.2,4.2,16.0,25.0,0.19,3.7,15.0,33.3,0.18,3.8,16.0,12.5,0.17,3.0,22.0,13.6,0.14,3.4,15.0,13.3,0.17,4.3,3.0,1.0,3.0,3.0,1.0,2.0,0.0,4.0,5.0,2.0,5.0,0.0,3.0,2.0,1.0,2.0,3.0,4.0,0.0,2.0,4.0,2.0,6.0,2.0,2.0,1.0,3.0,5.0,7.0,4.0,0.0,2.0,3.0,4.0,3.0,2.0
2021-07-29,5,1,4,5,5086,本村大,61,21,6.82,晴,西,3,3,B2,173.0,56.0,2.41,4.0,2.24,4.3,12.2,2.24,4.3,12.2,0.0,4.1,8.2,0.0,2.0,49.0,0.0,0.0,0.23,2.0,0.0,0.17,3.0,3.0,0.0,0.2,4.3,1.0,0.0,0.09,2.0,6.0,0.0,0.13,2.5,7.0,0.0,0.23,4.0,30.0,6.6,0.27,5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,5.0,6.0,15.0
2021-07-29,5,1,5,4,5027,重冨勇哉,34,2,6.81,晴,西,3,3,B2,164.0,56.0,2.73,4.1,2.6,8.2,14.8,2.6,8.2,14.8,2.1,2.1,18.8,1.0,1.0,48.0,0.0,0.0,0.19,2.0,100.0,0.18,2.5,8.0,0.0,0.13,2.3,7.0,0.0,0.17,3.7,5.0,0.0,0.18,4.3,10.0,0.0,0.2,3.8,16.0,0.0,0.23,4.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,3.0,1.0,5.0,6.0
2021-07-29,5,1,6,6,3674,岸恵子,40,58,6.83,晴,西,3,3,B1,157.0,48.0,5.09,37.0,5.96,43.2,58.7,5.83,41.4,57.5,16.0,21.0,14.0,16.0,21.0,100.0,1.0,0.0,0.15,16.0,68.7,0.14,2.3,15.0,20.0,0.17,3.0,23.0,47.8,0.15,2.9,20.0,45.0,0.17,3.0,14.0,21.4,0.13,3.0,12.0,0.0,0.15,2.4,7.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,8.0,2.0,1.0,2.0,7.0,4.0,5.0,3.0,3.0,1.0,4.0,0.0,3.0,2.0,3.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,7.0
2021-07-29,5,2,1,1,3660,長谷川親王,25,24,6.71,晴,西,2,2,B1,169.0,61.0,3.78,13.9,4.14,17.8,35.6,4.07,16.8,34.8,5.4,8.6,16.1,5.0,8.0,93.0,0.0,0.0,0.18,13.0,46.1,0.17,2.8,18.0,16.6,0.22,3.8,20.0,10.0,0.16,3.3,15.0,6.6,0.17,2.7,15.0,6.6,0.17,3.8,12.0,0.0,0.22,4.4,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0,4.0,3.0,1.0,1.0,4.0,8.0,4.0,2.0,0.0,1.0,2.0,3.0,7.0,2.0,0.0,1.0,1.0,2.0,3.0,8.0,0.0,0.0,0.0,2.0,4.0,6.0
2021-07-29,5,2,2,4,4429,豊田泰洋,45,54,6.78,晴,西,2,2,B1,168.0,61.0,3.92,20.5,4.21,22.7,36.3,3.98,20.8,33.2,5.5,15.1,13.7,4.0,11.0,73.0,0.0,0.0,0.21,10.0,50.0,0.2,3.4,13.0,30.7,0.19,4.2,11.0,18.1,0.2,3.3,14.0,28.5,0.17,3.9,18.0,0.0,0.23,4.8,7.0,0.0,0.26,5.3,3.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0
2021-07-29,5,2,3,5,3682,切田潤二,1,57,6.79,晴,西,2,2,B1,161.0,50.0,4.04,16.4,4.21,17.8,35.8,4.15,15.5,35.3,4.1,12.3,19.2,3.0,9.0,73.0,0.0,0.0,0.18,10.0,30.0,0.18,4.0,16.0,6.2,0.17,4.3,11.0,9.0,0.17,3.0,17.0,29.4,0.17,3.5,15.0,6.6,0.19,4.8,4.0,25.0,0.23,4.8,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,6.0,2.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-07-29,5,2,4,2,3797,岩井繁,54,10,6.78,晴,西,2,2,B1,169.0,62.0,4.26,21.7,4.7,25.6,43.2,4.42,23.3,39.1,5.0,16.8,14.9,5.0,17.0,101.0,0.0,0.0,0.18,15.0,53.3,0.15,3.1,16.0,18.7,0.19,4.5,16.0,25.0,0.19,4.0,19.0,15.7,0.19,4.4,20.0,20.0,0.19,4.2,15.0,0.0,0.18,4.5,3.0,5.0,1.0,4.0,2.0,0.0,1.0,2.0,4.0,3.0,4.0,2.0,0.0,4.0,4.0,3.0,3.0,2.0,0.0,3.0,2.0,5.0,4.0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,6.0,6.0
