開催日,日目,レース,着,艇,天気,風向,風速,波高
2014-01-01,3,2,1,1,晴,西,5,5
2014-01-01,3,2,2,4,晴,西,5,5
2014-01-01,3,2,3,5,晴,西,5,5
2014-01-01,3,2,4,2,晴,西,5,5
2014-01-01,3,2,5,3,晴,西,5,5
2014-01-01,3,2,6,6,晴,西,5,5
2014-01-01,3,3,1,1,晴,南西,4,4
2014-01-01,3,3,2,2,晴,南西,4,4
2014-01-01,3,3,3,3,晴,南西,4,4
2014-01-01,3,3,4,5,晴,南西,4,4
2014-01-01,3,3,5,6,晴,南西,4,4
2014-01-01,3,3,6,4,晴,南西,4,4
2014-01-01,3,4,1,5,晴,南西,4,4
2014-01-01,3,4,2,3,晴,南西,4,4
2014-01-01,3,4,3,6,晴,南西,4,4
2014-01-01,3,4,4,1,晴,南西,4,4
2014-01-01,3,4,5,4,晴,南西,4,4
2014-01-01,3,4,6,2,晴,南西,4,4
2014-01-01,3,5,1,1,晴,南西,4,4
2014-01-01,3,5,2,3,晴,南西,4,4
2014-01-01,3,5,3,4,晴,南西,4,4
2014-01-01,3,5,4,2,晴,南西,4,4
2014-01-01,3,5,5,5,晴,南西,4,4
2014-01-01,3,5,6,6,晴,南西,4,4
2014-01-01,3,6,1,1,晴,南西,4,4
2014-01-01,3,6,2,4,晴,南西,4,4
2014-01-01,3,6,3,5,晴,南西,4,4
2014-01-01,3,6,4,2,晴,南西,4,4
2014-01-01,3,6,5,3,晴,南西,4,4
2014-01-01,3,6,6,6,晴,南西,4,4
2014-01-01,3,7,1,3,晴,南西,4,4
2014-01-01,3,7,2,1,晴,南西,4,4
2014-01-01,3,7,3,6,晴,南西,4,4
2014-01-01,3,7,4,2,晴,南西,4,4
2014-01-01,3,7,5,4,晴,南西,4,4
2014-01-01,3,7,6,5,晴,南西,4,4
2014-01-01,3,8,1,2,晴,西,4,4
2014-01-01,3,8,2,1,晴,西,4,4
2014-01-01,3,8,3,5,晴,西,4,4
2014-01-01,3,8,4,4,晴,西,4,4
2014-01-01,3,8,5,3,晴,西,4,4
2014-01-01,3,8,6,6,晴,西,4,4
2014-01-01,3,9,1,3,晴,西,5,5
2014-01-01,3,9,2,1,晴,西,5,5
2014-01-01,3,9,3,2,晴,西,5,5
2014-01-01,3,9,4,5,晴,西,5,5
2014-01-01,3,9,5,6,晴,西,5,5
2014-01-01,3,9,6,4,晴,西,5,5
