開催日,日目,レース,艇,登番,選手名,級,身長,体重,勝率,2連率,3連率,当地勝率,当地2連率,当地3連率,モーター勝率,モーター2連率,モーター3連率,ボート勝率,ボート2連率,ボート3連率,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至
2022-01-01,3,2,2,3910,松下知幸,B1,164,53,4.7,21.2,38.8,4.52,23.4,36.9,4.17,25.0,37.5,5.2,33.0,49.5,0.19,17,58.8,0.18,2.9,20,30.0,0.18,3.5,18,27.7,0.17,3.7,17,5.8,0.19,3.9,20,5.0,0.21,4.5,14,0.0,0.18,4.5,2021-07-01,2021-12-28
2022-01-01,3,2,1,4010,越智照浩,B1,166,58,4.37,22.2,42.0,4.5,23.4,43.2,5.41,35.3,47.1,5.04,31.6,43.9,0.19,13,38.4,0.18,2.8,17,17.6,0.2,3.8,15,20.0,0.15,2.7,11,18.1,0.16,3.0,19,5.2,0.2,4.0,20,0.0,0.22,4.8,2021-07-01,2021-12-28
2022-01-01,3,2,5,4821,妻鳥晋也,B1,171,58,5.75,38.0,60.2,5.8,37.5,56.5,6.4,40.0,65.7,5.35,33.0,50.5,0.2,14,71.4,0.21,4.3,14,21.4,0.19,4.2,23,52.1,0.2,3.6,20,20.0,0.19,3.9,17,0.0,0.21,4.5,18,5.5,0.17,4.4,2021-07-01,2021-12-28
2022-01-01,3,2,4,3568,木村光宏,A2,162,55,5.6,39.8,55.3,5.75,41.3,58.0,6.07,40.0,53.3,6.03,40.9,62.5,0.16,30,73.3,0.14,2.5,25,44.0,0.16,3.3,28,21.4,0.15,3.1,29,31.0,0.16,3.6,14,28.5,0.18,3.8,7,14.2,0.22,3.7,2021-07-01,2021-12-28
2022-01-01,3,2,3,4529,嶋義信,B1,166,56,4.66,22.1,46.8,4.69,27.2,44.4,6.74,51.9,74.1,4.59,25.3,43.4,0.16,15,60.0,0.17,3.0,14,35.7,0.15,2.6,19,26.3,0.12,2.1,17,11.7,0.17,3.3,22,18.1,0.16,3.7,15,13.3,0.21,3.9,2021-07-01,2021-12-28
2022-01-01,3,2,6,3660,長谷川親王,B1,170,60,3.93,12.9,34.7,4.1,13.4,35.1,4.88,28.1,46.9,6.03,41.8,61.2,0.2,20,40.0,0.2,4.4,21,4.7,0.19,4.7,27,7.4,0.18,3.7,26,11.5,0.2,3.7,20,10.0,0.19,4.1,16,0.0,0.23,5.3,2021-07-01,2021-12-28
2022-01-01,3,3,1,3710,吉永泰弘,B1,166,57,4.96,29.9,46.2,4.38,21.8,39.1,6.48,48.5,63.6,4.95,30.7,40.6,0.17,23,60.8,0.15,2.7,18,38.8,0.15,2.6,22,31.8,0.15,3.1,24,29.1,0.19,3.5,17,5.8,0.19,4.2,17,0.0,0.21,4.4,2021-07-01,2021-12-28
2022-01-01,3,3,2,3837,秋山広一,A2,167,52,6.4,50.8,67.5,6.77,47.5,70.8,5.53,26.5,55.9,4.37,20.6,38.1,0.15,28,82.1,0.14,2.6,20,60.0,0.13,2.8,16,25.0,0.16,2.5,18,44.4,0.15,3.3,19,10.5,0.18,3.4,18,0.0,0.17,4.1,2021-07-01,2021-12-28
2022-01-01,3,3,3,3832,下田哲也,B1,167,54,4.87,22.9,46.7,5.1,26.6,51.4,2.05,4.8,14.3,6.33,43.3,66.0,0.17,17,70.5,0.14,2.5,20,40.0,0.16,3.5,30,20.0,0.15,3.4,22,9.0,0.18,4.2,18,16.6,0.19,4.1,19,5.2,0.18,4.5,2021-07-01,2021-12-28
2022-01-01,3,3,6,3701,大西隆洋,B1,170,61,4.59,23.5,44.7,4.29,25.2,36.5,6.0,41.0,61.5,5.54,34.0,55.7,0.14,14,71.4,0.13,2.4,19,36.8,0.14,3.5,19,15.7,0.17,3.6,17,17.6,0.13,2.6,22,18.1,0.13,2.0,15,6.6,0.15,3.1,2021-07-01,2021-12-28
2022-01-01,3,3,4,3543,福田雅一,A2,164,54,5.89,44.0,57.8,6.25,45.0,62.9,6.5,40.0,73.3,5.56,37.6,57.0,0.15,22,77.2,0.15,3.0,22,59.0,0.13,2.4,19,57.8,0.15,2.7,20,35.0,0.16,3.4,18,16.6,0.16,3.1,12,8.3,0.14,3.2,2021-07-01,2021-12-28
2022-01-01,3,3,5,3541,三嶌誠司,A1,159,56,6.75,50.7,73.3,5.83,35.1,56.5,4.97,26.7,46.7,6.2,45.9,60.0,0.14,35,94.2,0.14,2.9,25,64.0,0.13,2.6,24,33.3,0.13,3.3,36,41.6,0.15,3.0,22,9.0,0.17,3.0,12,8.3,0.14,3.5,2021-07-01,2021-12-28
2022-01-01,3,4,1,4331,三好勇人,B1,170,55,4.75,25.0,40.3,5.31,32.6,51.8,4.4,20.0,30.0,5.79,33.7,60.9,0.16,14,64.2,0.11,2.3,17,52.9,0.13,2.8,14,28.5,0.16,2.7,16,12.5,0.15,2.9,19,10.5,0.21,3.9,17,0.0,0.19,3.9,2021-07-01,2021-12-28
2022-01-01,3,4,3,4220,深川和仁,A2,164,55,5.83,45.5,58.7,6.43,49.3,66.4,5.21,20.8,37.5,6.33,48.5,65.3,0.16,29,82.7,0.15,2.8,21,61.9,0.15,2.8,25,40.0,0.15,3.0,24,41.6,0.16,2.9,21,28.5,0.18,3.0,19,10.5,0.16,3.4,2021-07-01,2021-12-28
2022-01-01,3,4,2,4772,石丸海渡,A1,164,58,6.47,50.4,66.1,6.37,44.7,63.5,4.57,24.3,40.5,4.02,19.0,30.0,0.12,31,93.5,0.12,2.0,15,53.3,0.12,2.5,24,33.3,0.1,2.3,23,39.1,0.12,2.4,21,23.8,0.13,3.0,22,18.1,0.12,3.0,2021-07-01,2021-12-28
2022-01-01,3,4,5,4583,古田祐貴,A2,166,52,4.71,21.4,45.7,5.43,31.1,57.4,4.79,23.5,38.2,5.17,27.7,49.5,0.17,24,75.0,0.15,2.6,26,23.0,0.18,3.4,23,56.5,0.13,2.1,20,15.0,0.15,3.1,26,11.5,0.2,3.8,20,5.0,0.19,4.6,2021-07-01,2021-12-28
