開催日,日目,レース,着,艇,登番,選手名,モーター,ボート,展示,天気,風向,風速,波高,3連単オッズ,級,身長,体重,勝率,複勝率,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,算出期間自,算出期間至,当地勝率,1着率,2着率,3着率
2025-01-01,3,1,1,1,5043,中村日向,13,14,6.89,晴,南西,3,3,4.7,A1,164,57,6.92,58.4,8,2,0.16,40,87.5,0.15,3.0,23,69.5,0.16,3.0,23,43.4,0.16,2.8,19,36.8,0.16,3.8,19,57.8,0.17,3.6,18,22.2,0.13,2.6,2024-11-01,2025-04-30,7.26,35.2,23.2,12.0
2025-01-01,3,1,2,2,5224,西岡顕心,54,34,6.93,晴,南西,3,3,4.7,A1,165,53,6.59,44.9,3,0,0.16,31,77.4,0.17,2.8,24,50.0,0.13,2.8,23,39.1,0.14,3.0,18,27.7,0.18,3.7,19,42.1,0.15,2.7,23,17.3,0.21,4.3,2024-11-01,2025-04-30,7.46,19.6,25.4,27.5
2025-01-01,3,1,3,4,5218,山田理央,25,32,6.85,晴,南西,3,3,4.7,A2,153,49,5.77,35.1,0,0,0.15,23,82.6,0.15,2.2,24,33.3,0.15,3.1,29,37.9,0.12,2.4,26,15.3,0.16,2.8,26,30.7,0.14,2.6,17,5.8,0.18,4.3,2024-11-01,2025-04-30,6.09,18.6,16.6,26.9
2025-01-01,3,1,4,3,5173,谷口佳蓮,63,44,6.9,晴,南西,3,3,4.7,B1,158,46,4.3,29.5,0,0,0.17,7,85.7,0.14,1.9,13,46.1,0.19,3.8,7,28.5,0.19,2.7,12,16.6,0.16,2.8,11,18.1,0.14,2.7,11,0.0,0.18,3.4,2024-11-01,2025-04-30,6.15,16.4,13.1,6.6
2025-01-01,3,1,5,6,3910,松下知幸,9,35,6.87,晴,南西,3,3,4.7,B1,163,52,4.46,24.1,0,0,0.17,15,46.6,0.15,2.9,20,30.0,0.14,3.5,21,38.1,0.13,2.2,26,11.5,0.17,3.2,19,15.7,0.2,3.7,15,6.6,0.23,4.5,2024-11-01,2025-04-30,6.89,10.3,13.8,15.5
2025-01-01,3,1,6,5,4020,川上清人,26,37,6.86,晴,南西,3,3,4.7,B1,165,67,4.43,24.5,0,0,0.17,16,75.0,0.12,2.4,20,20.0,0.19,4.0,18,16.6,0.19,3.9,16,18.7,0.18,3.4,21,14.2,0.16,2.8,15,6.6,0.19,3.9,2024-11-01,2025-04-30,6.95,12.3,12.3,15.1
2025-01-01,3,3,1,1,3401,上田隆章,65,60,6.86,晴,南西,3,3,13.7,B1,159,55,4.66,27.1,0,0,0.19,16,50.0,0.14,2.5,19,57.8,0.18,3.9,17,35.2,0.17,3.1,21,19.0,0.22,4.3,12,0.0,0.21,4.3,22,0.0,0.21,5.0,2024-11-01,2025-04-30,7.75,14.0,13.1,20.6
2025-01-01,3,3,2,2,3907,村越篤,40,58,6.9,晴,南西,3,3,13.7,B1,167,55,5.14,32.5,1,0,0.17,25,80.0,0.18,3.4,22,31.8,0.15,3.1,19,21.0,0.17,3.0,22,22.7,0.17,3.0,25,24.0,0.16,3.5,16,0.0,0.2,4.8,2024-11-01,2025-04-30,7.75,16.3,16.3,17.8
2025-01-01,3,3,3,3,3660,長谷川親王,8,4,6.93,晴,南西,3,3,13.7,B1,169,60,3.76,15.0,0,0,0.18,14,50.0,0.15,3.3,19,15.7,0.2,3.7,19,5.2,0.17,3.4,22,9.0,0.16,3.4,18,16.6,0.18,3.8,14,0.0,0.23,4.9,2024-11-01,2025-04-30,6.49,4.7,10.4,13.2
2025-01-01,3,3,4,4,4529,嶋義信,3,3,6.9,晴,南西,3,3,13.7,A2,166,54,5.51,38.1,1,0,0.14,17,76.4,0.12,2.3,16,31.2,0.13,3.0,18,55.5,0.14,2.6,15,40.0,0.13,2.7,17,17.6,0.14,2.9,14,0.0,0.2,4.8,2024-11-01,2025-04-30,7.33,18.6,19.6,15.5
2025-01-01,3,3,5,5,4739,中村晃朋,6,9,6.91,晴,南西,3,3,13.7,A1,167,53,6.29,39.2,6,0,0.15,22,77.2,0.16,2.8,20,65.0,0.15,3.0,24,41.6,0.12,2.5,22,22.7,0.13,3.0,21,19.0,0.15,3.8,16,0.0,0.18,3.8,2024-11-01,2025-04-30,7.77,22.4,16.8,15.2
2025-01-01,3,3,6,6,5326,三嶌さらら,10,5,6.83,晴,南西,3,3,13.7,B1,154,48,2.49,2.9,0,0,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.2,4.0,18,0.0,0.2,4.1,17,11.7,0.18,4.2,33,0.0,0.21,4.4,2024-11-01,2025-04-30,3.75,1.4,1.4,11.6
2025-01-01,3,4,1,1,3478,嶋田貴支,61,48,6.84,晴,南西,3,3,102.3,B1,163,52,4.85,22.7,0,0,0.17,14,57.1,0.13,3.1,20,15.0,0.15,3.5,21,28.5,0.18,3.5,16,18.7,0.19,3.8,19,10.5,0.18,3.7,11,9.0,0.22,4.3,2024-11-01,2025-04-30,7.09,11.9,10.9,22.8
2025-01-01,3,4,2,5,4776,竹田和哉,23,64,6.95,晴,南西,3,3,102.3,A1,169,54,6.54,45.4,3,1,0.17,24,91.6,0.14,2.5,19,52.6,0.18,3.6,14,42.8,0.14,3.2,18,33.3,0.16,3.8,18,22.2,0.19,4.2,17,11.7,0.19,4.2,2024-11-01,2025-04-30,7.81,22.7,22.7,15.5
2025-01-01,3,4,3,6,4931,木谷賢太,21,28,6.86,晴,南西,3,3,102.3,A2,162,55,5.63,31.2,2,0,0.16,28,78.5,0.13,2.4,22,40.9,0.16,3.0,20,40.0,0.15,3.2,30,10.0,0.18,3.9,16,6.2,0.16,3.9,25,4.0,0.18,4.9,2024-11-01,2025-04-30,7.65,17.0,14.2,24.1
2025-01-01,3,4,4,4,3568,木村光宏,36,50,6.85,晴,南西,3,3,102.3,B1,162,56,4.25,24.6,0,0,0.18,10,70.0,0.16,3.7,15,20.0,0.18,4.6,18,33.3,0.21,3.7,13,7.6,0.2,4.2,10,10.0,0.16,3.6,7,0.0,0.14,4.0,2024-11-01,2025-04-30,7.84,13.7,11.0,8.2
2025-01-01,3,4,5,2,4220,深川和仁,43,6,6.81,晴,南西,3,3,102.3,A2,163,56,5.61,38.5,1,0,0.16,19,68.4,0.16,2.8,16,50.0,0.15,2.8,17,41.1,0.19,3.4,24,29.1,0.16,3.1,21,33.3,0.16,2.8,12,0.0,0.18,4.4,2024-11-01,2025-04-30,7.66,16.5,22.0,19.3
